============================================================
AUDITORIA DE NOS - FILTRO JULES (VERSAO CORRIGIDA)
Filtro: FTZ >= 1.0/m, INT >= 1.0/m, RMF ALL, FAC ALWAYS
============================================================

--- FORTALEZA (35 nos) ---
ANCURI                         | CVLI/m:  1.0 | Fac: ---
ANTONIO BEZERRA                | CVLI/m:  1.3 | Fac: ---
BARRA DO CEARA                 | CVLI/m:  3.4 | Fac: ---
BARROSO                        | CVLI/m:  3.0 | Fac: ---
BOM JARDIM                     | CVLI/m:  1.9 | Fac: ---
CANINDEZINHO                   | CVLI/m:  1.0 | Fac: ---
CARLITO PAMPLONA               | CVLI/m:  1.1 | Fac: ---
CIDADE NOVA                    | CVLI/m:  4.8 | Fac: ---
CONJUNTO PALMEIRAS             | CVLI/m:  1.8 | Fac: ---
CRISTO REDENTOR                | CVLI/m:  2.4 | Fac: ---
CURIO                          | CVLI/m:  2.1 | Fac: ---
DOM LUSTOSA                    | CVLI/m:  1.0 | Fac: ---
EDSON QUEIROZ                  | CVLI/m:  1.0 | Fac: ---
GRANJA LISBOA                  | CVLI/m:  2.7 | Fac: ---
GRANJA PORTUGAL                | CVLI/m:  1.8 | Fac: ---
JANGURUSSU                     | CVLI/m:  3.2 | Fac: ---
JARDIM DAS OLIVEIRAS           | CVLI/m:  1.7 | Fac: ---
JOSE WALTER                    | CVLI/m:  2.4 | Fac: ---
LAGOA REDONDA                  | CVLI/m:  1.0 | Fac: ---
MESSEJANA                      | CVLI/m:  2.5 | Fac: ---
MONDUBIM                       | CVLI/m:  1.5 | Fac: ---
PARQUE DOIS IRMAOS             | CVLI/m:  1.3 | Fac: ---
PARQUE SANTA MARIA             | CVLI/m:  1.4 | Fac: ---
PARQUE SAO JOSE                | CVLI/m:  1.7 | Fac: ---
PASSARE                        | CVLI/m:  1.5 | Fac: ---
PEDRAS                         | CVLI/m:  2.4 | Fac: ---
PIRAMBU                        | CVLI/m:  1.5 | Fac: ---
PLANALTO AYRTON SENNA          | CVLI/m:  2.8 | Fac: ---
PRAIA DO FUTURO                | CVLI/m:  1.7 | Fac: ---
QUINTINO CUNHA                 | CVLI/m:  1.1 | Fac: ---
