id,data,bairro_assigned,cidade_norm,latitude,longitude,tipo,tipo_evento
1,2022-01-01,Pirambu,fortaleza,-3.709641078,-38.55443237,cvli,HOMICIDIO DOLOSO
3,2022-01-01,Conjunto Palmeiras,fortaleza,-3.851335374,-38.53057706,cvli,HOMICIDIO DOLOSO
4,2022-01-01,Floresta,fortaleza,-3.716104886,-38.57390956,cvli,HOMICIDIO DOLOSO
5,2022-01-01,Cristo Redentor,fortaleza,-3.705818703,-38.56971866,cvli,HOMICIDIO DOLOSO
6,2022-01-01,Granja Lisboa,fortaleza,-3.788365498,-38.61509302,cvli,HOMICIDIO DOLOSO
14,2022-01-01,Granja Lisboa,fortaleza,-3.777780964,-38.6119378,cvli,HOMICIDIO DOLOSO
18,2022-01-01,Jangurussu,fortaleza,-3.839589988,-38.50498396,cvli,HOMICIDIO DOLOSO
21,2022-01-02,José De Alencar,fortaleza,-3.817177132,-38.47603549,cvli,HOMICIDIO DOLOSO
23,2022-01-02,Barroso,fortaleza,-3.82407214,-38.51845632,cvli,HOMICIDIO DOLOSO
32,2022-01-03,Mondubim,fortaleza,-3.814128272,-38.55783443,cvli,ROUBO SEGUIDO DE MORTE (LATROCINIO)
46,2022-01-06,Moura Brasil,fortaleza,-3.718557938,-38.53353127,cvli,HOMICIDIO DOLOSO
47,2022-01-06,Antônio Bezerra,fortaleza,-3.74244367,-38.58971883,cvli,HOMICIDIO DOLOSO
49,2022-01-06,Granja Lisboa,fortaleza,-3.777893543,-38.61728115,cvli,HOMICIDIO DOLOSO
51,2022-01-06,Sapiranga / Coité,fortaleza,-3.79217179,-38.46990392,cvli,HOMICIDIO DOLOSO
52,2022-01-06,Jangurussu,fortaleza,-3.851955793,-38.51407037,cvli,HOMICIDIO DOLOSO
57,2022-01-08,Edson Queiroz,fortaleza,-3.769578308,-38.47293146,cvli,HOMICIDIO DOLOSO
59,2022-01-08,Olavo Oliveira,fortaleza,-3.72955573,-38.5934343,cvli,HOMICIDIO DOLOSO
65,2022-01-08,Pici,fortaleza,-3.748437997,-38.58112327,cvli,HOMICIDIO DOLOSO
68,2022-01-09,Antônio Bezerra,fortaleza,-3.74394595,-38.5909825,cvli,HOMICIDIO DOLOSO
72,2022-01-09,Passaré,fortaleza,-3.827658383,-38.52904042,cvli,FEMINICÍDIO
74,2022-01-10,João Xxiii,fortaleza,-3.766380868,-38.58638622,cvli,HOMICIDIO DOLOSO
76,2022-01-10,Serrinha,fortaleza,-3.783158997,-38.54298952,cvli,HOMICIDIO DOLOSO
83,2022-01-10,Planalto Ayrton Senna,fortaleza,-3.842206585,-38.56881535,cvli,HOMICIDIO DOLOSO
84,2022-01-10,Granja Lisboa,fortaleza,-3.78562647,-38.62136186,cvli,HOMICIDIO DOLOSO
86,2022-01-10,Cais Do Porto,fortaleza,-3.716321347,-38.46442042,cvli,HOMICIDIO DOLOSO
88,2022-01-11,Planalto Ayrton Senna,fortaleza,-3.841755169,-38.56853699,cvli,HOMICIDIO DOLOSO
90,2022-01-11,Centro,fortaleza,-3.725125154,-38.53621947,cvli,HOMICIDIO DOLOSO
101,2022-01-12,Centro,fortaleza,-3.719348041,-38.5238889,cvli,HOMICIDIO DOLOSO
103,2022-01-12,Praia Do Futuro Ii,fortaleza,-3.749701597,-38.45330499,cvli,HOMICIDIO DOLOSO
109,2022-01-13,Prefeito José Walter,fortaleza,-3.825375288,-38.54125481,cvli,ROUBO SEGUIDO DE MORTE (LATROCINIO)
112,2022-01-14,Siqueira,fortaleza,-3.802009845,-38.60667017,cvli,ROUBO SEGUIDO DE MORTE (LATROCINIO)
118,2022-01-15,Parque Dois Irmăos,fortaleza,-3.795739644,-38.54917467,cvli,HOMICIDIO DOLOSO
121,2022-01-15,Carlito Pamplona,fortaleza,-3.715997341,-38.55822419,cvli,HOMICIDIO DOLOSO
125,2022-01-16,Praia De Iracema,fortaleza,-3.72182401,-38.5186168,cvli,HOMICIDIO DOLOSO
127,2022-01-17,Mondubim,fortaleza,-3.826088492,-38.5809233,cvli,HOMICIDIO DOLOSO
129,2022-01-17,Messejana,fortaleza,-3.823217721,-38.50324223,cvli,HOMICIDIO DOLOSO
130,2022-01-17,Jangurussu,fortaleza,-3.840267769,-38.5039351,cvli,HOMICIDIO DOLOSO
134,2022-01-17,Cambeba,fortaleza,-3.815051052,-38.4838349,cvli,HOMICIDIO DOLOSO
136,2022-01-17,Edson Queiroz,fortaleza,-3.770482736,-38.47268722,cvli,HOMICIDIO DOLOSO
139,2022-01-18,Panamericano,fortaleza,-3.75767074,-38.56363256,cvli,HOMICIDIO DOLOSO
142,2022-01-18,Passaré,fortaleza,-3.819859248,-38.52386763,cvli,HOMICIDIO DOLOSO
144,2022-01-18,Barra Do Ceará,fortaleza,-3.71049427,-38.58693696,cvli,HOMICIDIO DOLOSO
154,2022-01-19,Messejana,fortaleza,-3.836692869,-38.49029785,cvli,HOMICIDIO DOLOSO
156,2022-01-19,Paupina,fortaleza,-3.851634107,-38.48712794,cvli,HOMICIDIO DOLOSO
159,2022-01-20,Montese,fortaleza,-3.760790567,-38.55386761,cvli,HOMICIDIO DOLOSO
164,2022-01-20,Curió,fortaleza,-3.822059472,-38.47417617,cvli,HOMICIDIO DOLOSO
167,2022-01-21,Vila Velha,fortaleza,-3.719268354,-38.58842981,cvli,HOMICIDIO DOLOSO
170,2022-01-22,Curió,fortaleza,-3.82168034,-38.47480967,cvli,HOMICIDIO DOLOSO
171,2022-01-22,Manuel Dias Branco,fortaleza,-3.756888528,-38.46374921,cvli,HOMICIDIO DOLOSO
175,2022-01-22,Curió,fortaleza,-3.823578982,-38.4747222,cvli,HOMICIDIO DOLOSO
