name,bairro_norm,latitude,longitude,regiao,faction_kml,faction_match
AEROLÂNDIA,aerolandia,-3.774887855214006,-38.513576525227414,fortaleza,MASSA,fuzzy_0.86
AEROPORTO,aeroporto,-3.7735752967174907,-38.529936807608756,fortaleza,PRIMEIRO COMANDO DA CAPITAL,fuzzy_0.64
ALDEOTA,aldeota,-3.7376415435037886,-38.502478286143486,fortaleza,PRIMEIRO COMANDO DA CAPITAL,fuzzy_0.74
ALTO DA BALANÇA,alto da balanca,-3.7654059189812163,-38.51345132196592,fortaleza,MASSA,fuzzy_0.69
AMADEU FURTADO,amadeu furtado,-3.743806219557524,-38.55910646277026,fortaleza,N/A,N/A
ANCURI,ancuri,-3.8642306056993534,-38.506127687720884,fortaleza,N/A,N/A
ANTÔNIO BEZERRA,antonio bezerra,-3.741003038895218,-38.59132177731399,fortaleza,TCP / GDE - TERCEIRO COMANDO PURO E GUARDIÕES DO ESTADO,fuzzy_0.67
AUTRAN NUNES,autran nunes,-3.7537877299285047,-38.5956876159437,fortaleza,N/A,N/A
BARRA DO CEARÁ,barra do ceara,-3.704544271008265,-38.58124206882749,fortaleza,PRIMEIRO COMANDO DA CAPITAL,fuzzy_0.69
BARROSO,barroso,-3.821714132043447,-38.512549305574986,fortaleza,PRIMEIRO COMANDO DA CAPITAL,fuzzy_0.63
BELA VISTA,bela vista,-3.7523888400697376,-38.560890876321075,fortaleza,PRIMEIRO COMANDO DA CAPITAL,direct
BENFICA,benfica,-3.7417448980022097,-38.538260257652084,fortaleza,PRIMEIRO COMANDO DA CAPITAL,fuzzy_0.71
BOA VISTA/CASTELÃO,boa vista/castelao,-3.800159358546688,-38.52120144990137,fortaleza,PRIMEIRO COMANDO DA CAPITAL,fuzzy_0.67
BOM FUTURO,bom futuro,-3.757878084373618,-38.546225874230174,fortaleza,N/A,N/A
BOM JARDIM,bom jardim,-3.7945629195802537,-38.60185868076689,fortaleza,N/A,N/A
BONSUCESSO,bonsucesso,-3.7804816541093524,-38.587596431275415,fortaleza,N/A,N/A
CAIS DO PORTO,cais do porto,-3.714817851310944,-38.47061036659603,fortaleza,PRIMEIRO COMANDO DA CAPITAL,fuzzy_0.69
CAJAZEIRAS,cajazeiras,-3.8036185290321063,-38.508604205410066,fortaleza,PRIMEIRO COMANDO DA CAPITAL,fuzzy_0.67
CAMBEBA,cambeba,-3.8066033999356983,-38.48513044959183,fortaleza,PRIMEIRO COMANDO DA CAPITAL,fuzzy_0.67
CANINDEZINHO,canindezinho,-3.812635257496074,-38.603375389338495,fortaleza,MASSA,direct
CARLITO PAMPLONA,carlito pamplona,-3.717002628702548,-38.554769689373764,fortaleza,N/A,N/A
CENTRO,centro,-3.7276815796803877,-38.527232502992945,fortaleza,PRIMEIRO COMANDO DA CAPITAL,direct
CIDADE 2000,cidade 2000,-3.75115782512672,-38.47189635070736,fortaleza,TCP / GDE - TERCEIRO COMANDO PURO E GUARDIÕES DO ESTADO,fuzzy_0.64
CIDADE DOS FUNCIONÁRIOS,cidade dos funcionarios,-3.7940537277310273,-38.49944992981696,fortaleza,MASSA,fuzzy_0.64
COAÇU,coacu,-3.8446909073268123,-38.47636030744854,fortaleza,N/A,N/A
CONJUNTO CEARÁ I,conjunto ceara i,-3.76466935821195,-38.606221954091126,fortaleza,PRIMEIRO COMANDO DA CAPITAL,fuzzy_0.81
CONJUNTO CEARÁ II,conjunto ceara ii,-3.771768719270383,-38.61089391215703,fortaleza,PRIMEIRO COMANDO DA CAPITAL,fuzzy_0.79
CONJUNTO ESPERANÇA,conjunto esperanca,-3.814275490947594,-38.591345242066495,fortaleza,MASSA,fuzzy_0.67
CONJUNTO PALMEIRAS,conjunto palmeiras,-3.8498123572861482,-38.53056148977917,fortaleza,PRIMEIRO COMANDO DA CAPITAL,fuzzy_0.71
COUTO FERNANDES,couto fernandes,-3.760057342770987,-38.56017859305311,fortaleza,MASSA,fuzzy_0.61
CRISTO REDENTOR,cristo redentor,-3.7076990645350643,-38.56503781381557,fortaleza,N/A,N/A
