Controle,Data,Natureza,BairroOcor,bairro_norm,CidadeOcor,total_armas_cache,total_drogas_cache,Dinheiro_Apreendido,lat_ibge,long_ibge
6862,2022-01-01,TRÁFICO DE DROGAS,Jacarecanga,Jacarecanga,Fortaleza,0,65.0,65.0,,
6863,2022-01-01,APRESENTAÇÃO E APREENSÃO DE ARMA DE FOGO,Sapiranga,Sapiranga / Coité,Fortaleza,1,0.0,,,
6865,2022-01-01,NÃO DELITUOSO,Centro,Centro,Baturité,0,0.0,,,
6866,2022-01-01,TRÁFICO DE DROGAS,Alto Guaramiranga,Alto Da Balança,Canindé,0,3.0,856.55,,
6867,2022-01-01,DIRIGIR VEÍCULO AUTOMOTOR SEM HABILITAÇÃO - Art. 309/CTB; EMBRIAGUEZ AO VOLANTE - Art. 306/CTB; DESOBEDIÊNCIA - Art. 330/CPB,Sapiranga,Sapiranga / Coité,Fortaleza,0,0.0,,,
6868,2022-01-01,VEÍCULO LOCALIZADO,Conjunto Industrial,Conjunto Ceará Ii,Maracanaú,0,0.0,,,
6869,2022-01-01,OUTROS,João Paulo II,João Xxiii,Iguatu,0,0.0,,,
6871,2022-01-01,"PORTE DE ARMA DE FOGO COM NUMERAÇÃO RASPADA - Art.16, 1º, IV/Lei nº 10.826/2003",Messejana,Messejana,Fortaleza,1,0.0,,,
6873,2022-01-01,RECEPTAÇÃO - Art. 180/CPB,Barra do Ceará,Barra Do Ceará,Fortaleza,0,0.0,,,
6874,2022-01-01,POSSE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO - Art. 12/Lei nº 10.826/2003; CONSUMO DE ENTORPECENTES - Art. 28/Lei nº 11.343/2006,Romeirão,Parreão,Juazeiro do Norte,2,36.0,,,
6875,2022-01-02,NÃO DELITUOSO,José de Alencar,José De Alencar,Fortaleza,0,0.0,,,
6876,2022-01-02,TRÁFICO DE DROGAS,Pilões,Meireles,Morrinhos,0,46.0,367.0,,
6877,2022-01-02,TRÁFICO DE DROGAS; OUTROS,Zona Rural,Granja Portugal,Acopiara,1,0.0,,,
6878,2022-01-02,RECEPTAÇÃO - Art. 180/CPB,Frei Damião,Farias Brito,Juazeiro do Norte,0,0.0,,,
6880,2022-01-02,ADULTERAÇÃO DE VEÍCULO - Art. 311/CPB,Paupina,Paupina,Fortaleza,0,0.0,,,
6881,2022-01-02,MARIA DA PENHA - Lei nº 11.340/2006,Araturi,Cararu,Caucaia,0,0.0,,,
6882,2022-01-02,APRESENTAÇÃO E APREENSÃO DE DROGAS,Araturi,Cararu,Caucaia,0,64.0,,,
6883,2022-01-02,POSSE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO - Art. 12/Lei nº 10.826/2003,Zona Rural,Granja Portugal,Hidrolândia,2,0.0,,,
