Tipo;Identificador_AIS;Regiao_RISP;Localidades_e_Bairros_Abrangidos
Agrupado;AIS 01;SUDESTE;Quixadá, Quixeramobim, Banabuiú, Ibaretama, Ibicuitinga, Choró
Agrupado;AIS 02;SUL;Juazeiro do Norte, Caririaçu, Jardim
Agrupado;AIS 03;NORTE;Sobral, Alcântaras, Forquilha, Massapê, Meruoca, Santana do Acaraú
Agrupado;AIS 04;NORDESTE;Itapipoca, Amontada, Itapajé, Miraíma, Tururu, Uruburetama, Umirim
Bairros;AIS 05;CAPITAL OESTE;Fortaleza: Parangaba, Montese, Benfica, Fátima, Vila União, Aeroporto, Damas, Bom Futuro, Itaoca, Itaperi, Pan Americano, Jardim América, Demócrito Rocha, Couto Fernandes, José Bonifácio, Parreão, Serrinha, Vila Pery
Bairros;AIS 06;CAPITAL OESTE;Fortaleza: Antônio Bezerra, Quintino Cunha, Olavo Oliveira, Padre Andrade, Bela Vista, Pici, Dom Lustosa, Henrique Jorge, Autran Nunes, João XXIII, Bonsucesso, Parque Genibaú
Agrupado;AIS 07;NORTE;Crateús, Novo Oriente, Independência, Ipaporanga, Monsenhor Tabosa, Nova Russas, Ararendá, Ipueiras, Poranga, Tamboril
Bairros;AIS 08;CAPITAL LESTE;Fortaleza: Aldeota, Meireles, Mucuripe, Varjota, Vicente Pinzón, Cais do Porto, Praia de Iracema
Agrupado;AIS 09;SUDESTE;Russas, Limoeiro do Norte, Morada Nova, Tabuleiro do Norte, São João do Jaguaribe, Quixeré, Palhano
Agrupado;AIS 10;SUL;Iguatu, Carius, Jucás, Quixelô, Saboeiro, Tarrafas, Acopiara, Catarina
Agrupado;AIS 11;NORDESTE;Tianguá, Viçosa do Ceará, Ubajara, Ibiapina, São Benedito, Guaraciaba do Norte, Croatá, Carnaubal
Bairros;AIS 12;RMF OESTE;Caucaia: Alto do Garrote, Bom Jesus, Cabatan, Açude, Barra Nova, Camurupim, Cumbuco, Curicaca, Anil, Capuan, Centro, Cigana, Cipó, Jardim Icaraí, Garrote, Grilo, Itapoã, Icaraí, Itambé, Mestre Antônio, Lagoa do Banana, Iparana, Jandaiguaba, Nova Cigana, Novo Pabussu, Pabussu, Pacheco, Padre Júlio Maria, Padre Romualdo, Parque Leblon, Paumirim, Planalto Caucaia, Parque Soledade, Pitombeira, Mixira, Cauípe, Tabuba, Guagiru, Caraúbas, Coité, Matões, Lagoa dos Porcos, Genipabú, Córrego do Alexandre, Porteiras, Angico, Guararu, Cauípe 2, Pau Branco, Araticuba, Boqueirão da Arara, Boqueirãozinho, Camará, Jacurutu, Bom Tempo, Tabuleiro Grande, Santa Edwiges, São Bento, Industrial, Junco, Santa Rosa, Japuara, Catuana, São Pedro, Primavera, Mangabeira, Sítios Novos, Sede
Agrupado;AIS 13;SUL;Crato, Barbalha, Santana do Cariri, Nova Olinda, Assaré, Farias Brito, Altaneira
Município;AIS 14;RMF LESTE;Maracanaú (Sede e Distritos Industriais)
Agrupado;AIS 15;RMF LESTE;Maranguape, Pacatuba, Guaiúba
Bairros;AIS 16;CAPITAL LESTE;Fortaleza: Messejana, Jangurussu, Conjunto Palmeiras, Ancuri, Barroso, Lagoa Redonda, Curió, Guajeru, Coaçu, Paupina, Pedras, São Bento
Bairros;AIS 17;CAPITAL OESTE;Fortaleza: Bom Jardim, Granja Portugal, Granja Lisboa, Siqueira, Canindezinho, Conjunto Ceará
Bairros;AIS 18;CAPITAL OESTE;Fortaleza: Centro, Moura Brasil, Carlito Pamplona, Álvaro Weyne, Vila Ellery, Monte Castelo, Farias Brito, São Gerardo, Jacarecanga, Barra do Ceará, Pirambu, Cristo Redentor
Bairros;AIS 19;CAPITAL LESTE;Fortaleza: Papicu, Cocó, Cidade 2000, Dunas, De Lourdes, Praia do Futuro, Manuel Dias Branco, São João do Tauape, Joaquim Távora, Dionísio Torres, Pontes Vieira
Bairros;AIS 20;CAPITAL OESTE;Fortaleza: Conjunto José Walter, Mondubim, Parque Dois Irmãos, Planalto Ayrton Senna, Prefeito José Walter
Bairros;AIS 21;CAPITAL OESTE;Fortaleza: Cidade dos Funcionários, Jardim das Oliveiras, Cambeba, Sapiranga, Lagoa Sapiranga, Parque Manibura, Edson Queiroz, Luciano Cavalcante, Aerolândia, Alto da Balança
Bairros;AIS 22;CAPITAL LESTE;Fortaleza: Passaré, Castelão, Dias Macedo, Parque Prefeito José Walter (Serrinha leste), Barroso norte
Agrupado;AIS 23;RMF OESTE;São Gonçalo do Amarante, Paracuru, Paraipaba, Trairi
Agrupado;AIS 24;RMF LESTE;Aquiraz, Eusébio, Pindoretama, Cascavel, Beberibe
Agrupado;AIS 25;RMF LESTE;Itaitinga, Horizonte, Pacajus, Chorozinho
Bairros;AIS 26;RMF OESTE;Caucaia: Conjunto Metropolitano, Guadalajara, Lago Verde, Parque Albano, Parque das Nações, Potira, São Miguel, Patrícia Gomes, Sobradinho, Tabapuã, Tabapuã Brasília, Tabapuã Brasília II, Marechal Rondon, Araturi, Nova Metrópole, Arianópolis, Campo Grande, Urucutuba, Toco, Riachão, Carrapicho, Tucunduba, Bom Princípio, Mirambé, Jurema
Agrupado;AIS 27;NORTE;Camocim, Acaraú, Barroquinha, Chaval, Cruz, Granja, Itarema, Jijoca de Jericoacoara, Marco, Morrinhos
Agrupado;AIS 28;NORTE;Canindé, Caridade, Paramoti, General Sampaio, Tejuçuoca, Apuiarés, Madalena, Itatira
Agrupado;AIS 29;NORDESTE;Aracati, Fortim, Icapuí, Itaiçaba, Jaguaruana
Agrupado;AIS 30;SUDESTE;Tauá, Parambu, Arneiroz, Aiuaba, Quiterianópolis
Agrupado;AIS 31;SUDESTE;Senador Pompeu, Pedra Branca, Piquet Carneiro, Mombaça, Deputado Irapuan Pinheiro, Milhã, Solonópole
Agrupado;AIS 32;SUL;Brejo Santo, Barro, Mauriti, Penaforte, Jati, Milagres, Abaiara
Agrupado;AIS 33;SUL;Campos Sales, Araripe, Potengi, Salitre, Santana do Cariri (Sul), Antonina do Norte
Agrupado;AIS 34;SUL;Icó, Cedro, Baixio, Ipaumirim, Umari, Lavras da Mangabeira, Orós, Várzea Alegre
