Bairro,Contagem CVLI
BARRA DO CEARÁ,112
JANGURUSSU,108
BARROSO,100
PLANALTO AYRTON SENNA,94
GRANJA LISBOA,90
MESSEJANA,85
CRISTO REDENTOR,81
PREFEITO JOSÉ WALTER,78
CURIÓ,71
BOM JARDIM,62
GRANJA PORTUGAL,61
SIQUEIRA,61
JARDIM DAS OLIVEIRAS,58
VICENTE PINZÓN,58
PARQUE SĂO JOSÉ,57
CONJUNTO PALMEIRAS,54
PIRAMBU,51
MONDUBIM,49
PASSARÉ,47
PARQUE SANTA MARIA,46
ANTÔNIO BEZERRA,44
PARQUE DOIS IRMĂOS,42
CARLITO PAMPLONA,38
QUINTINO CUNHA,38
GUAJERU,37
PRAIA DO FUTURO II,36
EDSON QUEIROZ,35
ANCURI,35
DOM LUSTOSA,35
VILA PERI,34
CANINDEZINHO,34
VILA VELHA,33
SAPIRANGA / COITÉ,32
BONSUCESSO,32
ALTO DA BALANÇA,30
CAJAZEIRAS,29
LAGOA REDONDA,29
PICI,28
JACARECANGA,27
PARQUE IRACEMA,27
FLORESTA,26
NOVO MONDUBIM,26
BOA VISTA/CASTELÃO,26
AEROLÂNDIA,26
PEDRAS,25
OLAVO OLIVEIRA,24
ARACAPÉ,24
JARDIM IRACEMA,24
CONJUNTO ESPERANÇA,24
COAÇU,24
PRAIA DE IRACEMA,23
PADRE ANDRADE,23
ÁLVARO WEYNE,23
PRAIA DO FUTURO I,22
JARDIM GUANABARA,21
JOSÉ DE ALENCAR,21
PRESIDENTE KENNEDY,20
JOSÉ BONIFÁCIO,20
ITAPERI,19
DIAS MACÊDO,19
CAIS DO PORTO,18
SÃO BENTO,18
FARIAS BRITO,18
SÃO MIGUEL,18
PAUPINA,18
VARJOTA,18
MARAPONGA,17
SERRINHA,16
MANOEL SÁTIRO,16
HENRIQUE JORGE,16
CONJUNTO CEARÁ II,15
JOÃO XXIII,15
CIDADE NOVA,15
ITAOCA,15
SABIAGUABA,15
CENTRO,15
GENIBAÚ,15
CIDADE 2000,15
PARQUE MANIBURA,14
AUTRAN NUNES,14
PARQUE PRESIDENTE VARGAS,13
MOURA BRASIL,12
CIDADE DOS FUNCIONÁRIOS,12
PARQUE SANTA ROSA,12
DIF III,12
CAMBEBA,11
PAPICU,11
JOAQUIM TÁVORA,11
CONJUNTO CEARÁ I,11
FÁTIMA,11
MUCURIPE,11
VILA UNIĂO,10
JÓQUEI CLUBE,10
AMADEU FURTADO,10
PARANGABA,9
JARDIM CEARENSE,9
MONTESE,8
DEMÓCRITO ROCHA,8
JARDIM AMÉRICA,8
COUTO FERNANDES,8
DE LOURDES,7
SALINAS,7
ENGENHEIRO LUCIANO CAVALCANTE,7
PANAMERICANO,6
MANUEL DIAS BRANCO,6
BOM FUTURO,6
BENFICA,6
ELLERY,6
BELA VISTA,5
ALDEOTA,5
MARECHAL RONDON,4
RACHEL DE QUEIROZ,4
RODOLFO TEÓFILO,4
SÃO JOÃO DO TAUAPE,4
ALTO ALEGRE II,4
GUADALAJARA,4
PARREÃO,4
AEROPORTO,3
MONTE CASTELO,3
URUCUTUBA,3
DIONÍSIO TORRES,3
PARQUE ALBANO,3
PARQUELÂNDIA,3
PARQUE ARAXÁ,3
PREFEITO JOSE WALTER,3
MEIRELES,2
PARQUE DAS NAÇÕES,2
INDUSTRIAL,2
DAMAS,2
SÃO GERARDO,2
COCÓ,2
VICENTE PINZON,2
PASSARE,2
CARARU,1
PRECABURA,1
