Bairro,Contagem CVLI,Total de Dias com Ocorrencia
BARRA DO CEARÁ,112,102
JANGURUSSU,108,97
BARROSO,100,92
PLANALTO AYRTON SENNA,94,89
GRANJA LISBOA,90,85
MESSEJANA,85,78
CRISTO REDENTOR,81,69
PREFEITO JOSÉ WALTER,78,74
CURIÓ,71,62
BOM JARDIM,62,55
GRANJA PORTUGAL,61,55
SIQUEIRA,61,57
JARDIM DAS OLIVEIRAS,58,58
VICENTE PINZÓN,58,54
PARQUE SĂO JOSÉ,57,53
CONJUNTO PALMEIRAS,54,49
PIRAMBU,51,46
MONDUBIM,49,44
PASSARÉ,47,44
PARQUE SANTA MARIA,46,40
ANTÔNIO BEZERRA,44,39
PARQUE DOIS IRMĂOS,42,37
CARLITO PAMPLONA,38,35
QUINTINO CUNHA,38,34
GUAJERU,37,33
PRAIA DO FUTURO II,36,34
EDSON QUEIROZ,35,35
ANCURI,35,35
DOM LUSTOSA,35,32
VILA PERI,34,33
CANINDEZINHO,34,30
VILA VELHA,33,31
SAPIRANGA / COITÉ,32,31
BONSUCESSO,32,30
ALTO DA BALANÇA,30,25
CAJAZEIRAS,29,25
LAGOA REDONDA,29,22
PICI,28,25
JACARECANGA,27,27
PARQUE IRACEMA,27,26
FLORESTA,26,25
NOVO MONDUBIM,26,25
BOA VISTA/CASTELÃO,26,24
AEROLÂNDIA,26,25
PEDRAS,25,25
OLAVO OLIVEIRA,24,23
ARACAPÉ,24,23
JARDIM IRACEMA,24,21
CONJUNTO ESPERANÇA,24,22
COAÇU,24,21
PRAIA DE IRACEMA,23,22
PADRE ANDRADE,23,22
ÁLVARO WEYNE,23,20
PRAIA DO FUTURO I,22,19
JARDIM GUANABARA,21,19
JOSÉ DE ALENCAR,21,20
PRESIDENTE KENNEDY,20,20
JOSÉ BONIFÁCIO,20,18
ITAPERI,19,18
DIAS MACÊDO,19,17
CAIS DO PORTO,18,17
SÃO BENTO,18,17
FARIAS BRITO,18,18
SÃO MIGUEL,18,18
PAUPINA,18,17
VARJOTA,18,17
MARAPONGA,17,16
SERRINHA,16,16
MANOEL SÁTIRO,16,15
HENRIQUE JORGE,16,16
CONJUNTO CEARÁ II,15,15
JOÃO XXIII,15,14
CIDADE NOVA,15,13
ITAOCA,15,14
SABIAGUABA,15,14
CENTRO,15,14
GENIBAÚ,15,14
CIDADE 2000,15,15
PARQUE MANIBURA,14,14
AUTRAN NUNES,14,13
PARQUE PRESIDENTE VARGAS,13,13
MOURA BRASIL,12,12
CIDADE DOS FUNCIONÁRIOS,12,12
PARQUE SANTA ROSA,12,11
DIF III,12,11
CAMBEBA,11,10
PAPICU,11,10
JOAQUIM TÁVORA,11,11
CONJUNTO CEARÁ I,11,11
FÁTIMA,11,11
MUCURIPE,11,10
VILA UNIĂO,10,10
JÓQUEI CLUBE,10,10
AMADEU FURTADO,10,9
PARANGABA,9,9
JARDIM CEARENSE,9,7
MONTESE,8,8
DEMÓCRITO ROCHA,8,8
JARDIM AMÉRICA,8,7
COUTO FERNANDES,8,7
DE LOURDES,7,7
SALINAS,7,7
ENGENHEIRO LUCIANO CAVALCANTE,7,7
PANAMERICANO,6,6
MANUEL DIAS BRANCO,6,6
BOM FUTURO,6,5
BENFICA,6,5
ELLERY,6,6
BELA VISTA,5,5
ALDEOTA,5,5
MARECHAL RONDON,4,4
RACHEL DE QUEIROZ,4,4
RODOLFO TEÓFILO,4,4
SÃO JOÃO DO TAUAPE,4,4
ALTO ALEGRE II,4,4
GUADALAJARA,4,4
PARREÃO,4,4
AEROPORTO,3,3
MONTE CASTELO,3,3
URUCUTUBA,3,3
DIONÍSIO TORRES,3,3
PARQUE ALBANO,3,3
PARQUELÂNDIA,3,3
PARQUE ARAXÁ,3,3
PREFEITO JOSE WALTER,3,2
MEIRELES,2,2
PARQUE DAS NAÇÕES,2,2
INDUSTRIAL,2,2
DAMAS,2,2
SÃO GERARDO,2,2
COCÓ,2,2
VICENTE PINZON,2,1
PASSARE,2,1
CARARU,1,1
PRECABURA,1,1
