RESUMO DO DATASET - FORTALEZA (MAPEAMENTO POR PASTAS KML)
Total de Dias Únicos,1516

Bairro,Facção Predominante,Total Geral CVLI,Dias com Ocorrência,% do Período Total,Periodicidade (1 a cada X dias),Total 2022,Total 2023,Total 2024,Total 2025,Total 2026,Projeção 2026
BARRA DO CEARÁ,CV,112,102,6.73%,13.5 dias,21,26,35,30,0,0.0
JANGURUSSU,N/D,108,97,6.4%,14.0 dias,34,21,26,26,1,6.6
BARROSO,CV,100,92,6.07%,15.2 dias,32,22,22,20,4,26.5
PLANALTO AYRTON SENNA,CV,94,89,5.87%,16.1 dias,7,29,29,29,0,0.0
GRANJA LISBOA,CV,90,85,5.61%,16.8 dias,31,18,29,10,2,13.3
MESSEJANA,CV,85,78,5.15%,17.8 dias,21,21,21,20,2,13.3
CRISTO REDENTOR,CV,81,69,4.55%,18.7 dias,16,18,27,20,0,0.0
PREFEITO JOSÉ WALTER,CV,81,76,5.01%,18.7 dias,22,24,13,19,3,19.9
CURIÓ,N/D,71,62,4.09%,21.4 dias,28,16,9,17,1,6.6
BOM JARDIM,CV,62,55,3.63%,24.5 dias,24,12,14,12,0,0.0
GRANJA PORTUGAL,CV,61,55,3.63%,24.9 dias,23,20,10,6,2,13.3
SIQUEIRA,CV,61,57,3.76%,24.9 dias,20,13,16,12,0,0.0
VICENTE PINZÓN,CV,60,55,3.63%,25.3 dias,3,11,13,31,2,13.3
JARDIM DAS OLIVEIRAS,CV,58,58,3.83%,26.1 dias,11,10,26,11,0,0.0
PARQUE SĂO JOSÉ,CV,57,53,3.5%,26.6 dias,7,12,17,21,0,0.0
CONJUNTO PALMEIRAS,CV,54,49,3.23%,28.1 dias,11,13,18,12,0,0.0
PIRAMBU,CV,51,46,3.03%,29.7 dias,12,8,23,8,0,0.0
PASSARÉ,CV,49,45,2.97%,30.9 dias,13,11,13,10,2,13.3
MONDUBIM,CV,49,44,2.9%,30.9 dias,10,6,13,19,1,6.6
PARQUE SANTA MARIA,CV,46,40,2.64%,33.0 dias,16,8,11,11,0,0.0
ANTÔNIO BEZERRA,CV,44,39,2.57%,34.5 dias,18,6,12,8,0,0.0
PARQUE DOIS IRMĂOS,N/D,42,37,2.44%,36.1 dias,9,14,7,12,0,0.0
CARLITO PAMPLONA,CV,38,35,2.31%,39.9 dias,3,13,16,6,0,0.0
QUINTINO CUNHA,N/D,38,34,2.24%,39.9 dias,4,5,17,9,3,19.9
GUAJERU,N/D,37,33,2.18%,41.0 dias,11,11,4,11,0,0.0
PRAIA DO FUTURO II,N/D,36,34,2.24%,42.1 dias,12,2,20,2,0,0.0
EDSON QUEIROZ,CV,35,35,2.31%,43.3 dias,5,10,11,9,0,0.0
ANCURI,CV,35,35,2.31%,43.3 dias,10,6,10,9,0,0.0
DOM LUSTOSA,CV,35,32,2.11%,43.3 dias,8,12,10,5,0,0.0
VILA PERI,CV,34,33,2.18%,44.6 dias,15,6,6,7,0,0.0
CANINDEZINHO,CV,34,30,1.98%,44.6 dias,8,5,6,15,0,0.0
VILA VELHA,CV,33,31,2.04%,45.9 dias,7,4,8,13,1,6.6
SAPIRANGA / COITÉ,CV,32,31,2.04%,47.4 dias,9,13,5,5,0,0.0
BONSUCESSO,CV,32,30,1.98%,47.4 dias,11,4,10,5,2,13.3
ALTO DA BALANÇA,CV,30,25,1.65%,50.5 dias,10,14,5,1,0,0.0
CAJAZEIRAS,CV,29,25,1.65%,52.3 dias,7,5,9,4,4,26.5
LAGOA REDONDA,CV,29,22,1.45%,52.3 dias,6,3,4,8,8,53.1
PICI,CV,28,25,1.65%,54.1 dias,13,7,4,4,0,0.0
JACARECANGA,CV,27,27,1.78%,56.1 dias,3,9,9,6,0,0.0
PARQUE IRACEMA,CV,27,26,1.72%,56.1 dias,4,5,12,6,0,0.0
FLORESTA,CV,26,25,1.65%,58.3 dias,9,5,5,6,1,6.6
NOVO MONDUBIM,CV,26,25,1.65%,58.3 dias,4,3,7,12,0,0.0
BOA VISTA/CASTELÃO,CV,26,24,1.58%,58.3 dias,3,9,5,9,0,0.0
