FID,id,logradouro_id,nome,metrica,comprimento,numero_porta_minimo,numero_porta_maximo,class_viaria,pavimentacao,agua,esgoto,galeria,sarjeta,iluminacao,arborizacao,quant_autonomas,quant_autonomas_prediais,quant_autonomas_territoriais,quant_autonomas_residenciais,quant_autonomas_nao_residenciais,quant_lotes,quant_quadras,data_criacao,data_alteracao,the_geom
trechos_logradouros.fid--5ab48429_18b14a67085_2609,161219,35833,RUA LAURA CAZUMBA,40,151.44,,,Local,Sem,Sem,Sem,Sem,Sem,Com,Sem,17,0,17,0,0,18,18,2014-07-09,2016-03-22,"MULTILINESTRING ((559106.424724341 9578870.977207156, 559117.4036718813 9578719.935078507))"
trechos_logradouros.fid--5ab48429_18b14a67085_260a,125157,5169,RUA EGÍDIO DE OLIVEIRA,240,91.75,20,20,Local,Asfalto,Com,Sem,Com,Sem,Com,Sem,2,0,2,0,0,5,5,2013-05-17,2016-03-22,"MULTILINESTRING ((559014.93681462 9578864.003649352, 559106.424724341 9578870.977207156))"
trechos_logradouros.fid--5ab48429_18b14a67085_260b,161364,3152,RUA ROSITA,220,134.84,1296,1298,Local,Pedra rust,Com,Sem,Sem,Com,Com,Com,5,5,2,0,5,6,6,2014-10-02,2016-03-22,"MULTILINESTRING ((554841.8742783099 9576716.185239496, 554812.8864434593 9576597.475512372, 554809.6196836373 9576585.262934059))"
trechos_logradouros.fid--5ab48429_18b14a67085_260c,128939,4476,RUA MANOEL FIGUEIREDO,140,38.06,516,559,Local,Pedra rust,Com,Com,Com,Com,Com,Com,12,12,1,10,2,5,5,2013-05-17,2016-03-22,"MULTILINESTRING ((554332.7346427152 9577274.7923452, 554327.4177392671 9577237.110024957))"
trechos_logradouros.fid--5ab48429_18b14a67085_260d,122511,33569,RUA 11 (BARRA DO CEARÁ),20,52.27,127,137,Local,Sem,Com,Com,Sem,Sem,Com,Sem,0,0,0,0,0,3,3,2013-05-17,2016-03-22,"MULTILINESTRING ((546546.35 9589529.69, 546551.32 9589529.3, 546557.41 9589528.37, 546564.3 9589527.49, 546572.18 9589526.22, 546579.5 9589525.04, 546586 9589523.8, 546591.53 9589522.44, 546597.65 9589520.34))"
trechos_logradouros.fid--5ab48429_18b14a67085_260e,145974,33115,RUA LOCAL 1 (FLORESTA),20,115.61,624,624,Local,Asfalto,Com,Com,Sem,Com,Com,Sem,2,1,1,1,0,2,2,2013-05-17,2016-03-22,"MULTILINESTRING ((547164.9114141928 9588360.138116485, 547058.9774297188 9588313.83037127))"
trechos_logradouros.fid--5ab48429_18b14a67085_260f,143020,4955,RUA CARLINDO CRUZ,40,12.17,,,Local,Asfalto,Com,Com,Com,Sem,Com,Sem,0,0,0,0,0,0,0,2013-05-17,2016-03-22,"MULTILINESTRING ((547181.6542983999 9587997.396631828, 547183.7059226402 9587991.336060267, 547185.3964822572 9587985.817085644))"
trechos_logradouros.fid--5ab48429_18b14a67085_2610,108049,2118,RUA LAURO MAIA,140,15.03,177,183,Local,Asfalto,Com,Com,Com,Com,Com,Com,15,15,0,14,1,5,5,2013-05-17,2016-03-22,"MULTILINESTRING ((552849.4296000004 9586394.2432, 552852.3600615974 9586379.503669523))"
trechos_logradouros.fid--5ab48429_18b14a67085_2611,136305,3971,RUA SGT BARBOSA,120,80.72,,,Local,Pedra rust,Com,Com,Com,Com,Com,Sem,2,0,2,0,0,5,5,2013-05-17,2016-03-22,"MULTILINESTRING ((542287.447364666 9582046.134824108, 542265.8684654585 9581968.357640631))"
trechos_logradouros.fid--5ab48429_18b14a67085_2612,133772,7704,RUA POUSO ALEGRE,100,72.62,381,1017,Local,Asfalto,Com,Sem,Sem,Com,Com,Sem,3,2,1,1,1,4,4,2013-05-17,2016-03-22,"MULTILINESTRING ((558167.3201184208 9575131.755424028, 558195.5368149517 9575192.386342192, 558200.8836223951 9575194.478571191))"
