local,faccao_predominante,grau_dominio
AEROLÂNDIA,CV,0.85
AEROPORTO,CV,0.85
ALDEOTA,NEUTRO,0.0
ALTO DA BALANÇA,CV,0.85
AMADEU FURTADO,CV,0.85
ANCURI,CV,0.85
ANTÔNIO BEZERRA,CV,0.85
AUTRAN NUNES,CV,0.85
BARRA DO CEARÁ,CV,0.85
BARROSO,CV,0.85
BELA VISTA,CV,0.85
BENFICA,CV,0.85
BOA VISTA/CASTELÃO,CV,0.85
BOM FUTURO,CV,0.85
BOM JARDIM,CV,0.85
BONSUCESSO,CV,0.85
CAIS DO PORTO,CV,0.85
CAJAZEIRAS,CV,0.85
CAMBEBA,CV,0.85
CANINDEZINHO,CV,0.85
CARLITO PAMPLONA,CV,0.85
CENTRO,CV,0.85
CIDADE 2000,CV,0.85
CIDADE DOS FUNCIONÁRIOS,NEUTRO,0.0
COAÇU,CV,0.85
CONJUNTO CEARÁ I,CV,0.85
CONJUNTO CEARÁ II,CV,0.85
CONJUNTO ESPERANÇA,CV,0.85
CONJUNTO PALMEIRAS,CV,0.85
COUTO FERNANDES,CV,0.85
CRISTO REDENTOR,CV,0.85
CURIÓ,MASSA,0.85
DAMAS,CV,0.85
DE LOURDES,CV,0.85
DEMÓCRITO ROCHA,CV,0.85
RACHEL DE QUEIROZ,CV,0.85
DIAS MACÊDO,CV,0.85
DIONÍSIO TORRES,CV,0.85
DOM LUSTOSA,CV,0.85
EDSON QUEIROZ,CV,0.85
ENGENHEIRO LUCIANO CAVALCANTE,CV,0.85
FARIAS BRITO,CV,0.85
FLORESTA,CV,0.85
FÁTIMA,CV,0.85
GENIBAÚ,CV,0.85
GRANJA LISBOA,CV,0.85
GRANJA PORTUGAL,CV,0.85
GUAJERU,CV,0.85
HENRIQUE JORGE,CV,0.85
ITAOCA,CV,0.85
ITAPERI,CV,0.85
JACARECANGA,CV,0.85
JANGURUSSU,CV,0.85
JARDIM AMÉRICA,CV,0.85
JARDIM CEARENSE,CV,0.85
JARDIM GUANABARA,CV,0.85
JARDIM IRACEMA,CV,0.85
JARDIM DAS OLIVEIRAS,CV,0.85
JOÃO XXIII,CV,0.85
JOAQUIM TÁVORA,CV,0.85
JOSÉ BONIFÁCIO,CV,0.85
JOSÉ DE ALENCAR,CV,0.85
JÓQUEI CLUBE,CV,0.85
LAGOA REDONDA,CV,0.85
MANOEL SÁTIRO,CV,0.85
MANUEL DIAS BRANCO,CV,0.85
MARAPONGA,CV,0.85
MEIRELES,CV,0.85
MESSEJANA,CV,0.85
MONDUBIM,CV,0.85
MONTE CASTELO,CV,0.85
MONTESE,CV,0.85
MOURA BRASIL,CV,0.85
MUCURIPE,CV,0.85
NOVO MONDUBIM,CV,0.85
OLAVO OLIVEIRA,CV,0.85
PADRE ANDRADE,CV,0.85
PANAMERICANO,CV,0.85
PAPICU,CV,0.85
PARANGABA,CV,0.85
PARQUE ARAXÁ,CV,0.85
PARQUE IRACEMA,MASSA,0.85
PARQUE MANIBURA,CV,0.85
PARQUE PRESIDENTE VARGAS,CV,0.85
PARQUE SANTA MARIA,CV,0.85
PARQUE SANTA ROSA,CV,0.85
PARQUE SĂO JOSÉ,CV,0.85
PARQUE DOIS IRMĂOS,CV,0.85
PARQUELÂNDIA,CV,0.85
PARREÃO,CV,0.85
PASSARÉ,CV,0.85
GUARARAPES,NEUTRO,0.0
PAUPINA,CV,0.85
PEDRAS,CV,0.85
PICI,CV,0.85
PIRAMBU,CV,0.85
PLANALTO AYRTON SENNA,CV,0.85
PRAIA DE IRACEMA,CV,0.85
PRAIA DO FUTURO I,CV,0.85
PRAIA DO FUTURO II,CV,0.85
