micronodo,area_oficial,faction,lat,long
SANTA RITA - PARAMBU / CE,PARAMBU,CV,-6.2124813,-40.6774994
Morro do Oitão Preto ou Moura brasil,JACARECANGA,CV,-3.717304,-38.541644
Morro do Pinto,CRISTO REDENTOR,CV,-3.7066603,-38.563232
COMUNIDADE CAIXA DÁGUA,MANOEL SÁTIRO,CV,-3.7973553,-38.5816977
VILA ROSÂNGELA,PARQUE SĂO JOSÉ,CV,-3.7982361,-38.5856349
Comunidade Baixa Pau,PRAIA DE IRACEMA,CV,-3.719924,-38.522107
Conjunto Cidade de Deus ou CDD,BARRA DO CEARÁ,CV,-3.710539,-38.578012
Comunidade Reino Encantado,ÁLVARO WEYNE,CV,-3.715882,-38.570425
Padre Andrade,PADRE ANDRADE,CV,-3.732816,-38.582491
Comunidade da theberg (Complexo do Pirambu),CRISTO REDENTOR,CV,-3.7089,-38.566482
Pracinha do Abel (Complexo do Pirambu),PIRAMBU,CV,-3.707691,-38.554717
Areia Grossa (Complexo do Pirambu),PIRAMBU,CV,-3.707691,-38.554717
Cacimba de Pombos (Complexo do Pirambu),PIRAMBU,CV,-3.713492,-38.548857
Rocinha (Complexo do Pirambu),PIRAMBU,CV,-3.711503,-38.548328
Rua da Paz (Complexo do Pirambu),PIRAMBU,CV,-3.711025,-38.553089
Pirambu (Complexo do Pirambu),CRISTO REDENTOR,CV,-3.706892,-38.562346
Comunidade do Gueto Novo,BARRA DO CEARÁ,CV,-3.710836,-38.584311
Sítio,BARRA DO CEARÁ,CV,-3.712872,-38.581253
Comunidade da Central,FLORESTA,CV,-3.720462,-38.579789
Presidente Kennedy,PRESIDENTE KENNEDY,CV,-3.728091,-38.570377
Conjunto Castelo Branco,PRESIDENTE KENNEDY,CV,-3.729864,-38.574947
Jardim Iracema,JARDIM IRACEMA,CV,-3.717602,-38.587813
Canal - Rabo da gata,ELLERY,CV,-3.722032,-38.558028
Morro do Ouro,JACARECANGA,CV,-3.724804,-38.545856
Conjunto Carandiru,CARLITO PAMPLONA,CV,-3.715605,-38.556036
Jardim Guanabara,JARDIM GUANABARA,CV,-3.71758,-38.587942
Comunidade do Inferninho,VILA VELHA,CV,-3.719899,-38.603015
2.V,QUINTINO CUNHA,CV,-3.72143,-38.6056
Trilho do Carlito,CARLITO PAMPLONA,CV,-3.718576,-38.558498
Comunidade do Triângulo,COUTO FERNANDES,CV,-3.757707,-38.561718
Comunidade Tocantins,AUTRAN NUNES,CV,-3.755741,-38.598305
Comunidade Pimentel,BARROSO,CV,-3.830271,-38.520461
Invasão,BARROSO,CV,-3.832008,-38.512665
Conjunto São Cristovão,BARROSO,CV,-3.831662,-38.524367
Campo do América,MEIRELES,CV,-3.72798,-38.502111
Comunidade da Rosalina (Complexo da Rosalina),PARQUE DOIS IRMĂOS,CV,-3.80748,-38.548305
Comunidade do Riacho Doce (Complexo da Rosalina),PARQUE DOIS IRMĂOS,CV,-3.806581,-38.545247
Quadras,DIONÍSIO TORRES,CV,-3.74502,-38.497894
Vila União,VILA UNIĂO,CV,-3.772807,-38.528993
Ouro Verde,VILA UNIĂO,CV,-3.764867,-38.530301
IB,VILA UNIĂO,CV,-3.770201,-38.534812
Pracinha do Vila União,VILA UNIĂO,CV,-3.770199,-38.5366
Jana Barroso,RACHEL DE QUEIROZ,CV,-3.798581,-38.556082
Comunidade do Burro (Jardim Primavera),RACHEL DE QUEIROZ,CV,-3.801124,-38.55134
Comunidade da Caixa D'água- Planalto Pici,JÓQUEI CLUBE,CV,-3.759869,-38.574263
Sem Terra,PICI,CV,-3.74918,-38.568253
Rua da Feira - Antonio Bezerra,ANTÔNIO BEZERRA,CV,-3.742756,-38.590028
Canal Leste,BOM JARDIM,CV,-3.797176,-38.610207
Comunidade Mutirão,SIQUEIRA,CV,-3.798663,-38.615778
Comunidade da Sideral - Bonsucesso,BONSUCESSO,CV,-3.786075,-38.58855
Conjunto Miguel Arraes,SIQUEIRA,CV,-3.800201,-38.62018
Comunidade dos Sem Terra,SIQUEIRA,CV,-3.799243,-38.624935
Comunidade do Cemitério,SIQUEIRA,CV,-3.797983,-38.62904
Conjunto Tatumandé,SIQUEIRA,CV,-3.800875,-38.616822
Conjunto Raquel de Queiroz,SIQUEIRA,CV,-3.802445,-38.617596
Caic,GRANJA LISBOA,CV,-3.78585,-38.615859
Conjunto Leonel Brizola,MARECHAL RONDON,CV,-3.780342,-38.625166
José Walter,PLANALTO AYRTON SENNA,CV,-3.834763,-38.560951
Lagoa Seca da Sapiranga,SAPIRANGA / COITÉ,CV,-3.789203,-38.470676
Comunidade do Alecrim- Lagoa da Sapiranga,SAPIRANGA / COITÉ,CV,-3.79237,-38.470068
Comunidade do Sem Terra da Sapiranga,SAPIRANGA / COITÉ,CV,-3.79041,-38.46164
Canal Leste da Sapiranga,SAPIRANGA / COITÉ,CV,-3.792731,-38.459736
Vila Uruca,SAPIRANGA / COITÉ,CV,-3.794118,-38.462129
Uruca,SAPIRANGA / COITÉ,CV,-3.795647,-38.462083
Muro Alto (Sapiranga),SAPIRANGA / COITÉ,CV,-3.794168,-38.466486
Portelinha,SAPIRANGA / COITÉ,CV,-3.798384,-38.466927
Cidade Nova,CIDADE NOVA,CV,-3.800921,-38.46665
Pisarreira ou Jardim Novo Paraíso,SAPIRANGA / COITÉ,CV,-3.798902,-38.473679
Favela da Mana ou Sem Terra,PASSARÉ,CV,-3.828608,-38.531843
Comunidade Beira Sol ,ITAOCA,CV,-3.774748,-38.551666
Comunidade da Travessa,ITAOCA,CV,-3.778713,-38.556136
Comunidade GNG,SERRINHA,CV,-3.781947,-38.546401
Esquina do BN,ITAPERI,CV,-3.783547,-38.547958
Comunidade dos Fluxos,ITAPERI,CV,-3.783789,-38.549015
Comunidade ZF,SERRINHA,CV,-3.782201,-38.542405
Campo do Sobral,CAJAZEIRAS,CV,-3.810844,-38.516972
6 Companheiros,BARRA DO CEARÁ,CV,-3.707181,-38.578148
Rua Larga,FARIAS BRITO,CV,-3.727419,-38.543656
Apê,EDSON QUEIROZ,CV,-3.773692,-38.456619
Comunidade Do Serrote,SERRINHA,CV,-3.780849,-38.54221
Comunidade do Açai - Serrinha,SERRINHA,CV,-3.78616,-38.541518
Rampa,SERRINHA,CV,-3.783466,-38.546613
Comunidade Final da Linha,SERRINHA,CV,-3.790233,-38.537405
Rua do Gelo,EDSON QUEIROZ,CV,-3.768482,-38.472843
Itamaraty,PAUPINA,CV,-3.857196,-38.494087
Bairro Santa Fé,ANCURI,CV,-3.861742,-38.505174
Parque Betânia,JANGURUSSU,CV,-3.836875,-38.506862
Jardim Violeta,CAJAZEIRAS,CV,-3.8119,-38.511652
Comunidade do Seu Rosa,JOSÉ DE ALENCAR,CV,-3.814657,-38.476203
Betesda (Alto do Bode),AUTRAN NUNES,CV,-3.755113,-38.598044
Comunidade da Luxou,PRAIA DO FUTURO I,CV,-3.742461,-38.458928
Comunidade dos Cocos ,PRAIA DO FUTURO I,CV,-3.750714,-38.450736
Morro da Embratel,PRAIA DO FUTURO II,CV,-3.760955,-38.448328
Comunidade do Caroço,PRAIA DO FUTURO I,CV,-3.748808,-38.452699
Santa Cecília,GRANJA LISBOA,CV,-3.794867,-38.61392
Comunidade Forró do Meu,SIQUEIRA,CV,-3.798947,-38.61772
CR,GRANJA LISBOA,CV,-3.789924,-38.627903
Comunidade da Jamaica,BOM JARDIM,CV,-3.788086,-38.606506
Comunidade do Pom,EDSON QUEIROZ,CV,-3.771836,-38.469908
Dendê,EDSON QUEIROZ,CV,-3.772483,-38.464083
Barro Duro,SAPIRANGA / COITÉ,CV,-3.803085,-38.459262
Palmeirinha ,LAGOA REDONDA,CV,-3.825304,-38.457804
Parque Guadalajara,GUADALAJARA,CV,-3.765675,-38.626758
Conjunto Ceará II,CONJUNTO CEARÁ II,CV,-3.76357,-38.614448
Conjunto Ceará I,CONJUNTO CEARÁ I,CV,-3.758336,-38.612053
Conjunto Ceará,CONJUNTO CEARÁ II,CV,-3.770004,-38.613983
Comunidade da Carroça,BONSUCESSO,CV,-3.777642,-38.589408
Cemitério,MESSEJANA,CV,-3.837638,-38.493423
Santa Rosa- Messejana,COAÇU,CV,-3.846943,-38.477486
Comunidade Pôr do Sol,COAÇU,CV,-3.849148,-38.476048
Arrebol,COAÇU,CV,-3.843356,-38.471568
Comunidade Renascer,COAÇU,CV,-3.849006,-38.480882
Comunidade do S,PAUPINA,CV,-3.865245,-38.496572
Comunidade do Arroz,SÃO BENTO,CV,-3.853624,-38.483004
CAMPO ,SÃO BENTO,CV,-3.850172,-38.486259
Comunidade da Granjinha- Planalto Pici,PICI,CV,-3.754436,-38.578196
Comunidade PSD,PICI,CV,-3.756291,-38.57828
Comunidade do Campinho (Bela Vista),PICI,CV,-3.749519,-38.568553
Jacaré (Bela Vista),BELA VISTA,CV,-3.752323,-38.561283
Malvina (Bela Vista),PANAMERICANO,CV,-3.750217,-38.566395
Mercado Bela Vista,BELA VISTA,CV,-3.755441,-38.55888
Vila dos Operários,PARQUELÂNDIA,CV,-3.736991,-38.559245
Comunidade Tiofim,PARQUELÂNDIA,CV,-3.736333,-38.556056
Favelinha Parquelândia,AMADEU FURTADO,CV,-3.745694,-38.563095
Canal,RODOLFO TEÓFILO,CV,-3.744511,-38.54781
Comunidade do Bloco,RODOLFO TEÓFILO,CV,-3.742354,-38.551264
Gongon ou Gonçalves Dias ,RODOLFO TEÓFILO,CV,-3.742514,-38.552786
Forró da Bala,BELA VISTA,CV,-3.750037,-38.55952
Portelinha (Alto do Bode),AUTRAN NUNES,CV,-3.748487,-38.595707
Carandiru (Alto do Bode),AUTRAN NUNES,CV,-3.758224,-38.594357
Gereberaba,SABIAGUABA,CV,-3.802984,-38.439698
Sem Terra,MERUOCA,CV,-3.691599,-40.362346
Alto Novo,MERUOCA,CV,-3.691599,-40.362346
Alto Cristo,MERUOCA,CV,-3.68361,-40.36062
Tamarindo ,MERUOCA,CV,-3.69444,-40.354177
Mucambinho,MERUOCA,CV,-3.681293,-40.369034
Parque Silvana,MERUOCA,CV,-3.671976,-40.354164
Alto da Expectativa,MERUOCA,CV,-3.672184,-40.351242
Rua da Lama,MERUOCA,CV,-3.67693,-40.346064
Novo Recanto,MERUOCA,CV,-3.661242,-40.34074
Coxinha,MERUOCA,CV,-3.676273,-40.375234
Santo Antônio,SOBRAL,CV,-3.70228,-40.340502
Sinhá Saboia,SOBRAL,CV,-3.70263,-40.337691
COHAB I,SOBRAL,CV,-3.709919,-40.334593
Jatobá ,SOBRAL,CV,-3.705703,-40.329693
COHAB II,SOBRAL,CV,-3.698633,-40.333357
Patrícia Gomes,URUCUTUBA,CV,-3.757516,-38.653441
Alto Alegre I,ALTO ALEGRE II,CV,-3.832799,-38.616211
Favela da Invasão ,CIDADE NOVA,CV,-3.84341,-38.56449
Comunidade Olical,BARRA DO CEARÁ,CV,-3.709337,-38.575988
Distrito de Pecém,PARACURU,CV,-3.54686,-38.833733
Comunidade Riacho Doce- Barra do Ceará,BARRA DO CEARÁ,CV,-3.710726,-38.584898
Comunidade da Boba,PARREÃO,CV,-3.760078,-38.528714
Comunidade Graviolas,PRAIA DE IRACEMA,CV,-3.723963,-38.514911
Comunidade Legião,PARQUE ARAXÁ,CV,-3.729735,-38.548153
