local,regiao_sistema,faccao_predominante,grau_dominio
ITAITINGA,CAPITAL,CV,0.03
EUSÉBIO,CAPITAL,CV,0.08
AQUIRAZ,CAPITAL,CV,0.02
MARACANAÚ,CAPITAL,TCP,0.13
CAUCAIA,CAPITAL,CV,0.02
AEROLÂNDIA,CAPITAL,CV,0.43
AEROPORTO,CAPITAL,CV,0.04
ALDEOTA,CAPITAL,CV,0.02
ALTO DA BALANÇA,CAPITAL,CV,0.61
AMADEU FURTADO,CAPITAL,CV,0.15
ANCURI,CAPITAL,CV,0.24
ANTÔNIO BEZERRA,CAPITAL,CV,0.17
AUTRAN NUNES,CAPITAL,CV,0.53
BARRA DO CEARÁ,CAPITAL,CV,0.23
BARROSO,CAPITAL,CV,0.41
BELA VISTA,CAPITAL,CV,0.33
BENFICA,CAPITAL,CV,0.09
BOA VISTA/CASTELÃO,CAPITAL,TCP,0.05
BOM FUTURO,CAPITAL,CV,0.16
BOM JARDIM,CAPITAL,CV,0.77
BONSUCESSO,CAPITAL,CV,0.29
CAIS DO PORTO,CAPITAL,CV,0.22
CAJAZEIRAS,CAPITAL,CV,0.06
CAMBEBA,CAPITAL,MASSA,0.01
CANINDEZINHO,CAPITAL,TCP,0.62
CARLITO PAMPLONA,CAPITAL,CV,0.47
CENTRO,CAPITAL,CV,0.01
CIDADE 2000,CAPITAL,CV,0.78
CIDADE DOS FUNCIONÁRIOS,CAPITAL,MASSA,0.06
COAÇU,CAPITAL,CV,0.22
CONJUNTO CEARÁ I,CAPITAL,CV,0.85
CONJUNTO CEARÁ II,CAPITAL,CV,0.98
CONJUNTO ESPERANÇA,CAPITAL,TCP,0.52
CONJUNTO PALMEIRAS,CAPITAL,MASSA,0.34
COUTO FERNANDES,CAPITAL,CV,0.33
CRISTO REDENTOR,CAPITAL,CV,0.45
CURIÓ,CAPITAL,MASSA,0.47
DAMAS,CAPITAL,CV,0.16
DE LOURDES,CAPITAL,NEUTRO,0.0
DEMÓCRITO ROCHA,CAPITAL,CV,0.14
RACHEL DE QUEIROZ,CAPITAL,CV,0.12
DIAS MACÊDO,CAPITAL,CV,0.24
DIONÍSIO TORRES,CAPITAL,CV,0.01
