data,hora,bairro,cidade,natureza,qtd_armas,qtd_drogas,qtd_drogas_itens,qtd_veiculos_apreendidos
2026-04-13,15:14:41,GENIBAU,FORTALEZA,APREENSAO DE DROGAS,0,0.0,0,0
2026-04-14,10:16:13,CANINDEZINHO,FORTALEZA,NAO INFORMADA,0,0.0,0,1
2026-04-14,11:01:47,PRESIDENTE KENNEDY,FORTALEZA,TRAFICO DE DROGAS 10⁰ DISTRITO POLICIAL,0,3.0,0,0
2026-04-14,15:02:44,HENRIQUE JORGE,FORTALEZA,TRAFICO DE DROGAS ART. 33,0,0.0,0,0
2026-04-14,20:12:20,CENTRO,FORTALEZA,TRAFICO DE DROGAS,0,5.0,0,0
2026-04-14,20:22:00,CAMBEBA,FORTALEZA,PRISAO POR PORTE ILEGAL DE ARMA DE FOGO E DROGAS,1,0.0,0,0
2026-04-14,20:30:50,PIRAMBU,FORTALEZA,NAO INFORMADA,0,0.0,0,0
2026-04-15,22:27:47,PARQUE PRESIDENTE VARGAS,FORTALEZA,APREENSAO DE ARMA DE FOGO (ARTESANAL CAL. 12) E DROGAS 7G COCAINA,0,0.0,0,0
2026-04-15,22:40:32,CENTRO,FORTALEZA,MANDADO DE PRISAO EM ABERTO ART.157,0,0.0,0,0
2026-04-16,01:49:02,ANTONIO BEZERRA,FORTALEZA,"155, PARAGRAFO 4, INCISO 4",0,0.0,0,0
2026-04-16,16:59:02,MESSEJANA,FORTALEZA,NAO INFORMADA,0,11.0,0,0
2026-04-16,23:24:13,ARACAPE,FORTALEZA,APREENSAO DE ARMA DE FOGO,1,0.0,0,0
2026-04-16,23:35:12,MOURA BRASIL,FORTALEZA,PORTARIA ART 33,0,109.0,0,0
2026-04-17,06:43:35,SAPIRANGA,FORTALEZA,TRAFICO DE DROGAS,0,23.0,0,0
2026-04-17,11:11:32,BARRA DO CEARA,FORTALEZA,MANDADO DE PRISAO 2ª VARA DA FAMILIA COMARCA DE FORTALEZA,0,0.0,0,0
2026-04-17,16:00:14,QUINTINO CUNHA,FORTALEZA,APREENSAO DE ENTORPECENTES,0,66.0,2,0
2026-04-17,21:07:15,CONJUNTO ESPERANCA,FORTALEZA,ROUBO E RECEPTACAO,0,0.0,0,1
2026-04-17,22:27:51,BARRA DO CEARA,FORTALEZA,APREENSAO DE DROGAS,0,20.0,0,0
2026-04-18,00:08:34,CANIDEZINHO,FORTALEZA,TRAFICO DE DROGAS - ART. 33,0,0.0,20,0
2026-04-18,00:20:07,CANIDEZINHO,FORTALEZA,TRAFICO DE DROGAS - ART. 33,0,0.0,20,0
2026-04-18,00:48:47,POR DO SOL,FORTALEZA,ACHADO DE ENTORPECENTES,1,23.0,0,0
2026-04-18,13:24:58,AEROPORTO,FORTALEZA,VEICULO CLONADO,0,0.0,0,1
