Rank,Bairro,Score_Final,Score_LGBM,Score_EWMA,feat_cvp_cvli_ratio,fi_cvp_cvli_ratio,feat_cvp_ewma_14d,fi_cvp_ewma_14d,feat_cvp_ewma_30d,fi_cvp_ewma_30d,feat_cvp_ewma_7d,fi_cvp_ewma_7d,feat_hist_pct,fi_hist_pct,feat_intel_ewma_14d,fi_intel_ewma_14d,feat_intel_ewma_7d,fi_intel_ewma_7d,feat_inter_intel_cvli,fi_inter_intel_cvli,feat_nbr_cvli_30d,fi_nbr_cvli_30d,feat_target_enc,fi_target_enc
1,ANCURI,0.9637,1.0,0.9274,4.306,18.8,0.8632,6.5,0.6276,10.5,0.9538,5.2,0.5897,6.9,0.0002,10.8,0.0,8.8,0.0,8.5,2.0,8.3,0.0323,15.7
2,BARROSO,0.91,0.8199,1.0,3.9135,18.8,0.1924,6.5,0.182,10.5,0.1813,5.2,0.9487,6.9,0.517,10.8,0.0986,8.8,0.0117,8.5,4.0,8.3,0.0659,15.7
3,MESSEJANA,0.4529,0.8576,0.0483,6.669,18.8,0.0214,6.5,0.1109,10.5,0.0009,5.2,0.8462,6.9,0.1601,10.8,0.077,8.8,0.0001,8.5,6.0,8.3,0.0515,15.7
4,ANTONIO BEZERRA,0.4466,0.8223,0.0708,9.1335,18.8,0.1206,6.5,0.1249,10.5,0.0854,5.2,0.3846,6.9,0.2553,10.8,0.1326,8.8,0.0013,8.5,0.0,8.3,0.0251,15.7
5,VICENTE PINZON,0.4199,0.7928,0.0469,1.9866,18.8,0.0034,6.5,0.0183,10.5,0.0001,5.2,0.8718,6.9,0.4812,10.8,0.4802,8.8,0.0006,8.5,0.0,8.3,0.0551,15.7
6,CRISTO REDENTOR,0.3998,0.7815,0.018,1.3815,18.8,0.0051,6.5,0.0183,10.5,0.0007,5.2,0.8974,6.9,0.1567,10.8,0.009,8.8,0.0,8.5,0.0,8.3,0.0563,15.7
7,JANGURUSSU,0.3834,0.7384,0.0285,4.9284,18.8,0.0066,6.5,0.0375,10.5,0.0004,5.2,0.9231,6.9,1.3779,10.8,1.2879,8.8,0.0004,8.5,6.0,8.3,0.0635,15.7
8,BOM JARDIM,0.383,0.6928,0.0733,10.4304,18.8,0.2705,6.5,0.2503,10.5,0.2713,5.2,0.5385,6.9,0.3352,10.8,0.3915,8.8,0.0035,8.5,0.0,8.3,0.0323,15.7
9,GRANJA PORTUGAL,0.3318,0.6407,0.0229,2.3766,18.8,0.0,6.5,0.0017,10.5,0.0,5.2,0.2308,6.9,0.0852,10.8,0.0068,8.8,0.0,8.5,0.0,8.3,0.0216,15.7
10,SIQUEIRA,0.3105,0.5977,0.0232,7.0602,18.8,0.0047,6.5,0.0286,10.5,0.0003,5.2,0.6154,6.9,0.4486,10.8,0.2742,8.8,0.0001,8.5,0.0,8.3,0.0335,15.7
11,PLANALTO AYRTON SENNA,0.2993,0.5641,0.0345,2.3757,18.8,0.0009,6.5,0.0105,10.5,0.0,5.2,0.9744,6.9,0.0001,10.8,0.0,8.8,0.0,8.5,0.0,8.3,0.0695,15.7
12,PARQUE SANTA MARIA,0.2834,0.5527,0.0141,3.3082,18.8,0.0076,6.5,0.0255,10.5,0.0006,5.2,0.4615,6.9,0.0261,10.8,0.0008,8.8,0.0,8.5,6.0,8.3,0.0263,15.7
13,CANINDEZINHO,0.2832,0.529,0.0373,8.1702,18.8,0.0707,6.5,0.1033,10.5,0.0603,5.2,0.359,6.9,0.8724,10.8,0.8392,8.8,0.0007,8.5,0.0,8.3,0.0251,15.7
