bairro_assigned,date_norm,count
,2025-01-01,38
,2025-01-02,26
,2025-01-03,28
,2025-01-04,39
,2025-01-05,38
,2025-01-06,58
,2025-01-07,66
,2025-01-08,56
,2025-01-09,59
,2025-01-10,80
,2025-01-11,44
,2025-01-12,49
,2025-01-13,42
,2025-01-14,42
,2025-01-15,36
,2025-01-16,49
,2025-01-17,46
,2025-01-18,24
,2025-01-19,35
,2025-01-20,38
,2025-01-21,50
,2025-01-22,52
,2025-01-23,63
,2025-01-24,36
,2025-01-25,47
,2025-01-26,30
,2025-01-27,38
,2025-01-28,57
,2025-01-29,52
,2025-01-30,57
,2025-01-31,40
,2025-02-01,44
,2025-02-02,50
,2025-02-03,58
,2025-02-04,56
,2025-02-05,47
,2025-02-06,46
,2025-02-07,52
,2025-02-08,54
,2025-02-09,28
,2025-02-10,47
,2025-02-11,47
,2025-02-12,44
,2025-02-13,63
,2025-02-14,45
,2025-02-15,75
,2025-02-16,44
,2025-02-17,48
,2025-02-18,45
,2025-02-19,42
,2025-02-20,58
,2025-02-21,62
,2025-02-22,46
,2025-02-23,52
,2025-02-24,52
,2025-02-25,54
,2025-02-26,62
,2025-02-27,79
,2025-02-28,71
,2025-03-01,54
,2025-03-02,64
,2025-03-03,64
,2025-03-04,46
,2025-03-05,40
,2025-03-06,56
,2025-03-07,58
,2025-03-08,49
,2025-03-09,34
,2025-03-10,34
,2025-03-11,40
,2025-03-12,48
,2025-03-13,51
,2025-03-14,35
,2025-03-15,44
,2025-03-16,40
,2025-03-17,48
,2025-03-18,33
,2025-03-19,42
,2025-03-20,68
,2025-03-21,48
,2025-03-22,32
,2025-03-23,44
,2025-03-24,52
,2025-03-25,42
,2025-03-26,64
,2025-03-27,69
,2025-03-28,42
,2025-03-29,52
,2025-03-30,36
,2025-03-31,57
,2025-04-01,53
,2025-04-02,42
,2025-04-03,46
,2025-04-04,62
,2025-04-05,46
,2025-04-06,41
,2025-04-07,36
,2025-04-08,64
,2025-04-09,60
,2025-04-10,56
,2025-04-11,72
,2025-04-12,56
,2025-04-13,56
,2025-04-14,44
,2025-04-15,42
,2025-04-16,57
,2025-04-17,75
,2025-04-18,60
,2025-04-19,58
,2025-04-20,47
,2025-04-21,45
,2025-04-22,74
,2025-04-23,38
,2025-04-24,55
,2025-04-25,54
,2025-04-26,70
,2025-04-27,28
,2025-04-28,61
,2025-04-29,55
,2025-04-30,68
,2025-05-01,54
,2025-05-02,64
,2025-05-03,66
,2025-05-04,39
,2025-05-05,53
,2025-05-06,54
