janela,escopo,node,cvli_bruto,mortes_brutas,primeira_data,ultima_data,rank
14d,municipio,MARACANAU,4,4.0,2026-07-04,2026-07-11,1
14d,municipio,BOA VIAGEM,2,2.0,2026-07-10,2026-07-14,2
14d,municipio,CAUCAIA,2,2.0,2026-07-09,2026-07-09,3
14d,municipio,IPAUMIRIM,2,2.0,2026-07-14,2026-07-14,4
14d,bairro_fortaleza,JOSE DE ALENCAR,2,2.0,2026-07-05,2026-07-13,5
14d,municipio,LIMOEIRO DO NORTE,2,2.0,2026-07-08,2026-07-11,6
14d,municipio,PARAMBU,2,2.0,2026-07-04,2026-07-04,7
14d,municipio,TAUA,2,2.0,2026-07-05,2026-07-05,8
14d,municipio,UMIRIM,2,2.0,2026-07-06,2026-07-06,9
14d,municipio,ACARAU,1,1.0,2026-07-03,2026-07-03,10
14d,municipio,ACOPIARA,1,1.0,2026-07-14,2026-07-14,11
14d,municipio,ALTO SANTO,1,1.0,2026-07-11,2026-07-11,12
14d,municipio,AMONTADA,1,1.0,2026-07-12,2026-07-12,13
14d,municipio,ARNEIROZ,1,1.0,2026-07-03,2026-07-03,14
14d,municipio,BARBALHA,1,1.0,2026-07-08,2026-07-08,15
14d,municipio,BATURITE,1,1.0,2026-07-16,2026-07-16,16
14d,municipio,CANINDE,1,1.0,2026-07-05,2026-07-05,17
14d,municipio,CARIRE,1,1.0,2026-07-06,2026-07-06,18
14d,bairro_fortaleza,CIRSTO REDENTOR,1,1.0,2026-07-14,2026-07-14,19
14d,bairro_fortaleza,CONJUNTO PALMEIRAS,1,1.0,2026-07-07,2026-07-07,20
14d,municipio,CRATEUS,1,1.0,2026-07-05,2026-07-05,21
14d,municipio,CRATO,1,1.0,2026-07-15,2026-07-15,22
14d,bairro_fortaleza,EDSON QUEIROZ,1,1.0,2026-07-08,2026-07-08,23
14d,bairro_fortaleza,GRANJA LISBOA,1,1.0,2026-07-08,2026-07-08,24
14d,municipio,HORIZONTE,1,1.0,2026-07-04,2026-07-04,25
14d,municipio,IBIAPINA,1,1.0,2026-07-08,2026-07-08,26
14d,municipio,IGUATU,1,1.0,2026-07-06,2026-07-06,27
14d,municipio,INDEPENDENCIA,1,1.0,2026-07-10,2026-07-10,28
14d,municipio,IPU,1,1.0,2026-07-10,2026-07-10,29
14d,municipio,IPUEIRAS,1,1.0,2026-07-15,2026-07-15,30
14d,municipio,ITAPAJE,1,1.0,2026-07-08,2026-07-08,31
14d,municipio,JUAZEIRO DO NORTE,1,1.0,2026-07-09,2026-07-09,32
14d,municipio,MARTINOPOLE,1,1.0,2026-07-06,2026-07-06,33
14d,bairro_fortaleza,MEIRELES,1,1.0,2026-07-03,2026-07-03,34
14d,bairro_fortaleza,MESSEJANA,1,1.0,2026-07-16,2026-07-16,35
14d,municipio,MIRAIMA,1,1.0,2026-07-16,2026-07-16,36
14d,municipio,MISSAO VELHA,1,1.0,2026-07-08,2026-07-08,37
14d,municipio,PIQUET CARNEIRO,1,1.0,2026-07-04,2026-07-04,38
14d,municipio,QUIXELO,1,1.0,2026-07-12,2026-07-12,39
14d,municipio,RERIUTABA,1,1.0,2026-07-09,2026-07-09,40
14d,municipio,SOBRAL,1,1.0,2026-07-08,2026-07-08,41
14d,municipio,VICOSA DO CEARA,1,1.0,2026-07-11,2026-07-11,42
30d,municipio,JUAZEIRO DO NORTE,5,5.0,2026-06-23,2026-07-09,1
30d,municipio,BOA VIAGEM,4,4.0,2026-06-26,2026-07-14,2
30d,municipio,ITAPIPOCA,4,4.0,2026-06-24,2026-06-29,3
30d,municipio,MARACANAU,4,4.0,2026-07-04,2026-07-11,4
30d,municipio,ACOPIARA,3,3.0,2026-06-17,2026-07-14,5
30d,municipio,CAUCAIA,3,3.0,2026-06-21,2026-07-09,6
30d,municipio,IBIAPINA,3,3.0,2026-06-22,2026-07-08,7
30d,municipio,QUIXELO,3,3.0,2026-07-01,2026-07-12,8
30d,municipio,CRATO,2,2.0,2026-06-24,2026-07-15,9
30d,bairro_fortaleza,FLORESTA,2,2.0,2026-06-23,2026-06-28,10
30d,bairro_fortaleza,GRANJA LISBOA,2,2.0,2026-06-19,2026-07-08,11
30d,municipio,IGUATU,2,2.0,2026-06-22,2026-07-06,12
30d,municipio,IPAUMIRIM,2,2.0,2026-07-14,2026-07-14,13
30d,municipio,ITAPAJE,2,2.0,2026-06-24,2026-07-08,14
30d,bairro_fortaleza,JOSE DE ALENCAR,2,2.0,2026-07-05,2026-07-13,15
30d,municipio,LIMOEIRO DO NORTE,2,2.0,2026-07-08,2026-07-11,16
30d,bairro_fortaleza,MESSEJANA,2,2.0,2026-06-18,2026-07-16,17
30d,municipio,PARAMBU,2,2.0,2026-07-04,2026-07-04,18
30d,municipio,SOBRAL,2,2.0,2026-06-25,2026-07-08,19
30d,municipio,TAUA,2,2.0,2026-07-05,2026-07-05,20
30d,municipio,TRAIRI,2,2.0,2026-06-17,2026-06-22,21
30d,municipio,UMIRIM,2,2.0,2026-07-06,2026-07-06,22
30d,municipio,VICOSA DO CEARA,2,2.0,2026-06-25,2026-07-11,23
30d,municipio,ACARAU,1,1.0,2026-07-03,2026-07-03,24
30d,municipio,ALTO SANTO,1,1.0,2026-07-11,2026-07-11,25
30d,municipio,AMONTADA,1,1.0,2026-07-12,2026-07-12,26
30d,bairro_fortaleza,ANCURI,1,1.0,2026-06-25,2026-06-25,27
30d,municipio,ARACOIABA,1,1.0,2026-06-25,2026-06-25,28
30d,municipio,ARNEIROZ,1,1.0,2026-07-03,2026-07-03,29
30d,municipio,BARBALHA,1,1.0,2026-07-08,2026-07-08,30
30d,municipio,BATURITE,1,1.0,2026-07-16,2026-07-16,31
30d,bairro_fortaleza,CAJAZEIRAS,1,1.0,2026-06-24,2026-06-24,32
30d,municipio,CANINDE,1,1.0,2026-07-05,2026-07-05,33
30d,municipio,CARIRE,1,1.0,2026-07-06,2026-07-06,34
30d,municipio,CASCAVEL,1,1.0,2026-06-27,2026-06-27,35
30d,bairro_fortaleza,CIRSTO REDENTOR,1,1.0,2026-07-14,2026-07-14,36
30d,bairro_fortaleza,CONJUNTO CEARA I,1,1.0,2026-06-23,2026-06-23,37
30d,bairro_fortaleza,CONJUNTO PALMEIRAS,1,1.0,2026-07-07,2026-07-07,38
30d,municipio,CRATEUS,1,1.0,2026-07-05,2026-07-05,39
30d,municipio,DEPUTADO IRAPUAN PINHEIRO,1,1.0,2026-07-01,2026-07-01,40
30d,bairro_fortaleza,EDSON QUEIROZ,1,1.0,2026-07-08,2026-07-08,41
30d,municipio,FARIAS BRITO,1,1.0,2026-06-20,2026-06-20,42
30d,municipio,HORIZONTE,1,1.0,2026-07-04,2026-07-04,43
30d,municipio,INDEPENDENCIA,1,1.0,2026-07-10,2026-07-10,44
30d,municipio,IPU,1,1.0,2026-07-10,2026-07-10,45
30d,municipio,IPUEIRAS,1,1.0,2026-07-15,2026-07-15,46
30d,municipio,IRAUCUBA,1,1.0,2026-06-20,2026-06-20,47
30d,municipio,ITAITINGA,1,1.0,2026-06-23,2026-06-23,48
30d,municipio,JAGUARIBARA,1,1.0,2026-06-28,2026-06-28,49
30d,bairro_fortaleza,JOAO XXIII,1,1.0,2026-06-22,2026-06-22,50
30d,municipio,MARTINOPOLE,1,1.0,2026-07-06,2026-07-06,51
30d,bairro_fortaleza,MEIRELES,1,1.0,2026-07-03,2026-07-03,52
30d,municipio,MIRAIMA,1,1.0,2026-07-16,2026-07-16,53
30d,municipio,MISSAO VELHA,1,1.0,2026-07-08,2026-07-08,54
30d,municipio,MOMBACA,1,1.0,2026-06-22,2026-06-22,55
30d,municipio,MORADA NOVA,1,1.0,2026-06-30,2026-06-30,56
30d,municipio,PACAJUS,1,1.0,2026-06-29,2026-06-29,57
30d,bairro_fortaleza,PASSARE,1,1.0,2026-06-24,2026-06-24,58
30d,municipio,PIQUET CARNEIRO,1,1.0,2026-07-04,2026-07-04,59
30d,municipio,QUIXERE,1,1.0,2026-06-20,2026-06-20,60
30d,municipio,REDENCAO,1,1.0,2026-06-17,2026-06-17,61
30d,municipio,RERIUTABA,1,1.0,2026-07-09,2026-07-09,62
30d,municipio,RUSSAS,1,1.0,2026-06-29,2026-06-29,63
30d,municipio,SAO BENEDITO,1,1.0,2026-06-22,2026-06-22,64
30d,municipio,TIANGUA,1,1.0,2026-06-18,2026-06-18,65
30d,municipio,TURURU,1,1.0,2026-06-17,2026-06-17,66
30d,municipio,VARJOTA,1,1.0,2026-07-01,2026-07-01,67
all,municipio,CAUCAIA,933,933.0,2022-01-03,2026-07-09,1
all,municipio,MARACANAU,661,662.0,2022-01-04,2026-07-11,2
all,municipio,SOBRAL,388,388.0,2022-01-08,2026-07-08,3
all,municipio,JUAZEIRO DO NORTE,324,324.0,2022-01-01,2026-07-09,4
all,municipio,MARANGUAPE,293,293.0,2022-01-01,2026-01-28,5
all,municipio,ITAPIPOCA,199,199.0,2022-03-16,2026-06-29,6
all,municipio,PACATUBA,195,197.0,2022-01-01,2026-05-19,7
all,municipio,CRATO,183,183.0,2022-01-22,2026-07-15,8
