bairro,assigned_faction,vehicle_theft_total,vehicle_spikes,cvli_total,trigger_score,max_lagged_corr,best_lag_days
Aerolândia,COMANDO VERMELHO,3,3,0.0,0.0,0.0,0
Aeroporto,CONTESTED,11,11,0.0,0.0,0.0,0
Aldeota,PRIMEIRO COMANDO DA CAPITAL,15,15,0.0,0.0,0.0,0
Alto Da Balança,COMANDO VERMELHO,1,1,0.0,0.0,0.0,0
Amadeu Furtado,SEM_CONTROLE,3,3,0.0,0.0,0.0,0
Ancuri,COMANDO VERMELHO,23,21,4.0,0.0,-0.0063213092234734505,14
Antônio Bezerra,SEM_CONTROLE,31,30,0.0,0.0,0.0,0
Aracapé,COMANDO VERMELHO,11,11,0.0,0.0,0.0,0
Autran Nunes,SEM_CONTROLE,7,7,0.0,0.0,0.0,0
Barra Do Ceará,COMANDO VERMELHO,7,7,0.0,0.0,0.0,0
Barroso,COMANDO VERMELHO,17,17,0.0,0.0,0.0,0
Bela Vista,CONTESTED,22,20,0.0,0.0,0.0,0
Benfica,COMANDO VERMELHO,13,13,0.0,0.0,0.0,0
Boa Vista/Castelão,SEM_CONTROLE,0,0,0.0,0.0,0.0,0
Bom Futuro,SEM_CONTROLE,1,1,0.0,0.0,0.0,0
Bom Jardim,COMANDO VERMELHO,108,78,0.0,0.0,0.0,0
Bonsucesso,COMANDO VERMELHO,25,25,0.0,0.0,0.0,0
Cais Do Porto,SEM_CONTROLE,4,4,14.0,0.0,-0.005129101245588329,14
Cajazeiras,COMANDO VERMELHO,13,13,0.0,0.0,0.0,0
Cambeba,SEM_CONTROLE,6,6,0.0,0.0,0.0,0
Canindezinho,CONTESTED,44,44,14.0,0.09090909090909091,0.06509131511121152,2
Cararu,SEM_CONTROLE,4,4,0.0,0.0,0.0,0
Carlito Pamplona,COMANDO VERMELHO,24,24,0.0,0.0,0.0,0
Centro,CONTESTED,643,68,0.0,0.0,0.0,0
Cidade 2000,COMANDO VERMELHO,1,1,0.0,0.0,0.0,0
Cidade Dos Funcionários,SEM_CONTROLE,4,4,0.0,0.0,0.0,0
Coaçu,COMANDO VERMELHO,3,3,0.0,0.0,0.0,0
Cocó,COMANDO VERMELHO,1,1,0.0,0.0,0.0,0
Conjunto Ceará I,COMANDO VERMELHO,0,0,0.0,0.0,0.0,0
Conjunto Ceará Ii,COMANDO VERMELHO,0,0,0.0,0.0,0.0,0
