modelo,rank,bairro,score,cvli_ewma_7d,cvli_ewma_14d,cvli_ewma_30d,hist_pct,target_enc,intel_ewma_14d
CVLI_TACTICAL_ONLY,1,BARRA DO CEARA,0.962788,0.091761,0.063986,0.044225,0.974359,0.083951,0.616346
CVLI_TACTICAL_ONLY,2,MESSEJANA,0.683514,0.048884,0.048839,0.058815,0.948718,0.071605,0.182199
CVLI_TACTICAL_ONLY,3,PARQUE DOIS IRMAOS,0.404485,0.031926,0.030445,0.025093,0.205128,0.02037,0.0
CVLI_TACTICAL_ONLY,4,JOSE DE ALENCAR,0.380337,0.02179,0.029335,0.039659,0.435897,0.02716,0.113153
CVLI_TACTICAL_ONLY,5,PRAIA DO FURUTO II,0.373475,0.031722,0.028052,0.018504,0.410256,0.026543,0.0
CVLI_TACTICAL_ONLY,6,CAJAZEIRAS,0.290526,0.014093,0.026332,0.027331,0.230769,0.021605,0.001197
CVLI_TACTICAL_ONLY,7,BONSUCESSO,0.240374,0.014434,0.020221,0.020047,0.512821,0.02963,0.014464
CVLI_TACTICAL_ONLY,8,ANCURI,0.208266,0.013011,0.017964,0.015337,0.153846,0.019136,1.1e-05
CVLI_TACTICAL_ONLY,9,JANGURURSSU,0.184316,0.009669,0.015738,0.017862,1.0,0.096296,0.0
CVLI_TACTICAL_ONLY,10,CURIO,0.12221,0.003295,0.010435,0.018501,0.076923,0.016049,0.553088
CVLI_TACTICAL_ONLY,11,SIQUEIRA,0.089703,0.002668,0.008157,0.011981,0.820513,0.048148,0.029463
CVLI_TACTICAL_ONLY,12,BARROSO,0.051263,0.000209,0.00298,0.013265,0.794872,0.044444,0.095825
CVLI_TACTICAL_ONLY,13,CANINDEZINHO,0.041475,0.000368,0.003074,0.008888,0.461538,0.02716,0.753101
CVLI_TACTICAL_ONLY,14,MONDUBIM,0.039323,7e-05,0.001855,0.011295,0.846154,0.05679,0.366633
CVLI_TACTICAL_ONLY,15,LAGOA REDONDA,0.0339,1.1e-05,0.000995,0.011139,0.641026,0.033951,0.355511
