bairro,veh_total,prisao_total,apreensao_total,cvli_total
Aerolândia,5,10,6,0
Aeroporto,13,7,2,2
Aldeota,20,6,6,0
Alto Da Balança,1,0,0,0
Amadeu Furtado,4,0,3,0
Ancuri,27,10,30,1
Antônio Bezerra,35,7,16,0
Aracapé,11,3,4,0
Autran Nunes,10,6,11,0
Barra Do Ceará,8,12,15,0
Barroso,21,5,20,0
Bela Vista,24,15,22,1
Benfica,14,3,3,1
Boa Vista/Castelão,0,0,0,0
Bom Futuro,1,0,7,0
Bom Jardim,144,36,93,0
Bonsucesso,34,6,18,0
Cais Do Porto,4,3,11,0
Cajazeiras,14,3,6,0
Cambeba,8,1,1,0
Canindezinho,53,21,56,3
Cararu,4,0,0,0
Carlito Pamplona,31,17,87,0
Centro,701,400,196,42
Cidade 2000,3,4,4,2
Cidade Dos Funcionários,4,1,0,0
Coaçu,5,7,15,2
Cocó,1,0,0,0
Conjunto Ceará I,0,0,0,0
Conjunto Ceará Ii,0,0,0,0
Conjunto Esperança,17,6,10,0
Conjunto Palmeiras,16,9,11,1
Couto Fernandes,3,2,1,0
Cristo Redentor,18,11,13,1
Curió,7,2,18,0
Damas,18,5,4,1
Demócrito Rocha,6,1,0,0
Dias Macêdo,0,0,0,0
Dionísio Torres,4,0,1,0
Dom Lustosa,4,0,0,0
Edson Queiroz,21,4,13,2
Ellery,2,1,2,0
Engenheiro Luciano Cavalcante,0,0,0,0
Farias Brito,2,1,3,1
Floresta,24,10,16,0
Fátima,9,3,2,0
Genibaú,20,21,26,0
Granja Lisboa,71,17,40,2
Granja Portugal,31,15,37,0
Guajeru,1,2,1,0
Henrique Jorge,27,7,6,2
Itaoca,2,2,0,0
Itaperi,9,2,3,0
Jacarecanga,25,5,22,2
Jangurussu,41,23,54,1
Jardim América,8,0,5,0
Jardim Cearense,1,0,2,0
Jardim Das Oliveiras,4,0,7,0
Jardim Guanabara,6,3,0,0
Jardim Iracema,35,6,7,0
Joaquim Távora,6,2,0,0
José Bonifácio,1,0,2,0
José De Alencar,2,0,1,0
João Xxiii,0,0,0,0
Jóquei Clube,11,0,1,0
Lagoa Redonda,1,2,7,0
Manoel Sátiro,0,0,0,0
Manuel Dias Branco,1,0,0,0
Maraponga,14,4,8,2
Meireles,8,2,7,0
Messejana,24,17,19,1
Mondubim,35,10,42,0
Monte Castelo,21,13,3,0
Montese,10,9,6,0
Moura Brasil,11,9,8,0
Mucuripe,2,3,7,0
Novo Mondubim,3,3,0,0
Olavo Oliveira,2,1,0,0
Padre Andrade,12,3,5,0
Panamericano,8,1,1,0
Papicu,11,11,15,0
Parangaba,14,2,6,1
Parque Araxá,4,1,2,0
Parque Dois Irmăos,0,0,0,0
Parque Iracema,2,0,0,0
Parque Manibura,3,1,0,0
Parque Presidente Vargas,1,0,1,0
Parque Santa Maria,0,0,2,0
Parque Santa Rosa,4,1,3,0
Parque Săo José,0,0,0,0
Parquelândia,21,5,4,0
Parreão,1,0,0,0
Passaré,38,9,13,1
Paupina,18,11,35,0
Pedras,12,5,9,0
Pici,13,15,15,1
Pirambu,19,33,86,1
Planalto Ayrton Senna,13,4,26,0
Praia De Iracema,0,0,1,0
Praia Do Futuro I,0,0,0,0
Praia Do Futuro Ii,0,0,0,0
Precabura,6,3,9,0
Prefeito José Walter,1,1,2,0
Presidente Kennedy,12,4,6,0
Quintino Cunha,39,21,41,1
Rachel De Queiroz,0,0,0,0
Rodolfo Teófilo,12,3,5,0
Sabiaguaba,3,3,1,1
Salinas,2,3,5,1
Sapiranga / Coité,0,0,0,0
Serrinha,6,11,16,1
Siqueira,29,10,25,1
São Bento,4,0,2,0
São Gerardo,19,3,6,0
São João Do Tauape,3,0,1,0
Varjota,5,5,4,0
Vicente Pinzón,0,0,0,0
Vila Peri,9,1,5,0
Vila Uniăo,0,0,0,0
Vila Velha,31,8,28,1
Álvaro Weyne,16,4,6,2
