datetime,tipo,cidade,ais,regiao_risp,bairro,rua,latitude,longitude,prox_bairro,prox_rua,dias_para_prox,distancia_para_prox_km
2022-01-01 00:32:44,cvp,Caucaia,AIS 26,RMF OESTE,MARECHAL RONDON,,-3.7698785836,-38.630819063,MARECHAL RONDON,,0.011,0.104
2022-01-01 00:38:55,cvp,Caucaia,AIS 12,RMF OESTE,,,-3.6427015851,-38.6975399795,,,0.24,2.923
2022-01-01 00:40:00,cvli,Varjota,AIS 07,NORTE,,,-4.177895549,-40.47854265,,RUA FRANCISCO SILVA CARVALHO,9.868,136.543
2022-01-01 00:48:38,cvp,Caucaia,AIS 26,RMF OESTE,MARECHAL RONDON,,-3.7705685817,-38.6301906988,URUCUTUBA,,1.851,2.368
2022-01-01 01:00:00,cvli,Aiuaba,AIS 30,SUDESTE,AIUABA,,-6.596301075,-40.31871526,IRACEMA,,7.819,239.045
2022-01-01 01:15:12,cvp,Fortaleza,AIS 08,CAPITAL LESTE,ALDEOTA,,-3.7343689655,-38.503445735,MEIRELES,,0.374,1.053
2022-01-01 01:30:00,cvli,Maranguape,AIS 15,RMF LESTE,,,-3.903287901,-38.67815552,PACATUBA,,0.681,8.504
2022-01-01 02:30:00,cvli,Jucás,AIS 10,SUL,,,-6.449369791,-39.44820222,IGUATU,,9.938,18.221
2022-01-01 04:28:00,cvli,Fortaleza,AIS 17,CAPITAL OESTE,GRANJA LISBOA,,-3.788365498,-38.61509302,GRANJA LISBOA,,0.592,1.228
2022-01-01 04:59:59,cvli,Fortaleza,,,CIRSTO REDENTOR,,-3.705818703,-38.56971866,JANGURURSSU,,0.681,16.518
2022-01-01 05:05:41,cvp,Fortaleza,AIS 17,CAPITAL OESTE,GRANJA LISBOA,,-3.7924809064,-38.6174652769,CONJUNTO CEARÁ I,,0.444,3.69
2022-01-01 05:17:42,cvp,Chorozinho,AIS 25,RMF LESTE,CHOROZINHO,,-4.2969596342,-38.4985833299,CHOROZINHO,,0.266,0.54
2022-01-01 05:24:08,cvp,Fortaleza,AIS 19,CAPITAL LESTE,JOAQUIM TÁVORA,,-3.7475413603,-38.5108493422,SÃO JOÃO DO TAUAPE,,0.298,1.153
2022-01-01 06:17:51,cvp,Fortaleza,AIS 06,CAPITAL OESTE,GENIBAÚ,,-3.7587840213,-38.6006877537,JOÃO XXIII,,0.465,1.74
2022-01-01 06:24:45,cvp,Caucaia,AIS 12,RMF OESTE,,,-3.6642975485,-38.6825222962,,,1.617,12.152
2022-01-01 06:43:18,cvp,Pacatuba,AIS 16,CAPITAL LESTE,PEDRAS,,-3.8995175516,-38.5554935825,PEDRAS,,0.192,3.954
2022-01-01 08:17:33,cvp,Fortaleza,AIS 18,CAPITAL OESTE,JACARECANGA,,-3.7204613404,-38.5465798736,VILA ELLERY,,0.625,1.761
2022-01-01 10:13:24,cvp,Fortaleza,AIS 08,CAPITAL LESTE,MEIRELES,,-3.7251018011,-38.5014978645,PRAIA DE IRACEMA,,0.454,1.506
2022-01-01 11:19:56,cvp,Fortaleza,AIS 16,CAPITAL LESTE,PEDRAS,,-3.8874490677,-38.521963901,CAJAZEIRAS,,0.285,8.698
2022-01-01 11:40:56,cvp,Chorozinho,AIS 25,RMF LESTE,CHOROZINHO,,-4.3001230875,-38.4948848842,,,2.968,46.44
2022-01-01 11:57:06,cvp,Fortaleza,AIS 22,CAPITAL LESTE,CASTELÃO,,-3.8091446527,-38.5225709814,CASTELÃO,,0.022,0.794
2022-01-01 11:57:23,cvp,Fortaleza,AIS 20,CAPITAL OESTE,MANOEL SÁTIRO,,-3.8088481727,-38.5916295455,MONDUBIM,,0.078,1.932
2022-01-01 12:11:00,cvli,Fortaleza,AIS 18,CAPITAL OESTE,FLORESTA,,-3.716104886,-38.57390956,PIRAMBU,,0.083,2.278
2022-01-01 12:28:31,cvp,Fortaleza,AIS 22,CAPITAL LESTE,CASTELÃO,,-3.8031551718,-38.5186788563,CASTELÃO,,1.494,0.663
2022-01-01 12:33:12,cvp,Fortaleza,AIS 19,CAPITAL LESTE,SÃO JOÃO DO TAUAPE,,-3.7579050631,-38.5111954283,PRAIA DO FUTURO I,,1.99,6.782
2022-01-01 12:35:14,cvp,Juazeiro do Norte,AIS 02,SUL,JUAZEIRO DO NORTE,,-7.1797242148,-39.3071306572,,,0.084,5.588
2022-01-01 13:21:41,cvp,Fortaleza,,,JANGURURSSU,,-3.836768096,-38.5247165391,PRAIA DO FURUTO II,,0.261,12.701
2022-01-01 13:25:00,cvli,Fortaleza,AIS 16,CAPITAL LESTE,CONJUNTO PALMEIRAS,,-3.851335374,-38.53057706,JOSÉ DE ALENCAR,,0.562,7.144
2022-01-01 13:49:55,cvp,Fortaleza,AIS 20,CAPITAL OESTE,MONDUBIM,,-3.8104603692,-38.5742876304,MONDUBIM,,0.246,0.599
2022-01-01 14:00:00,cvli,Juazeiro do Norte,AIS 02,SUL,,,-7.240660978,-39.30547155,JUAZEIRO DO NORTE,,4.833,3.069
