agencia,ais,area_faccao,arma,bairro,cidade,comment,consolidado,data,database,editar,excluir,hora,id,id_evento,idade,latitude,longitude,name,sexo,tipo,tipo_evento,type,version,dia_semana,eh_feriado,dia_quente_cvp,clima,precipitacao_mm,qtd_mortes,nature,ais_original,regiao_risp
2.0,AIS 18,,,SÃO GERARDO,Fortaleza,,Sim,2026-04-20,,,,12:12:03,77570,4414339.0,,-3.7259824288,-38.5566926136,,,cvp,ROUBO A PESSOA,,,,,,,,,,,CAPITAL OESTE
2.0,AIS 19,,,JOAQUIM TÁVORA,Fortaleza,,Sim,2026-04-20,,,,03:36:46,77571,4414333.0,,-3.7472685305,-38.5195077911,,,cvp,ROUBO A PESSOA,,,,,,,,,,,CAPITAL LESTE
2.0,AIS 16,,,MESSEJANA,Fortaleza,,Sim,2026-04-20,,,,03:39:15,77572,4414334.0,,-3.8309477692,-38.4882233681,,,cvp,ROUBO A PESSOA,,,,,,,,,,,CAPITAL LESTE
2.0,AIS 20,,,PLANALTO AYRTON SENNA,Fortaleza,,Sim,2026-04-20,,,,11:10:08,77573,4414338.0,,-3.8382562911,-38.5765826601,,,cvp,ROUBO A PESSOA,,,,,,,,,,,CAPITAL OESTE
2.0,AIS 22,,,PASSARÉ,Fortaleza,,Sim,2026-04-20,,,,15:14:04,77574,4414341.0,,-3.8257470328,-38.5383349594,,,cvp,ROUBO A PESSOA,,,,,,,,,,,CAPITAL LESTE
2.0,AIS 06,,,DOM LUSTOSA,Fortaleza,,Sim,2026-04-20,,,,16:31:33,77575,4414342.0,,-3.7553026361,-38.592609573,,,cvp,ROUBO A PESSOA,,,,,,,,,,,CAPITAL OESTE
2.0,AIS 16,,,PEDRAS,Fortaleza,,Sim,2026-04-20,,,,16:37:51,77576,4414343.0,,-3.883344847,-38.5066462604,,,cvp,ROUBO A ESTABELECIMENTO COMERCIAL,,,,,,,,,,,CAPITAL LESTE
2.0,AIS 17,,,CONJUNTO CEARÁ II,Fortaleza,,Sim,2026-04-20,,,,16:41:20,77577,4414344.0,,-3.7677029398,-38.6150049204,,,cvp,ROUBO A PESSOA,,,,,,,,,,,CAPITAL OESTE
2.0,AIS 16,,,MESSEJANA,Fortaleza,,Sim,2026-04-20,,,,19:13:09,77578,4414345.0,,-3.8167762121,-38.5013395461,,,cvp,ROUBO A PESSOA,,,,,,,,,,,CAPITAL LESTE
2.0,AIS 17,,,CANINDEZINHO,Fortaleza,,Sim,2026-04-20,,,,20:01:28,77579,4414346.0,,-3.8101701669,-38.6059572276,,,cvp,ROUBO A PESSOA,,,,,,,,,,,CAPITAL OESTE
2.0,AIS 06,,,PARQUELÂNDIA,Fortaleza,,Sim,2026-04-20,,,,21:33:20,77580,4414347.0,,-3.7382644453,-38.5642579343,,,cvp,ROUBO A PESSOA,,,,,,,,,,,CAPITAL OESTE
2.0,AIS 09,,,,Russas,,Sim,2026-04-20,,,,22:33:43,77581,4414448.0,,-4.9537014529,-37.992432812,,,cvp,ROUBO A PESSOA,,,,,,,,,,AIS 09,SUDESTE
2.0,AIS 08,,,VICENTE PINZÓN,Fortaleza,,Sim,2026-04-21,,,,07:30:59,77582,4414353.0,,-3.7338738019,-38.4766478924,,,cvp,ROUBO A PESSOA,,,,,,,,,,,CAPITAL LESTE
