agencia,ais,area_faccao,arma,bairro,cidade,comment,consolidado,data,database,editar,excluir,hora,id,id_evento,idade,latitude,longitude,name,sexo,tipo,tipo_evento,type,version,dia_semana,eh_feriado,dia_quente_cvp,clima,precipitacao_mm,qtd_mortes,nature
2.0,5.0,,,AEROLANDIA,Fortaleza,,Sim,2026-05-15,,,,09:02:44,78938,4429430.0,,-3.7528968367,-38.5225610442,RUA JOÃO LOBO FILHO,NONE,cvp,ROUBO A COLETIVO,,,Sexta-feira,False,False,,,,ROUBO A COLETIVO
2.0,3.0,,,ANCURI,Fortaleza,,Sim,2026-05-15,,,,08:32:06,78934,4429429.0,,-3.8676985407,-38.5095975758,RODOVIA 4º ANEL VIÁRIO,NONE,cvp,ROUBO A PESSOA,,,Sexta-feira,False,False,,,,ROUBO A PESSOA
2.0,7.0,,,AEROLANDIA,Fortaleza,,Sim,2026-05-15,,,,05:06:52,78937,4429428.0,,-3.7918610016,-38.5169943231,RUA JOANA MOREIRA,NONE,cvp,ROUBO A POSTO DE GASOLINA,,,Sexta-feira,False,False,,,,ROUBO A POSTO DE GASOLINA
2.0,9.0,,,BOM JARDIM,Fortaleza,,Sim,2026-05-15,,,,04:50:21,78935,4429427.0,,-3.804442476,-38.5843481026,RUA PROFESSOR GLAUCO LOBO,NONE,cvp,ROUBO A PESSOA,,,Sexta-feira,False,False,,,,ROUBO A PESSOA
2.0,3.0,,,ANCURI,Fortaleza,,Sim,2026-05-15,,,,03:29:31,78936,4429426.0,,-3.8308064568,-38.5209537943,AVENIDA GOVERNADOR LEONEL BRIZOLA,NONE,cvp,ROUBO A PESSOA,,,Sexta-feira,False,False,,,,ROUBO A PESSOA
2.0,1.0,,,AEROLANDIA,Fortaleza,,Sim,2026-05-14,,,,19:16:32,78915,4429425.0,,-3.7370761996,-38.4982863544,AVENIDA SANTOS DUMONT,NONE,cvp,ROUBO A PESSOA,,,Quinta-feira,False,False,,,,ROUBO A PESSOA
2.0,3.0,,,AEROLANDIA,Fortaleza,,Sim,2026-05-14,,,,18:28:14,78913,4429424.0,,-3.8176920838,-38.4970016945,AVENIDA FREI CIRILO,NONE,cvp,ROUBO A ESTABELECIMENTO COMERCIAL,,,Quinta-feira,False,False,,,,ROUBO A ESTABELECIMENTO COMERCIAL
2.0,12.0,,,CANINDEZINHO,Maracanaú,,Sim,2026-05-14,,,,18:25:56,78930,4429457.0,,-3.8489139562,-38.5987210818,AVENIDA SENADOR VIRGÍLIO TÁVORA,NONE,cvp,ROUBO A PESSOA C/ CONSTRANGIMENTO DA LIBERDADE,,,Quinta-feira,False,False,,,,ROUBO A PESSOA C/ CONSTRANGIMENTO DA LIBERDADE
2.0,19.0,,Arma de fogo,POTENGI,Potengi,,Sim,2026-05-14,,,,18:00:00,78780,4428922.0,36.0,-7.0893813211,-40.0116055878,VILA SARAÍVA,M,cvli,HOMICIDIO DOLOSO,,,Quinta-feira,False,False,,,1.0,HOMICIDIO DOLOSO
2.0,10.0,,,AEROLANDIA,Fortaleza,,Sim,2026-05-14,,,,15:30:43,78914,4429422.0,,-3.758036377,-38.4853883463,RUA DOUTOR MÁRLIO FERNANDES,NONE,cvp,ROUBO A PESSOA,,,Quinta-feira,False,False,,,,ROUBO A PESSOA
2.0,10.0,,,ALDEOTA,Fortaleza,,Sim,2026-05-14,,,,13:50:35,78916,4429420.0,,-3.7350413168,-38.4665502043,AVENIDA PROFESSOR EUCLIDES CESAR,NONE,cvp,ROUBO A RESIDÊNCIA,,,Quinta-feira,False,False,,,,ROUBO A RESIDÊNCIA
2.0,6.0,,,AMADEU FURTADO,Fortaleza,,Sim,2026-05-14,,,,12:00:37,78912,4429419.0,,-3.7637709044,-38.5799205119,RUA DESEMBARGADOR LUÍS PAULINO,NONE,cvp,ROUBO A ESTABELECIMENTO COMERCIAL,,,Quinta-feira,False,False,,,,ROUBO A ESTABELECIMENTO COMERCIAL
2.0,6.0,,,AEROPORTO,Fortaleza,,Sim,2026-05-14,,,,11:49:45,78920,4429418.0,,-3.7483852134,-38.560814405,AVENIDA HUMBERTO MONTE,NONE,cvp,ROUBO A FARMÁCIA,,,Quinta-feira,False,False,,,,ROUBO A FARMÁCIA
2.0,17.0,,,,Itapipoca,,Sim,2026-05-14,,,,10:38:22,78933,4429476.0,,-3.6777658719,-40.3489390469,RUA PEDRO MENDES CARNEIRO,NONE,cvp,ROUBO A ESTABELECIMENTO COMERCIAL,,,Quinta-feira,False,False,,,,ROUBO A ESTABELECIMENTO COMERCIAL
2.0,14.0,,,,Sobral,,Sim,2026-05-14,,,,10:38:07,78921,4429500.0,,-3.6777658719,-40.3489390469,RUA PEDRO MENDES CARNEIRO,NONE,cvp,ROUBO A RESIDÊNCIA,,,Quinta-feira,False,False,,,,ROUBO A RESIDÊNCIA
2.0,16.0,,,,Crateús,,Sim,2026-05-14,,,,10:24:21,78929,4429468.0,,-3.6818162187,-40.3412521252,AVENIDA DOUTOR GUARANI,NONE,cvp,ROUBO A PESSOA,,,Quinta-feira,False,False,,,,ROUBO A PESSOA
2.0,14.0,,,,Sobral,,Sim,2026-05-14,,,,10:21:21,78927,4429498.0,,-3.6818273451,-40.3413108398,AVENIDA DOUTOR GUARANI,NONE,cvp,ROUBO A RESIDÊNCIA,,,Quinta-feira,False,False,,,,ROUBO A RESIDÊNCIA
2.0,14.0,,,,Sobral,,Sim,2026-05-14,,,,10:14:21,78926,4429497.0,,-3.6818421732,-40.3413140129,AVENIDA DOUTOR GUARANI,NONE,cvp,ROUBO A PESSOA,,,Quinta-feira,False,False,,,,ROUBO A PESSOA
2.0,14.0,,,,Sobral,,Sim,2026-05-14,,,,10:13:51,78925,4429496.0,,-3.6818421732,-40.3413140129,AVENIDA DOUTOR GUARANI,NONE,cvp,ROUBO A ESTABELECIMENTO COMERCIAL,,,Quinta-feira,False,False,,,,ROUBO A ESTABELECIMENTO COMERCIAL
2.0,14.0,,,,Sobral,,Sim,2026-05-14,,,,10:13:21,78928,4429495.0,,-3.6818525458,-40.3413329342,AVENIDA DOUTOR GUARANI,NONE,cvp,ROUBO A RESIDÊNCIA,,,Quinta-feira,False,False,,,,ROUBO A RESIDÊNCIA
2.0,14.0,,,,Sobral,,Sim,2026-05-14,,,,10:12:21,78922,4429492.0,,-3.6769244001,-40.3387510607,AVENIDA MARGARIDA MOURA,NONE,cvp,ROUBO A PESSOA,,,Quinta-feira,False,False,,,,ROUBO A PESSOA
2.0,14.0,,,,Sobral,,Sim,2026-05-14,,,,10:11:51,78923,4429491.0,,-3.676916485,-40.3387819282,AVENIDA MARGARIDA MOURA,NONE,cvp,ROUBO A ESTABELECIMENTO COMERCIAL,,,Quinta-feira,False,False,,,,ROUBO A ESTABELECIMENTO COMERCIAL
2.0,14.0,,,,Sobral,,Sim,2026-05-14,,,,10:10:36,78924,4429490.0,,-3.6777069107,-40.3392429661,AVENIDA MARGARIDA MOURA,NONE,cvp,ROUBO A PESSOA,,,Quinta-feira,False,False,,,,ROUBO A PESSOA
2.0,15.0,,,,Canindé,,Sim,2026-05-14,,,,10:08:51,78931,4429464.0,,-7.068049053,-40.3704065797,RUA DA PATRIARCA,NONE,cvp,ROUBO A PESSOA,,,Quinta-feira,False,False,,,,ROUBO A PESSOA
2.0,5.0,,,AEROLANDIA,Fortaleza,,Sim,2026-05-14,,,,09:42:33,78919,4429417.0,,-3.7918972781,-38.5439130579,RUA PEDRO ÁGUIAR,NONE,cvp,ROUBO A PESSOA,,,Quinta-feira,False,False,,,,ROUBO A PESSOA
2.0,1.0,,,AEROLANDIA,Fortaleza,,Sim,2026-05-14,,,,09:10:41,78918,4429416.0,,-3.7413741524,-38.5040146334,RUA TIBÚRCIO CAVALCANTE,NONE,cvp,ROUBO A PESSOA,,,Quinta-feira,False,False,,,,ROUBO A PESSOA
2.0,4.0,,,AEROLANDIA,Fortaleza,,Sim,2026-05-14,,,,05:15:46,78917,4429415.0,,-3.7335839858,-38.5409095371,RUA RÚBIA SAMPAIO,NONE,cvp,ROUBO A PESSOA,,,Quinta-feira,False,False,,,,ROUBO A PESSOA
2.0,17.0,,Arma de fogo,,Itapipoca,,Sim,2026-05-14,,,,04:50:00,78781,4428911.0,32.0,-3.1855381894,-39.5177791448,CE-168,F,cvli,HOMICIDIO DOLOSO,,,Quinta-feira,False,False,,,1.0,HOMICIDIO DOLOSO
