agencia,ais,area_faccao,arma,bairro,cidade,comment,consolidado,data,database,editar,excluir,hora,id,id_evento,idade,latitude,longitude,name,sexo,tipo,tipo_evento,type,version,dia_semana,eh_feriado,dia_quente_cvp,clima,precipitacao_mm,qtd_mortes,nature,ais_original,regiao_risp
2.0,AIS 12,,,IPARANA,CAUCAIA,,Sim,2026-06-02,,,,8:52:12,80119,4440035.0,,-3.6836418465,-38.6515788801,RUA PROFESSORA DULCE DOS SANTOS SOBRAL,NAN,cvp,ROUBO A PESSOA,,,Terça-feira,False,True,,,,ROUBO A PESSOA,,RMF OESTE
2.0,AIS 12,,,IPARANA,CAUCAIA,,Sim,2026-06-02,,,,8:52:12,80119,4440035.0,,-3.6836418465,-38.6515788801,RUA PROFESSORA DULCE DOS SANTOS SOBRAL,NONE,cvp,ROUBO A PESSOA,,,Terça-feira,False,True,,,,ROUBO A PESSOA,,RMF OESTE
2.0,AIS 22,,,PASSARE,FORTALEZA,,Sim,2026-06-02,,,,3:46:45,80117,4440047.0,,-3.8243281088,-38.5421071404,AVENIDA PRESIDENTE COSTA E SILVA,NAN,cvp,ROUBO A PESSOA,,,Terça-feira,False,True,,,,ROUBO A PESSOA,,CAPITAL LESTE
2.0,AIS 22,,,PASSARE,FORTALEZA,,Sim,2026-06-02,,,,3:46:45,80117,4440047.0,,-3.8243281088,-38.5421071404,AVENIDA PRESIDENTE COSTA E SILVA,NONE,cvp,ROUBO A PESSOA,,,Terça-feira,False,True,,,,ROUBO A PESSOA,,CAPITAL LESTE
2.0,AIS 21,,,ENGENHEIRO LUCIANO CAVALCANTE,FORTALEZA,,Sim,2026-06-02,,,,10:34:34,80118,4440048.0,,-3.7842888958,-38.4847049402,RUA NS OITO,NAN,cvp,ROUBO A PESSOA,,,Terça-feira,False,True,,,,ROUBO A PESSOA,,CAPITAL LESTE
2.0,AIS 21,,,ENGENHEIRO LUCIANO CAVALCANTE,FORTALEZA,,Sim,2026-06-02,,,,10:34:34,80118,4440048.0,,-3.7842888958,-38.4847049402,RUA NS OITO,NONE,cvp,ROUBO A PESSOA,,,Terça-feira,False,True,,,,ROUBO A PESSOA,,CAPITAL LESTE
2.0,AIS 16,,,CAJAZEIRAS,FORTALEZA,,Sim,2026-06-01,,,,8:12:59,80111,4440038.0,,-3.7999235996,-38.506630139,RUA VEREADORA LALINHA MORAES,NAN,cvp,ROUBO A PESSOA,,,Segunda-feira,False,True,,,,ROUBO A PESSOA,,CAPITAL LESTE
2.0,AIS 16,,,CAJAZEIRAS,FORTALEZA,,Sim,2026-06-01,,,,8:12:59,80111,4440038.0,,-3.7999235996,-38.506630139,RUA VEREADORA LALINHA MORAES,NONE,cvp,ROUBO A PESSOA,,,Segunda-feira,False,True,,,,ROUBO A PESSOA,,CAPITAL LESTE
2.0,AIS 21,,,AEROLANDIA,FORTALEZA,,Sim,2026-06-01,,,,7:49:52,80110,4440037.0,,-3.7764208868,-38.5148617337,PISTA MARGINAL,NAN,cvp,ROUBO A PESSOA,,,Segunda-feira,False,True,,,,ROUBO A PESSOA,,CAPITAL OESTE
2.0,AIS 21,,,AEROLANDIA,FORTALEZA,,Sim,2026-06-01,,,,7:49:52,80110,4440037.0,,-3.7764208868,-38.5148617337,PISTA MARGINAL,NONE,cvp,ROUBO A PESSOA,,,Segunda-feira,False,True,,,,ROUBO A PESSOA,,CAPITAL OESTE
2.0,AIS 16,,,CAJAZEIRAS,FORTALEZA,,Sim,2026-06-01,,,,5:37:57,80116,4440036.0,,-3.8159541926,-38.5029696097,RUA ESTUDANTE ANA KELLY,NAN,cvp,ROUBO A PESSOA,,,Segunda-feira,False,True,,,,ROUBO A PESSOA,,CAPITAL LESTE
