snapshot_generated_at,data_limit,source,scope,rank,name,name_normalized,region,territorial_level,risk_score,risk_level,confidence_pct,confidence_label,expressiveness_pct,expressiveness_label,recent_cvli_14d,recent_cvli_30d,historical_cvli,neural_score,tension_score,inclusion_score,calm_penalty,territorial_support_pct,historical_support_pct,live_support_pct,score_z,peer_percentile,dynamic_window_days,base_window_days,historical_fallback,trend,top_driver_1,top_driver_1_strength_pct,top_driver_2,top_driver_2_strength_pct,top_driver_3,top_driver_3_strength_pct,explainability_summary,leitura_rapida_gestor,por_que_importa_gestor,confianca_limites_gestor,expressividade_previsao_gestor,proxima_acao_gestor
2026-05-25T22:42:04,2026-05-25,src/core/orchestrator.py:get_combined_risk,fortaleza_bairros_top30,1,BARRA DO CEARA,BARRA DO CEARA,fortaleza,bairro,80.93,crítico,66.9,baixa,99.8,muito alta,1,1,136.0,75.2,100.0,50.0,16.7,100.0,100.0,100.0,4.13,100.0,14,14,True,stable,Tensão territorial,100.0,Sinal neural do ST-GAT,75.2,Fallback histórico ativado,55.0,Tensão territorial: 100.0% | Sinal neural do ST-GAT: 75.2% | Fallback histórico ativado: 55.0%,"BARRA DO CEARA aparece na posição 1 de 109, com risco 80.9 e nível crítico; é prioridade imediata de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 1 registros recentes na janela de 30 dias.",Leitura mais fraca; parte do peso vem de fallback histórico e deve ser confirmada em campo.,O território está bem destacado no ranking frente aos pares.,"Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-05-25T22:42:04,2026-05-25,src/core/orchestrator.py:get_combined_risk,fortaleza_bairros_top30,2,CAJAZEIRAS,CAJAZEIRAS,fortaleza,bairro,71.67,crítico,70.9,moderada,96.5,muito alta,1,2,35.0,100.0,100.0,50.0,33.3,100.0,37.5,100.0,3.55,99.1,14,14,True,stable,Sinal neural do ST-GAT,100.0,Tensão territorial,100.0,Fallback histórico ativado,55.0,Sinal neural do ST-GAT: 100.0% | Tensão territorial: 100.0% | Fallback histórico ativado: 55.0%,"CAJAZEIRAS aparece na posição 2 de 109, com risco 71.7 e nível crítico; é prioridade imediata de acompanhamento.","O peso principal vem de sinal neural do st-gat, com suporte territorial de 100.0% e 2 registros recentes na janela de 30 dias.","Leitura consistente, mas ainda pede validação operacional pontual.",O território está bem destacado no ranking frente aos pares.,"Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-05-25T22:42:04,2026-05-25,src/core/orchestrator.py:get_combined_risk,fortaleza_bairros_top30,3,BONSUCESSO,BONSUCESSO,fortaleza,bairro,60.7,alto,66.9,baixa,92.5,muito alta,1,1,48.0,74.7,100.0,50.0,16.7,100.0,70.0,100.0,2.85,98.1,14,14,True,stable,Tensão territorial,100.0,Sinal neural do ST-GAT,74.7,Fallback histórico ativado,55.0,Tensão territorial: 100.0% | Sinal neural do ST-GAT: 74.7% | Fallback histórico ativado: 55.0%,"BONSUCESSO aparece na posição 3 de 109, com risco 60.7 e nível alto; é prioridade imediata de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 1 registros recentes na janela de 30 dias.",Leitura mais fraca; parte do peso vem de fallback histórico e deve ser confirmada em campo.,O território está bem destacado no ranking frente aos pares.,"Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-05-25T22:42:04,2026-05-25,src/core/orchestrator.py:get_combined_risk,fortaleza_bairros_top30,4,ANCURI,ANCURI,fortaleza,bairro,53.63,alto,71.6,moderada,89.9,muito alta,1,2,34.0,61.3,100.0,50.0,20.0,100.0,35.0,100.0,2.4,97.2,14,14,True,stable,Tensão territorial,100.0,Sinal neural do ST-GAT,61.3,Fallback histórico ativado,55.0,Tensão territorial: 100.0% | Sinal neural do ST-GAT: 61.3% | Fallback histórico ativado: 55.0%,"ANCURI aparece na posição 4 de 109, com risco 53.6 e nível alto; é prioridade imediata de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 2 registros recentes na janela de 30 dias.","Leitura consistente, mas ainda pede validação operacional pontual.",O território está bem destacado no ranking frente aos pares.,"Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-05-25T22:42:04,2026-05-25,src/core/orchestrator.py:get_combined_risk,fortaleza_bairros_top30,5,SAO BENTO,SAO BENTO,fortaleza,bairro,52.98,alto,66.5,baixa,89.1,muito alta,1,1,19.0,59.3,100.0,50.0,16.7,100.0,0.0,100.0,2.36,96.3,14,14,True,stable,Tensão territorial,100.0,Sinal neural do ST-GAT,59.3,Fallback histórico ativado,55.0,Tensão territorial: 100.0% | Sinal neural do ST-GAT: 59.3% | Fallback histórico ativado: 55.0%,"SAO BENTO aparece na posição 5 de 109, com risco 53.0 e nível alto; é prioridade imediata de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 1 registros recentes na janela de 30 dias.",Leitura mais fraca; parte do peso vem de fallback histórico e deve ser confirmada em campo.,O território está bem destacado no ranking frente aos pares.,"Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-05-25T22:42:04,2026-05-25,src/core/orchestrator.py:get_combined_risk,fortaleza_bairros_top30,6,MONDUBIM,MONDUBIM,fortaleza,bairro,48.67,moderado,55.3,baixa,87.3,muito alta,0,0,92.0,26.7,100.0,0.0,46.7,100.0,100.0,0.0,2.09,95.4,14,14,True,stable,Tensão territorial,100.0,Fallback histórico ativado,55.0,Sinal neural do ST-GAT,26.7,Tensão territorial: 100.0% | Fallback histórico ativado: 55.0% | Sinal neural do ST-GAT: 26.7%,"MONDUBIM aparece na posição 6 de 109, com risco 48.7 e nível moderado; é prioridade alta de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 0 registros recentes na janela de 30 dias.",Leitura mais fraca; parte do peso vem de fallback histórico e deve ser confirmada em campo.,O território está bem destacado no ranking frente aos pares.,"Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-05-25T22:42:04,2026-05-25,src/core/orchestrator.py:get_combined_risk,fortaleza_bairros_top30,7,MESSEJANA,MESSEJANA,fortaleza,bairro,47.53,moderado,55.2,baixa,86.3,muito alta,0,0,115.0,24.4,100.0,0.0,46.7,100.0,100.0,0.0,2.02,94.4,14,14,True,stable,Tensão territorial,100.0,Fallback histórico ativado,55.0,Sinal neural do ST-GAT,24.4,Tensão territorial: 100.0% | Fallback histórico ativado: 55.0% | Sinal neural do ST-GAT: 24.4%,"MESSEJANA aparece na posição 7 de 109, com risco 47.5 e nível moderado; é prioridade alta de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 0 registros recentes na janela de 30 dias.",Leitura mais fraca; parte do peso vem de fallback histórico e deve ser confirmada em campo.,O território está bem destacado no ranking frente aos pares.,"Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-05-25T22:42:04,2026-05-25,src/core/orchestrator.py:get_combined_risk,fortaleza_bairros_top30,8,PEDRAS,PEDRAS,fortaleza,bairro,46.36,moderado,55.1,baixa,85.4,muito alta,0,0,81.0,22.1,100.0,0.0,46.7,100.0,100.0,0.0,1.94,93.5,14,14,True,stable,Tensão territorial,100.0,Fallback histórico ativado,55.0,Sinal neural do ST-GAT,22.1,Tensão territorial: 100.0% | Fallback histórico ativado: 55.0% | Sinal neural do ST-GAT: 22.1%,"PEDRAS aparece na posição 8 de 109, com risco 46.4 e nível moderado; é prioridade alta de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 0 registros recentes na janela de 30 dias.",Leitura mais fraca; parte do peso vem de fallback histórico e deve ser confirmada em campo.,O território está bem destacado no ranking frente aos pares.,"Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-05-25T22:42:04,2026-05-25,src/core/orchestrator.py:get_combined_risk,fortaleza_bairros_top30,9,BARROSO,BARROSO,fortaleza,bairro,44.67,moderado,55.0,baixa,84.4,alta,0,0,72.0,18.7,100.0,0.0,46.7,100.0,100.0,0.0,1.84,92.6,14,14,True,stable,Tensão territorial,100.0,Fallback histórico ativado,55.0,Sinal neural do ST-GAT,18.7,Tensão territorial: 100.0% | Fallback histórico ativado: 55.0% | Sinal neural do ST-GAT: 18.7%,"BARROSO aparece na posição 9 de 109, com risco 44.7 e nível moderado; é prioridade alta de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 0 registros recentes na janela de 30 dias.",Leitura mais fraca; parte do peso vem de fallback histórico e deve ser confirmada em campo.,"O território se diferencia do bloco intermediário, mas sem isolamento absoluto.","Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-05-25T22:42:04,2026-05-25,src/core/orchestrator.py:get_combined_risk,fortaleza_bairros_top30,10,PLANALTO AYRTON SENNA,PLANALTO AYRTON SENNA,fortaleza,bairro,44.37,moderado,54.9,muito baixa,83.7,alta,0,0,94.0,18.1,100.0,0.0,46.7,100.0,100.0,0.0,1.82,91.7,14,14,True,stable,Tensão territorial,100.0,Fallback histórico ativado,55.0,Sinal neural do ST-GAT,18.1,Tensão territorial: 100.0% | Fallback histórico ativado: 55.0% | Sinal neural do ST-GAT: 18.1%,"PLANALTO AYRTON SENNA aparece na posição 10 de 109, com risco 44.4 e nível moderado; é prioridade alta de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 0 registros recentes na janela de 30 dias.",Leitura mais fraca; parte do peso vem de fallback histórico e deve ser confirmada em campo.,"O território se diferencia do bloco intermediário, mas sem isolamento absoluto.","Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
