bairro,posicao,logradouro
,1,RUA SANTO EXPEDITO
,2,249
-,1,AV JOSE LOPES DE MESQUITA
-,2,300 (ESCOLA DE ENSINO MEDIO DIANE MARIA BEZERRA PESSOA)
-,3,MARRECAS
-,4,RUA C
-,5,LOTEAMENTO CASTELO BRANCO 4
-,6,SITIO ESTIVAS
-,7,SITIO TAUA DE CIMA
-,8,S/N
ABC,1,QUADRA 5
ABC,2,S/N
ABC,3,RUA CASAS POPULARES
ABC,4,S/N
ACONCHEGO,1,RUA AUGUSTO LEITE
ACONCHEGO,2,94
ACUDE VELHO,1,RUA VILA CHAGAS
ACUDE VELHO,2,1055
ADALTO,1,SITIO CONTENDAS
ADALTO,2,S/N
ADRIANOPOLIS,1,AV AIRTON SENA
ADRIANOPOLIS,2,309
AEROPORTO,1,RUA AEROPORTO S/N
AEROPORTO,2,RUA MACIEL FERREIRA DE ARAUJO
AEROPORTO,3,S/N
ALMOFALA,1,PRAIA DA TIJUCA
ALMOFALA,2,S/N
ALTIPLANO,1,AV. VALDEMIRO JOSE DE OLIVEIRA
ALTIPLANO,2,S/N
ALTO,1,RUA ANTONIO DA ROCHA FREITAS
ALTO,2,1265
ALTO ALEGRE,1,RUA JORNALISTA VICENTE LOIOLA
ALTO ALEGRE,2,RUA URBANO TEIXEIRA DE MENEZES
ALTO ALEGRE,3,S/N
ALTO BELA VISTA,1,RUA 01
ALTO BELA VISTA,2,S/N
ALTO BRILHANTE,1,RUA GENERAL JOSE SCARCELA
ALTO BRILHANTE,2,44
ALTO BRILHANTE,3,RUA WALDEMAR GUEDES DE MENDONCA
ALTO BRILHANTE,4,104
ALTO DA ALEGRIA,1,RUA ANTONIO MANUEL DE QUEIROZ
ALTO DA ALEGRIA,2,213
ALTO DA PENHA,1,RUA ANTONIO CARLOS JOBIM
ALTO DA PENHA,2,05
ALTO DA PENHA,3,RUA PADRE IBIAPINA
ALTO DA PENHA,4,1288
ALTO DO CRISTO,1,RUA JOSE DE ALENCAR DE SABOIA
ALTO DO CRISTO,2,S/N
ALTO DO JUCA,1,RUA VILA SAO JOSE
ALTO DO JUCA,2,28
ALTO DO ROSARIO,1,RUA NATHANAEL PEREIRA DE SOUZA
ALTO DO ROSARIO,2,153
ALTO JUCA,1,AV. CRUZEIRO DO SUL
ALTO JUCA,2,POSTO BR
ALTO SAO JOAO,1,RUA LEOPOLDO ASSUNCAO NEPOMUCENO
ALTO SAO JOAO,2,S/N
ALVARO WEYNE,1,AV. TEN LISBOA
ALVARO WEYNE,2,3610
ALVARO WEYNE,3,RUA CURIO
ALVARO WEYNE,4,1282
ANCURI,1,AV. DIONISIO LEONEL AGUIAR
APOSSADOS,1,RUA TV BELA VISTA
APOSSADOS,2,357
ARACA,1,RUA DO POCO
ARACA,2,48
ARASSA,1,RUA VEREADOR VINOR LEITE
ARASSA,2,46
ARATURI,1,AV. AIRTON SENA
ARATURI,2,400 BLOCO 2 AP. 113 RESIDENCIAL ATENAS
AREA SECA,1,RUA MINAS GERAIS
AREA SECA,2,S/N
AREA SECA,3,RUA PORTO ALEGRE
ATERRO,1,RUA HILTON GONDIM BANDEIRA
ATERRO,2,1233
BAILARINA,1,RUA MANOEL DE OLIVEIRA MAGALHAES
BAILARINA,2,S/N
BAIRRO 13,1,RUA CICERO TEIXEIRA
BAIRRO 13,2,S/N
BAIRRO DE FATIMA,1,RUA CORONEL PERGENTINO FERREIRA
BAIRRO DE FATIMA,2,182
BAIRRO DE FATIMA,3,RUA MARIA DE LOURDES DE CARVALHO
BAIRRO DE FATIMA,4,17
BAIRRO DE FATIMA,5,TV. VICENTE VELOSO
BAIRRO DE FATIMA,6,262
BAIRRO ELLERY,1,RUA RAQUEL DE HOLANDA
BAIRRO ELLERY,2,S/N
BAIRRO S,1,AV. LUCIANO MAGALHAES
BAIRRO S,2,S/N
BAIRRO SAO GERALDO,1,RUA PADRE CICERO
BAIRRO SAO GERALDO,2,257
