snapshot_generated_at,data_limit,source,scope,rank,name,name_normalized,region,territorial_level,risk_score,risk_level,confidence_pct,confidence_label,expressiveness_pct,expressiveness_label,recent_cvli_14d,recent_cvli_30d,historical_cvli,neural_score,tension_score,inclusion_score,calm_penalty,territorial_support_pct,historical_support_pct,live_support_pct,score_z,peer_percentile,dynamic_window_days,base_window_days,historical_fallback,trend,top_driver_1,top_driver_1_strength_pct,top_driver_2,top_driver_2_strength_pct,top_driver_3,top_driver_3_strength_pct,explainability_summary,leitura_rapida_gestor,por_que_importa_gestor,confianca_limites_gestor,expressividade_previsao_gestor,proxima_acao_gestor
2026-08-14T15:03:03,2026-08-05,src/core/orchestrator.py:get_combined_risk,fortaleza_bairros_top30,1,MESSEJANA,MESSEJANA,fortaleza,bairro,93.17,crítico,95.0,alta,100.0,muito alta,2,3,120.0,100.0,100.0,100.0,30.0,100.0,100.0,100.0,4.43,100.0,90,90,False,stable,Sinal Poisson do ranking operacional,100.0,Tensão territorial,100.0,Atividade recente e vizinhança,100.0,Sinal Poisson do ranking operacional: 100.0% | Tensão territorial: 100.0% | Atividade recente e vizinhança: 100.0%,"MESSEJANA aparece na posição 1 de 40, com risco 93.2 e nível crítico; é prioridade imediata de acompanhamento.","O peso principal vem de sinal poisson do ranking operacional, com suporte territorial de 100.0% e 3 registros recentes na janela de 30 dias.",Leitura com boa sustentação dos sinais atuais.,O território está bem destacado no ranking frente aos pares.,"Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-08-14T15:03:03,2026-08-05,src/core/orchestrator.py:get_combined_risk,fortaleza_bairros_top30,2,JOSE DE ALENCAR,JOSE DE ALENCAR,fortaleza,bairro,46.36,moderado,83.6,moderada,87.4,muito alta,2,3,48.0,19.3,100.0,100.0,26.7,100.0,70.0,100.0,1.86,97.4,90,90,False,stable,Tensão territorial,100.0,Atividade recente e vizinhança,100.0,CVLI recente na janela de 30 dias,60.0,Tensão territorial: 100.0% | Atividade recente e vizinhança: 100.0% | CVLI recente na janela de 30 dias: 60.0%,"JOSE DE ALENCAR aparece na posição 2 de 40, com risco 46.4 e nível moderado; é prioridade imediata de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 3 registros recentes na janela de 30 dias.","Leitura consistente, mas ainda pede validação operacional pontual.",O território está bem destacado no ranking frente aos pares.,"Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-08-14T15:03:03,2026-08-05,src/core/orchestrator.py:get_combined_risk,fortaleza_bairros_top30,3,SIQUEIRA,SIQUEIRA,fortaleza,bairro,40.67,moderado,76.4,moderada,84.4,alta,1,1,79.0,32.5,100.0,50.0,40.0,100.0,100.0,100.0,1.55,94.9,90,90,False,stable,Tensão territorial,100.0,Atividade recente e vizinhança,50.0,Sinal Poisson do ranking operacional,32.5,Tensão territorial: 100.0% | Atividade recente e vizinhança: 50.0% | Sinal Poisson do ranking operacional: 32.5%,"SIQUEIRA aparece na posição 3 de 40, com risco 40.7 e nível moderado; é prioridade imediata de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 1 registros recentes na janela de 30 dias.","Leitura consistente, mas ainda pede validação operacional pontual.","O território se diferencia do bloco intermediário, mas sem isolamento absoluto.","Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-08-14T15:03:03,2026-08-05,src/core/orchestrator.py:get_combined_risk,fortaleza_bairros_top30,4,BARROSO,BARROSO,fortaleza,bairro,39.73,moderado,76.1,moderada,82.6,alta,1,1,73.0,29.6,100.0,50.0,30.0,100.0,100.0,100.0,1.49,92.3,90,90,False,stable,Tensão territorial,100.0,Atividade recente e vizinhança,50.0,Sinal Poisson do ranking operacional,29.6,Tensão territorial: 100.0% | Atividade recente e vizinhança: 50.0% | Sinal Poisson do ranking operacional: 29.6%,"BARROSO aparece na posição 4 de 40, com risco 39.7 e nível moderado; é prioridade imediata de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 1 registros recentes na janela de 30 dias.","Leitura consistente, mas ainda pede validação operacional pontual.","O território se diferencia do bloco intermediário, mas sem isolamento absoluto.","Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-08-14T15:03:03,2026-08-05,src/core/orchestrator.py:get_combined_risk,fortaleza_bairros_top30,5,BARRA DO CEARA,BARRA DO CEARA,fortaleza,bairro,37.65,moderado,45.3,muito baixa,80.4,alta,0,0,136.0,84.4,20.0,0.0,100.0,20.0,100.0,0.0,1.38,89.7,90,90,False,stable,Sinal Poisson do ranking operacional,84.4,Tensão territorial,20.0,Atividade recente e vizinhança,0.0,Sinal Poisson do ranking operacional: 84.4% | Tensão territorial: 20.0% | Atividade recente e vizinhança: 0.0%,"BARRA DO CEARA aparece na posição 5 de 40, com risco 37.6 e nível moderado; é prioridade imediata de acompanhamento.","O peso principal vem de sinal poisson do ranking operacional, com suporte territorial de 20.0% e 0 registros recentes na janela de 30 dias.",Leitura sensível a ruído; requer conferência adicional antes de decisão forte.,"O território se diferencia do bloco intermediário, mas sem isolamento absoluto.","Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-08-14T15:03:03,2026-08-05,src/core/orchestrator.py:get_combined_risk,fortaleza_bairros_top30,6,LAGOA REDONDA,LAGOA REDONDA,fortaleza,bairro,35.32,moderado,75.2,moderada,78.3,alta,1,1,57.0,20.7,100.0,50.0,13.3,100.0,92.5,100.0,1.25,87.2,90,90,False,stable,Tensão territorial,100.0,Atividade recente e vizinhança,50.0,Sinal Poisson do ranking operacional,20.7,Tensão territorial: 100.0% | Atividade recente e vizinhança: 50.0% | Sinal Poisson do ranking operacional: 20.7%,"LAGOA REDONDA aparece na posição 6 de 40, com risco 35.3 e nível moderado; é prioridade alta de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 1 registros recentes na janela de 30 dias.","Leitura consistente, mas ainda pede validação operacional pontual.","O território se diferencia do bloco intermediário, mas sem isolamento absoluto.","Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-08-14T15:03:03,2026-08-05,src/core/orchestrator.py:get_combined_risk,fortaleza_bairros_top30,7,GRANJA LISBOA,GRANJA LISBOA,fortaleza,bairro,31.15,moderado,54.6,muito baixa,75.7,alta,0,1,112.0,59.7,50.0,0.0,93.3,50.0,100.0,50.0,1.02,84.6,90,90,False,stable,Sinal Poisson do ranking operacional,59.7,Tensão territorial,50.0,CVLI recente na janela de 30 dias,20.0,Sinal Poisson do ranking operacional: 59.7% | Tensão territorial: 50.0% | CVLI recente na janela de 30 dias: 20.0%,"GRANJA LISBOA aparece na posição 7 de 40, com risco 31.1 e nível moderado; é prioridade alta de acompanhamento.","O peso principal vem de sinal poisson do ranking operacional, com suporte territorial de 50.0% e 1 registros recentes na janela de 30 dias.",Leitura sensível a ruído; requer conferência adicional antes de decisão forte.,"O território se diferencia do bloco intermediário, mas sem isolamento absoluto.","Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-08-14T15:03:03,2026-08-05,src/core/orchestrator.py:get_combined_risk,fortaleza_bairros_top30,8,JOSE WALTER,JOSE WALTER,fortaleza,bairro,21.09,baixo,40.8,muito baixa,71.5,alta,0,0,103.0,45.2,20.0,0.0,100.0,20.0,100.0,0.0,0.47,82.1,90,90,False,stable,Sinal Poisson do ranking operacional,45.2,Tensão territorial,20.0,Atividade recente e vizinhança,0.0,Sinal Poisson do ranking operacional: 45.2% | Tensão territorial: 20.0% | Atividade recente e vizinhança: 0.0%,"JOSE WALTER aparece na posição 8 de 40, com risco 21.1 e nível baixo; é prioridade alta de acompanhamento.","O peso principal vem de sinal poisson do ranking operacional, com suporte territorial de 20.0% e 0 registros recentes na janela de 30 dias.",Leitura sensível a ruído; requer conferência adicional antes de decisão forte.,"O território se diferencia do bloco intermediário, mas sem isolamento absoluto.","Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-08-14T15:03:03,2026-08-05,src/core/orchestrator.py:get_combined_risk,fortaleza_bairros_top30,9,PLANALTO AYRTON SENNA,PLANALTO AYRTON SENNA,fortaleza,bairro,18.66,baixo,40.0,muito baixa,69.3,moderada,0,0,95.0,39.4,20.0,0.0,100.0,20.0,100.0,0.0,0.34,79.5,90,90,False,stable,Sinal Poisson do ranking operacional,39.4,Tensão territorial,20.0,Atividade recente e vizinhança,0.0,Sinal Poisson do ranking operacional: 39.4% | Tensão territorial: 20.0% | Atividade recente e vizinhança: 0.0%,"PLANALTO AYRTON SENNA aparece na posição 9 de 40, com risco 18.7 e nível baixo; é prioridade alta de acompanhamento.","O peso principal vem de sinal poisson do ranking operacional, com suporte territorial de 20.0% e 0 registros recentes na janela de 30 dias.",Leitura sensível a ruído; requer conferência adicional antes de decisão forte.,O território está próximo de pares vizinhos e pode oscilar no próximo ciclo.,"Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-08-14T15:03:03,2026-08-05,src/core/orchestrator.py:get_combined_risk,fortaleza_bairros_top30,10,MONDUBIM,MONDUBIM,fortaleza,bairro,14.94,baixo,38.8,muito baixa,66.8,moderada,0,0,92.0,30.6,20.0,0.0,100.0,20.0,100.0,0.0,0.13,76.9,90,90,False,stable,Sinal Poisson do ranking operacional,30.6,Tensão territorial,20.0,Atividade recente e vizinhança,0.0,Sinal Poisson do ranking operacional: 30.6% | Tensão territorial: 20.0% | Atividade recente e vizinhança: 0.0%,"MONDUBIM aparece na posição 10 de 40, com risco 14.9 e nível baixo; é prioridade alta de acompanhamento.","O peso principal vem de sinal poisson do ranking operacional, com suporte territorial de 20.0% e 0 registros recentes na janela de 30 dias.",Leitura sensível a ruído; requer conferência adicional antes de decisão forte.,O território está próximo de pares vizinhos e pode oscilar no próximo ciclo.,"Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
