snapshot_generated_at,data_limit,source,scope,rank,name,name_normalized,region,territorial_level,risk_score,risk_level,confidence_pct,confidence_label,expressiveness_pct,expressiveness_label,recent_cvli_14d,recent_cvli_30d,historical_cvli,neural_score,tension_score,inclusion_score,calm_penalty,territorial_support_pct,historical_support_pct,live_support_pct,score_z,peer_percentile,dynamic_window_days,base_window_days,historical_fallback,trend,top_driver_1,top_driver_1_strength_pct,top_driver_2,top_driver_2_strength_pct,top_driver_3,top_driver_3_strength_pct,explainability_summary,leitura_rapida_gestor,por_que_importa_gestor,confianca_limites_gestor,expressividade_previsao_gestor,proxima_acao_gestor
2026-08-08T11:32:08,2026-08-05,src/core/orchestrator.py:get_combined_risk,cities_interior_top30,1,JUAZEIRO DO NORTE,JUAZEIRO DO NORTE,interior,cidade,98.48,crítico,99.0,alta,93.2,muito alta,3,6,329.0,100.0,100.0,100.0,6.7,100.0,100.0,100.0,2.75,100.0,14,14,False,stable,Sinal Poisson do ranking operacional,100.0,Tensão territorial,100.0,Atividade recente e vizinhança,100.0,Sinal Poisson do ranking operacional: 100.0% | Tensão territorial: 100.0% | Atividade recente e vizinhança: 100.0%,"JUAZEIRO DO NORTE aparece na posição 1 de 20, com risco 98.5 e nível crítico; é prioridade imediata de acompanhamento.","O peso principal vem de sinal poisson do ranking operacional, com suporte territorial de 100.0% e 6 registros recentes na janela de 30 dias.",Leitura com boa sustentação dos sinais atuais.,O território está bem destacado no ranking frente aos pares.,"Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-08-08T11:32:08,2026-08-05,src/core/orchestrator.py:get_combined_risk,cities_interior_top30,2,SOBRAL,SOBRAL,interior,cidade,79.69,crítico,93.6,alta,86.7,muito alta,1,4,391.0,89.0,100.0,50.0,3.3,100.0,100.0,100.0,2.06,94.7,14,14,False,stable,Tensão territorial,100.0,Sinal Poisson do ranking operacional,89.0,CVLI recente na janela de 30 dias,80.0,Tensão territorial: 100.0% | Sinal Poisson do ranking operacional: 89.0% | CVLI recente na janela de 30 dias: 80.0%,"SOBRAL aparece na posição 2 de 20, com risco 79.7 e nível crítico; é prioridade imediata de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 4 registros recentes na janela de 30 dias.",Leitura com boa sustentação dos sinais atuais.,O território está bem destacado no ranking frente aos pares.,"Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-08-08T11:32:08,2026-08-05,src/core/orchestrator.py:get_combined_risk,cities_interior_top30,3,CRATO,CRATO,interior,cidade,52.84,alto,89.8,alta,78.8,alta,4,6,188.0,28.1,100.0,100.0,6.7,100.0,100.0,100.0,1.07,89.5,14,14,False,stable,Tensão territorial,100.0,Atividade recente e vizinhança,100.0,CVLI recente na janela de 30 dias,100.0,Tensão territorial: 100.0% | Atividade recente e vizinhança: 100.0% | CVLI recente na janela de 30 dias: 100.0%,"CRATO aparece na posição 3 de 20, com risco 52.8 e nível alto; é prioridade imediata de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 6 registros recentes na janela de 30 dias.",Leitura com boa sustentação dos sinais atuais.,"O território se diferencia do bloco intermediário, mas sem isolamento absoluto.","Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-08-08T11:32:08,2026-08-05,src/core/orchestrator.py:get_combined_risk,cities_interior_top30,4,BOA VIAGEM,BOA VIAGEM,interior,cidade,47.78,moderado,88.8,alta,74.7,alta,4,6,126.0,21.1,100.0,100.0,20.0,100.0,100.0,100.0,0.88,84.2,14,14,False,stable,Tensão territorial,100.0,Atividade recente e vizinhança,100.0,CVLI recente na janela de 30 dias,100.0,Tensão territorial: 100.0% | Atividade recente e vizinhança: 100.0% | CVLI recente na janela de 30 dias: 100.0%,"BOA VIAGEM aparece na posição 4 de 20, com risco 47.8 e nível moderado; é prioridade imediata de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 6 registros recentes na janela de 30 dias.",Leitura com boa sustentação dos sinais atuais.,"O território se diferencia do bloco intermediário, mas sem isolamento absoluto.","Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-08-08T11:32:08,2026-08-05,src/core/orchestrator.py:get_combined_risk,cities_interior_top30,5,ITAPAJE,ITAPAJE,interior,cidade,42.2,moderado,87.6,alta,70.6,alta,2,5,103.0,12.4,100.0,100.0,30.0,100.0,100.0,100.0,0.67,78.9,14,14,False,stable,Tensão territorial,100.0,Atividade recente e vizinhança,100.0,CVLI recente na janela de 30 dias,100.0,Tensão territorial: 100.0% | Atividade recente e vizinhança: 100.0% | CVLI recente na janela de 30 dias: 100.0%,"ITAPAJE aparece na posição 5 de 20, com risco 42.2 e nível moderado; é prioridade imediata de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 5 registros recentes na janela de 30 dias.",Leitura com boa sustentação dos sinais atuais.,"O território se diferencia do bloco intermediário, mas sem isolamento absoluto.","Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-08-08T11:32:08,2026-08-05,src/core/orchestrator.py:get_combined_risk,cities_interior_top30,6,AMONTADA,AMONTADA,interior,cidade,31.53,moderado,84.6,moderada,65.6,moderada,1,3,144.0,15.5,100.0,50.0,30.0,100.0,100.0,100.0,0.28,73.7,14,14,False,stable,Tensão territorial,100.0,CVLI recente na janela de 30 dias,60.0,Atividade recente e vizinhança,50.0,Tensão territorial: 100.0% | CVLI recente na janela de 30 dias: 60.0% | Atividade recente e vizinhança: 50.0%,"AMONTADA aparece na posição 6 de 20, com risco 31.5 e nível moderado; é prioridade alta de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 3 registros recentes na janela de 30 dias.","Leitura consistente, mas ainda pede validação operacional pontual.",O território está próximo de pares vizinhos e pode oscilar no próximo ciclo.,"Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-08-08T11:32:08,2026-08-05,src/core/orchestrator.py:get_combined_risk,cities_interior_top30,7,TIANGUA,TIANGUA,interior,cidade,31.48,moderado,74.5,moderada,62.4,moderada,1,1,129.0,14.9,100.0,50.0,20.0,100.0,100.0,100.0,0.28,68.4,14,14,False,stable,Tensão territorial,100.0,Atividade recente e vizinhança,50.0,CVLI recente na janela de 30 dias,20.0,Tensão territorial: 100.0% | Atividade recente e vizinhança: 50.0% | CVLI recente na janela de 30 dias: 20.0%,"TIANGUA aparece na posição 7 de 20, com risco 31.5 e nível moderado; é prioridade alta de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 1 registros recentes na janela de 30 dias.","Leitura consistente, mas ainda pede validação operacional pontual.",O território está próximo de pares vizinhos e pode oscilar no próximo ciclo.,"Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-08-08T11:32:08,2026-08-05,src/core/orchestrator.py:get_combined_risk,cities_interior_top30,8,PENTECOSTE,PENTECOSTE,interior,cidade,27.09,baixo,78.6,moderada,58.5,moderada,1,2,79.0,7.4,100.0,50.0,13.3,100.0,100.0,100.0,0.12,63.2,14,14,False,stable,Tensão territorial,100.0,Atividade recente e vizinhança,50.0,CVLI recente na janela de 30 dias,40.0,Tensão territorial: 100.0% | Atividade recente e vizinhança: 50.0% | CVLI recente na janela de 30 dias: 40.0%,"PENTECOSTE aparece na posição 8 de 20, com risco 27.1 e nível baixo; é prioridade alta de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 2 registros recentes na janela de 30 dias.","Leitura consistente, mas ainda pede validação operacional pontual.",O território está próximo de pares vizinhos e pode oscilar no próximo ciclo.,"Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-08-08T11:32:08,2026-08-05,src/core/orchestrator.py:get_combined_risk,cities_interior_top30,9,BARBALHA,BARBALHA,interior,cidade,13.59,baixo,81.3,moderada,52.9,moderada,0,3,74.0,6.6,100.0,0.0,46.7,100.0,100.0,100.0,-0.38,57.9,14,14,False,stable,Tensão territorial,100.0,CVLI recente na janela de 30 dias,60.0,Sinal Poisson do ranking operacional,6.6,Tensão territorial: 100.0% | CVLI recente na janela de 30 dias: 60.0% | Sinal Poisson do ranking operacional: 6.6%,"BARBALHA aparece na posição 9 de 20, com risco 13.6 e nível baixo; é prioridade alta de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 3 registros recentes na janela de 30 dias.","Leitura consistente, mas ainda pede validação operacional pontual.",O território está próximo de pares vizinhos e pode oscilar no próximo ciclo.,"Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-08-08T11:32:08,2026-08-05,src/core/orchestrator.py:get_combined_risk,cities_interior_top30,10,SAO BENEDITO,SAO BENEDITO,interior,cidade,8.83,baixo,53.4,muito baixa,48.9,baixa,0,1,91.0,7.6,50.0,0.0,63.3,50.0,100.0,50.0,-0.56,52.6,14,14,False,stable,Tensão territorial,50.0,CVLI recente na janela de 30 dias,20.0,Sinal Poisson do ranking operacional,7.6,Tensão territorial: 50.0% | CVLI recente na janela de 30 dias: 20.0% | Sinal Poisson do ranking operacional: 7.6%,"SAO BENEDITO aparece na posição 10 de 20, com risco 8.8 e nível baixo; é prioridade alta de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 50.0% e 1 registros recentes na janela de 30 dias.",Leitura sensível a ruído; requer conferência adicional antes de decisão forte.,O território está próximo de pares vizinhos e pode oscilar no próximo ciclo.,"Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
