snapshot_generated_at,data_limit,source,scope,rank,name,name_normalized,region,territorial_level,risk_score,risk_level,confidence_pct,confidence_label,expressiveness_pct,expressiveness_label,recent_cvli_14d,recent_cvli_30d,historical_cvli,neural_score,tension_score,inclusion_score,calm_penalty,territorial_support_pct,historical_support_pct,live_support_pct,score_z,peer_percentile,dynamic_window_days,base_window_days,historical_fallback,trend,top_driver_1,top_driver_1_strength_pct,top_driver_2,top_driver_2_strength_pct,top_driver_3,top_driver_3_strength_pct,explainability_summary,leitura_rapida_gestor,por_que_importa_gestor,confianca_limites_gestor,expressividade_previsao_gestor,proxima_acao_gestor
2026-07-22T19:37:47,2026-07-17,src/core/orchestrator.py:get_combined_risk,cities_rmf_top20,1,CAUCAIA,CAUCAIA,rmf,cidade,93.93,crítico,95.0,alta,96.3,muito alta,2,3,950.0,100.0,100.0,100.0,26.7,100.0,100.0,100.0,3.39,100.0,14,14,False,stable,Sinal Poisson do ranking operacional,100.0,Tensão territorial,100.0,Atividade recente e vizinhança,100.0,Sinal Poisson do ranking operacional: 100.0% | Tensão territorial: 100.0% | Atividade recente e vizinhança: 100.0%,"CAUCAIA aparece na posição 1 de 19, com risco 93.9 e nível crítico; é prioridade imediata de acompanhamento.","O peso principal vem de sinal poisson do ranking operacional, com suporte territorial de 100.0% e 3 registros recentes na janela de 30 dias.",Leitura com boa sustentação dos sinais atuais.,O território está bem destacado no ranking frente aos pares.,"Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-07-22T19:37:47,2026-07-17,src/core/orchestrator.py:get_combined_risk,cities_rmf_top20,2,MARACANAU,MARACANAU,rmf,cidade,67.67,alto,93.5,alta,87.7,muito alta,4,4,661.0,54.1,100.0,100.0,20.0,100.0,100.0,100.0,2.3,94.4,14,14,False,stable,Tensão territorial,100.0,Atividade recente e vizinhança,100.0,CVLI recente na janela de 30 dias,80.0,Tensão territorial: 100.0% | Atividade recente e vizinhança: 100.0% | CVLI recente na janela de 30 dias: 80.0%,"MARACANAU aparece na posição 2 de 19, com risco 67.7 e nível alto; é prioridade imediata de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 4 registros recentes na janela de 30 dias.",Leitura com boa sustentação dos sinais atuais.,O território está bem destacado no ranking frente aos pares.,"Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-07-22T19:37:47,2026-07-17,src/core/orchestrator.py:get_combined_risk,cities_rmf_top20,3,HORIZONTE,HORIZONTE,rmf,cidade,15.32,baixo,65.8,baixa,74.0,alta,1,1,148.0,5.1,0.0,50.0,43.3,100.0,100.0,100.0,0.14,88.9,14,14,False,stable,Atividade recente e vizinhança,50.0,CVLI recente na janela de 30 dias,20.0,Sinal Poisson do ranking operacional,5.1,Atividade recente e vizinhança: 50.0% | CVLI recente na janela de 30 dias: 20.0% | Sinal Poisson do ranking operacional: 5.1%,"HORIZONTE aparece na posição 3 de 19, com risco 15.3 e nível baixo; é prioridade imediata de acompanhamento.","O peso principal vem de atividade recente e vizinhança, com suporte territorial de 100.0% e 1 registros recentes na janela de 30 dias.",Leitura sensível a ruído; requer conferência adicional antes de decisão forte.,"O território se diferencia do bloco intermediário, mas sem isolamento absoluto.","Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-07-22T19:37:47,2026-07-17,src/core/orchestrator.py:get_combined_risk,cities_rmf_top20,4,MARANGUAPE,MARANGUAPE,rmf,cidade,9.43,baixo,37.3,muito baixa,69.5,moderada,0,0,293.0,18.4,0.0,6.7,100.0,20.0,100.0,0.0,-0.11,83.3,14,14,False,stable,Sinal Poisson do ranking operacional,18.4,Atividade recente e vizinhança,6.7,Tensão territorial,0.0,Sinal Poisson do ranking operacional: 18.4% | Atividade recente e vizinhança: 6.7% | Tensão territorial: 0.0%,"MARANGUAPE aparece na posição 4 de 19, com risco 9.4 e nível baixo; é prioridade imediata de acompanhamento.","O peso principal vem de sinal poisson do ranking operacional, com suporte territorial de 20.0% e 0 registros recentes na janela de 30 dias.",Leitura sensível a ruído; requer conferência adicional antes de decisão forte.,O território está próximo de pares vizinhos e pode oscilar no próximo ciclo.,"Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-07-22T19:37:47,2026-07-17,src/core/orchestrator.py:get_combined_risk,cities_rmf_top20,5,PACAJUS,PACAJUS,rmf,cidade,4.96,baixo,48.2,muito baixa,65.3,moderada,0,1,137.0,6.4,0.0,6.7,60.0,50.0,100.0,50.0,-0.29,77.8,14,14,False,stable,CVLI recente na janela de 30 dias,20.0,Atividade recente e vizinhança,6.7,Sinal Poisson do ranking operacional,6.4,CVLI recente na janela de 30 dias: 20.0% | Atividade recente e vizinhança: 6.7% | Sinal Poisson do ranking operacional: 6.4%,"PACAJUS aparece na posição 5 de 19, com risco 5.0 e nível baixo; é prioridade imediata de acompanhamento.","O peso principal vem de cvli recente na janela de 30 dias, com suporte territorial de 50.0% e 1 registros recentes na janela de 30 dias.",Leitura sensível a ruído; requer conferência adicional antes de decisão forte.,O território está próximo de pares vizinhos e pode oscilar no próximo ciclo.,"Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-07-22T19:37:47,2026-07-17,src/core/orchestrator.py:get_combined_risk,cities_rmf_top20,6,PACATUBA,PACATUBA,rmf,cidade,4.56,baixo,35.8,muito baixa,61.8,moderada,0,0,195.0,6.8,0.0,6.7,100.0,20.0,100.0,0.0,-0.31,72.2,14,14,False,stable,Sinal Poisson do ranking operacional,6.8,Atividade recente e vizinhança,6.7,Tensão territorial,0.0,Sinal Poisson do ranking operacional: 6.8% | Atividade recente e vizinhança: 6.7% | Tensão territorial: 0.0%,"PACATUBA aparece na posição 6 de 19, com risco 4.6 e nível baixo; é prioridade alta de acompanhamento.","O peso principal vem de sinal poisson do ranking operacional, com suporte territorial de 20.0% e 0 registros recentes na janela de 30 dias.",Leitura sensível a ruído; requer conferência adicional antes de decisão forte.,O território está próximo de pares vizinhos e pode oscilar no próximo ciclo.,"Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-07-22T19:37:47,2026-07-17,src/core/orchestrator.py:get_combined_risk,cities_rmf_top20,7,CASCAVEL,CASCAVEL,rmf,cidade,4.19,baixo,48.3,muito baixa,58.5,moderada,0,1,174.0,5.1,0.0,6.7,66.7,50.0,100.0,50.0,-0.32,66.7,14,14,False,stable,CVLI recente na janela de 30 dias,20.0,Atividade recente e vizinhança,6.7,Sinal Poisson do ranking operacional,5.1,CVLI recente na janela de 30 dias: 20.0% | Atividade recente e vizinhança: 6.7% | Sinal Poisson do ranking operacional: 5.1%,"CASCAVEL aparece na posição 7 de 19, com risco 4.2 e nível baixo; é prioridade alta de acompanhamento.","O peso principal vem de cvli recente na janela de 30 dias, com suporte territorial de 50.0% e 1 registros recentes na janela de 30 dias.",Leitura sensível a ruído; requer conferência adicional antes de decisão forte.,O território está próximo de pares vizinhos e pode oscilar no próximo ciclo.,"Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-07-22T19:37:47,2026-07-17,src/core/orchestrator.py:get_combined_risk,cities_rmf_top20,8,ITAITINGA,ITAITINGA,rmf,cidade,3.03,baixo,48.3,muito baixa,54.9,moderada,0,1,84.0,2.9,0.0,6.7,80.0,50.0,100.0,50.0,-0.37,61.1,14,14,False,stable,CVLI recente na janela de 30 dias,20.0,Atividade recente e vizinhança,6.7,Sinal Poisson do ranking operacional,2.9,CVLI recente na janela de 30 dias: 20.0% | Atividade recente e vizinhança: 6.7% | Sinal Poisson do ranking operacional: 2.9%,"ITAITINGA aparece na posição 8 de 19, com risco 3.0 e nível baixo; é prioridade alta de acompanhamento.","O peso principal vem de cvli recente na janela de 30 dias, com suporte territorial de 50.0% e 1 registros recentes na janela de 30 dias.",Leitura sensível a ruído; requer conferência adicional antes de decisão forte.,O território está próximo de pares vizinhos e pode oscilar no próximo ciclo.,"Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-07-22T19:37:47,2026-07-17,src/core/orchestrator.py:get_combined_risk,cities_rmf_top20,9,TRAIRI,TRAIRI,rmf,cidade,2.97,baixo,48.3,muito baixa,51.6,moderada,0,1,152.0,2.8,0.0,6.7,83.3,50.0,100.0,50.0,-0.37,55.6,14,14,False,stable,CVLI recente na janela de 30 dias,20.0,Atividade recente e vizinhança,6.7,Sinal Poisson do ranking operacional,2.8,CVLI recente na janela de 30 dias: 20.0% | Atividade recente e vizinhança: 6.7% | Sinal Poisson do ranking operacional: 2.8%,"TRAIRI aparece na posição 9 de 19, com risco 3.0 e nível baixo; é prioridade alta de acompanhamento.","O peso principal vem de cvli recente na janela de 30 dias, com suporte territorial de 50.0% e 1 registros recentes na janela de 30 dias.",Leitura sensível a ruído; requer conferência adicional antes de decisão forte.,O território está próximo de pares vizinhos e pode oscilar no próximo ciclo.,"Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-07-22T19:37:47,2026-07-17,src/core/orchestrator.py:get_combined_risk,cities_rmf_top20,10,SAO GONCALO DO AMARANTE,SAO GONCALO DO AMARANTE,rmf,cidade,2.89,baixo,35.8,muito baixa,48.2,baixa,0,0,127.0,2.9,0.0,6.7,100.0,20.0,100.0,0.0,-0.38,50.0,14,14,False,stable,Atividade recente e vizinhança,6.7,Sinal Poisson do ranking operacional,2.9,Tensão territorial,0.0,Atividade recente e vizinhança: 6.7% | Sinal Poisson do ranking operacional: 2.9% | Tensão territorial: 0.0%,"SAO GONCALO DO AMARANTE aparece na posição 10 de 19, com risco 2.9 e nível baixo; é prioridade alta de acompanhamento.","O peso principal vem de atividade recente e vizinhança, com suporte territorial de 20.0% e 0 registros recentes na janela de 30 dias.",Leitura sensível a ruído; requer conferência adicional antes de decisão forte.,O território está próximo de pares vizinhos e pode oscilar no próximo ciclo.,"Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
