snapshot_generated_at,data_limit,source,scope,rank,name,name_normalized,region,territorial_level,risk_score,risk_level,confidence_pct,confidence_label,expressiveness_pct,expressiveness_label,recent_cvli_14d,recent_cvli_30d,historical_cvli,neural_score,tension_score,inclusion_score,calm_penalty,territorial_support_pct,historical_support_pct,live_support_pct,score_z,peer_percentile,dynamic_window_days,base_window_days,historical_fallback,trend,top_driver_1,top_driver_1_strength_pct,top_driver_2,top_driver_2_strength_pct,top_driver_3,top_driver_3_strength_pct,explainability_summary,leitura_rapida_gestor,por_que_importa_gestor,confianca_limites_gestor,expressividade_previsao_gestor,proxima_acao_gestor
2026-08-18T15:41:06,2026-07-31,src/core/orchestrator.py:get_combined_risk,cities_general_top30,1,CAUCAIA,CAUCAIA,rmf,cidade,98.48,crítico,99.0,alta,94.4,muito alta,2,4,952.0,100.0,100.0,100.0,6.7,100.0,100.0,100.0,3.0,100.0,14,14,False,stable,Sinal Poisson do ranking operacional,100.0,Tensão territorial,100.0,Atividade recente e vizinhança,100.0,Sinal Poisson do ranking operacional: 100.0% | Tensão territorial: 100.0% | Atividade recente e vizinhança: 100.0%,"CAUCAIA aparece na posição 1 de 39, com risco 98.5 e nível crítico; é prioridade imediata de acompanhamento.","O peso principal vem de sinal poisson do ranking operacional, com suporte territorial de 100.0% e 4 registros recentes na janela de 30 dias.",Leitura com boa sustentação dos sinais atuais.,O território está bem destacado no ranking frente aos pares.,"Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-08-18T15:41:06,2026-07-31,src/core/orchestrator.py:get_combined_risk,cities_general_top30,2,JUAZEIRO DO NORTE,JUAZEIRO DO NORTE,interior,cidade,95.45,crítico,99.0,alta,92.3,muito alta,4,5,328.0,100.0,100.0,100.0,20.0,100.0,100.0,100.0,2.88,97.4,14,14,False,stable,Sinal Poisson do ranking operacional,100.0,Tensão territorial,100.0,Atividade recente e vizinhança,100.0,Sinal Poisson do ranking operacional: 100.0% | Tensão territorial: 100.0% | Atividade recente e vizinhança: 100.0%,"JUAZEIRO DO NORTE aparece na posição 2 de 39, com risco 95.5 e nível crítico; é prioridade imediata de acompanhamento.","O peso principal vem de sinal poisson do ranking operacional, com suporte territorial de 100.0% e 5 registros recentes na janela de 30 dias.",Leitura com boa sustentação dos sinais atuais.,O território está bem destacado no ranking frente aos pares.,"Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-08-18T15:41:06,2026-07-31,src/core/orchestrator.py:get_combined_risk,cities_general_top30,3,SOBRAL,SOBRAL,interior,cidade,70.21,alto,88.7,alta,86.0,muito alta,1,3,390.0,85.4,100.0,50.0,40.0,100.0,100.0,100.0,1.91,94.7,14,14,False,stable,Tensão territorial,100.0,Sinal Poisson do ranking operacional,85.4,CVLI recente na janela de 30 dias,60.0,Tensão territorial: 100.0% | Sinal Poisson do ranking operacional: 85.4% | CVLI recente na janela de 30 dias: 60.0%,"SOBRAL aparece na posição 3 de 39, com risco 70.2 e nível alto; é prioridade imediata de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 3 registros recentes na janela de 30 dias.",Leitura com boa sustentação dos sinais atuais.,O território está bem destacado no ranking frente aos pares.,"Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-08-18T15:41:06,2026-07-31,src/core/orchestrator.py:get_combined_risk,cities_general_top30,4,MARACANAU,MARACANAU,rmf,cidade,56.53,alto,93.3,alta,81.9,alta,1,5,662.0,54.9,100.0,50.0,13.3,100.0,100.0,100.0,1.38,92.1,14,14,False,stable,Tensão territorial,100.0,CVLI recente na janela de 30 dias,100.0,Sinal Poisson do ranking operacional,54.9,Tensão territorial: 100.0% | CVLI recente na janela de 30 dias: 100.0% | Sinal Poisson do ranking operacional: 54.9%,"MARACANAU aparece na posição 4 de 39, com risco 56.5 e nível alto; é prioridade imediata de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 5 registros recentes na janela de 30 dias.",Leitura com boa sustentação dos sinais atuais.,"O território se diferencia do bloco intermediário, mas sem isolamento absoluto.","Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-08-18T15:41:06,2026-07-31,src/core/orchestrator.py:get_combined_risk,cities_general_top30,5,CRATO,CRATO,interior,cidade,54.13,alto,90.1,alta,79.9,alta,3,4,186.0,30.1,100.0,100.0,6.7,100.0,100.0,100.0,1.29,89.5,14,14,False,stable,Tensão territorial,100.0,Atividade recente e vizinhança,100.0,CVLI recente na janela de 30 dias,80.0,Tensão territorial: 100.0% | Atividade recente e vizinhança: 100.0% | CVLI recente na janela de 30 dias: 80.0%,"CRATO aparece na posição 5 de 39, com risco 54.1 e nível alto; é prioridade imediata de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 4 registros recentes na janela de 30 dias.",Leitura com boa sustentação dos sinais atuais.,"O território se diferencia do bloco intermediário, mas sem isolamento absoluto.","Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-08-18T15:41:06,2026-07-31,src/core/orchestrator.py:get_combined_risk,cities_general_top30,6,BOA VIAGEM,BOA VIAGEM,interior,cidade,51.51,alto,89.5,alta,77.8,alta,4,6,126.0,25.7,100.0,100.0,3.3,100.0,100.0,100.0,1.19,86.8,14,14,False,stable,Tensão territorial,100.0,Atividade recente e vizinhança,100.0,CVLI recente na janela de 30 dias,100.0,Tensão territorial: 100.0% | Atividade recente e vizinhança: 100.0% | CVLI recente na janela de 30 dias: 100.0%,"BOA VIAGEM aparece na posição 6 de 39, com risco 51.5 e nível alto; é prioridade alta de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 6 registros recentes na janela de 30 dias.",Leitura com boa sustentação dos sinais atuais.,"O território se diferencia do bloco intermediário, mas sem isolamento absoluto.","Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-08-18T15:41:06,2026-07-31,src/core/orchestrator.py:get_combined_risk,cities_general_top30,7,AMONTADA,AMONTADA,interior,cidade,45.91,moderado,83.3,moderada,75.2,alta,2,3,144.0,17.6,100.0,100.0,13.3,100.0,100.0,100.0,0.98,84.2,14,14,False,stable,Tensão territorial,100.0,Atividade recente e vizinhança,100.0,CVLI recente na janela de 30 dias,60.0,Tensão territorial: 100.0% | Atividade recente e vizinhança: 100.0% | CVLI recente na janela de 30 dias: 60.0%,"AMONTADA aparece na posição 7 de 39, com risco 45.9 e nível moderado; é prioridade alta de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 3 registros recentes na janela de 30 dias.","Leitura consistente, mas ainda pede validação operacional pontual.","O território se diferencia do bloco intermediário, mas sem isolamento absoluto.","Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-08-18T15:41:06,2026-07-31,src/core/orchestrator.py:get_combined_risk,cities_general_top30,8,ITAPAJE,ITAPAJE,interior,cidade,43.17,moderado,87.7,alta,73.1,alta,4,5,103.0,13.2,100.0,100.0,13.3,100.0,100.0,100.0,0.87,81.6,14,14,False,stable,Tensão territorial,100.0,Atividade recente e vizinhança,100.0,CVLI recente na janela de 30 dias,100.0,Tensão territorial: 100.0% | Atividade recente e vizinhança: 100.0% | CVLI recente na janela de 30 dias: 100.0%,"ITAPAJE aparece na posição 8 de 39, com risco 43.2 e nível moderado; é prioridade alta de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 5 registros recentes na janela de 30 dias.",Leitura com boa sustentação dos sinais atuais.,"O território se diferencia do bloco intermediário, mas sem isolamento absoluto.","Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-08-18T15:41:06,2026-07-31,src/core/orchestrator.py:get_combined_risk,cities_general_top30,9,BARBALHA,BARBALHA,interior,cidade,39.43,moderado,81.9,moderada,70.8,alta,2,3,74.0,7.6,100.0,100.0,30.0,100.0,100.0,100.0,0.73,78.9,14,14,False,stable,Tensão territorial,100.0,Atividade recente e vizinhança,100.0,CVLI recente na janela de 30 dias,60.0,Tensão territorial: 100.0% | Atividade recente e vizinhança: 100.0% | CVLI recente na janela de 30 dias: 60.0%,"BARBALHA aparece na posição 9 de 39, com risco 39.4 e nível moderado; é prioridade alta de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 3 registros recentes na janela de 30 dias.","Leitura consistente, mas ainda pede validação operacional pontual.","O território se diferencia do bloco intermediário, mas sem isolamento absoluto.","Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-08-18T15:41:06,2026-07-31,src/core/orchestrator.py:get_combined_risk,cities_general_top30,10,TIANGUA,TIANGUA,interior,cidade,34.3,moderado,74.9,moderada,68.3,moderada,1,1,129.0,18.4,100.0,50.0,3.3,100.0,100.0,100.0,0.53,76.3,14,14,False,stable,Tensão territorial,100.0,Atividade recente e vizinhança,50.0,CVLI recente na janela de 30 dias,20.0,Tensão territorial: 100.0% | Atividade recente e vizinhança: 50.0% | CVLI recente na janela de 30 dias: 20.0%,"TIANGUA aparece na posição 10 de 39, com risco 34.3 e nível moderado; é prioridade alta de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 1 registros recentes na janela de 30 dias.","Leitura consistente, mas ainda pede validação operacional pontual.",O território está próximo de pares vizinhos e pode oscilar no próximo ciclo.,"Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
