global_rank,micronode_id,score,bairro,regional,faction,longitude,latitude,local_street_pressure,nearby_streets_count,nearby_streets
1,Levada,76.804,MESSEJANA,capital,CV,-38.48783283333333,-3.8251020000000007,14.63,59,LEVADA; RUA DOUTOR JOAQUIM BENTO; RUA VICENTE NOBRE MACÊDO
2,Conjunto São Bernardo,76.16,MESSEJANA,capital,MASSA,-38.49008374999999,-3.8185046250000005,13.732,55,CONJUNTO SÃO BERNARDO; RUA CECÍLIA MEIRELES; RUA NICOLAU COELHO
3,Comunidade da Portelinha- Messejana,75.382,MESSEJANA,capital,MASSA,-38.4925862,-3.818338,14.022,52,COMUNIDADE DA PORTELINHA- MESSEJANA; RUA NICOLAU COELHO; RUA VILAMAR DAMASCENO
4,Comunidade da Conquista,75.011,MESSEJANA,capital,MASSA,-38.493964181818185,-3.8212205454545454,13.116,49,RUA LETÍCIA; COMUNIDADE DA CONQUISTA; RUA VILAMAR DAMASCENO
5,Beco da Maravilha,74.987,MESSEJANA,capital,CV,-38.488959,-3.8290662500000003,13.414,54,BECO DA MARAVILHA; RUA DOUTOR JOAQUIM BENTO; RUA SANTO EXPEDITO
6,Parque Iracema I,74.753,MESSEJANA,capital,MASSA,-38.49328105882353,-3.8167911176470586,12.383,49,PARQUE IRACEMA I; COMUNIDADE DA PORTELINHA- MESSEJANA; RUA NICOLAU COELHO
7,LAGOA SECA,74.505,MESSEJANA,capital,CV,-38.49977998888889,-3.8235137666666668,11.173,50,LAGOA SECA; RUA JURITI; RUA SANTA CLARA DE ASSIS
8,Comunidade dos Cariocas - Caucaia,73.352,MARECHAL RONDON,capital,CV,-38.63100255555556,-3.7793906666666666,3.429,8,COMUNIDADE DOS CARIOCAS - CAUCAIA; CONDOMÍNIOS; CAJUEIROS
9,Cemitério,72.921,MESSEJANA,capital,CV,-38.4924548,-3.836622866666667,9.716,40,RUA COPÉRNICO; CEMITÉRIO; TRAVESSA MARIO BARCELOS
10,Santa Rosa- Messejana,69.412,COAÇU,capital,CV,-38.474496326530605,-3.8467255510204077,2.823,8,SANTA ROSA- MESSEJANA; RUA ZUMBI; COMUNIDADE PÔR DO SOL
11,Comunidade do Serrote - Messejana,68.179,PARQUE SANTA MARIA,capital,CV,-38.49207783333333,-3.842039083333333,3.396,12,COMUNIDADE DO SERROTE - MESSEJANA; RUA COPÉRNICO; CEMITÉRIO
12,Caic,63.993,GRANJA LISBOA,capital,CV,-38.61722188235294,-3.781109235294117,10.372,47,CAIC; RESIDENCIAL MARIA ALVES CARIOCA; MUTIRÃO DA SÃO FRANCISCO
13,Alto da Paz,62.785,GRANJA LISBOA,capital,CV,-38.618707256410254,-3.7897760000000003,9.955,49,ALTO DA PAZ; AREA SEM NOME; FAVELINHA- GRANJA LISBOA
14,Comunidade Forró do Meu,61.999,GRANJA LISBOA,capital,CV,-38.618208615384624,-3.7965139615384613,10.215,47,RUA NS 03; COMUNIDADE FORRÓ DO MEU; COMUNIDADE MUTIRÃO
15,Mutirão da São Francisco,61.697,GRANJA LISBOA,capital,CV,-38.61454657142857,-3.7844195714285713,11.917,48,MUTIRÃO DA SÃO FRANCISCO; RUA EDSON MARTINS; RESIDENCIAL MARIA ALVES CARIOCA
16,Travessa,61.552,GRANJA LISBOA,capital,CV,-38.6095238,-3.7890133999999995,12.261,51,TRAVESSA; BECO DO EDSON; RUA CORONEL JOÃO CORREIA
17,Comunidade Mutirão,61.539,GRANJA LISBOA,capital,CV,-38.61543381818181,-3.796630181818182,10.623,48,COMUNIDADE MUTIRÃO; RUA NS 03; COMUNIDADE FORRÓ DO MEU
18,Favela da Mangueira,61.498,GRANJA LISBOA,capital,CV,-38.61257855555555,-3.7843851111111113,11.419,47,FAVELA DA MANGUEIRA; MUTIRÃO DA SÃO FRANCISCO; RUA EDSON MARTINS
19,Beco do Edson,61.202,GRANJA LISBOA,capital,CV,-38.60900399999999,-3.7865444000000004,11.721,49,BECO DO EDSON; TRAVESSA; FAVELA DA MANGUEIRA
20,Residencial Maria Alves Carioca,60.932,GRANJA LISBOA,capital,CV,-38.6159715,-3.783128,11.38,46,RESIDENCIAL MARIA ALVES CARIOCA; MUTIRÃO DA SÃO FRANCISCO; RUA EDSON MARTINS
21,Favelinha- Granja Lisboa,59.981,GRANJA LISBOA,capital,CV,-38.620311333333326,-3.7923985333333334,9.4,42,FAVELINHA- GRANJA LISBOA; COMUNIDADE FORRÓ DO MEU; ALTO DA PAZ
22,CR,59.554,GRANJA LISBOA,capital,CV,-38.629605555555564,-3.7868475000000004,6.186,30,CR; CONJUNTO LEONEL BRIZOLA; COMUNIDADE RAQUEL
23,Conjunto Leonel Brizola,59.509,GRANJA LISBOA,capital,CV,-38.62446463636364,-3.781710181818182,8.739,39,CONJUNTO LEONEL BRIZOLA; CAIC; CR
24,Residencial/Jabuti - Maracanaú,58.014,MARACANAÚ,capital,CV,-38.631274937499995,-3.8572706875,2.862,9,RESIDENCIAL/JABUTI - MARACANAÚ; RESIDENCIAL LL; RUA 15
25,Comunidade Raquel,57.775,GRANJA LISBOA,capital,CV,-38.625964599999996,-3.7930326,6.796,29,COMUNIDADE RAQUEL; FAVELINHA- GRANJA LISBOA; COMUNIDADE FORRÓ DO MEU
