micronodo,area_oficial,faction,lat,long,cvli_count_500m,cvli_count_1km,cvli_count_2km,cvli_count_total
Cidade Jardim I,PREFEITO JOSÉ WALTER,CV,-3.827103,-38.54983532965874,56,70,70,70
Pajuçara,CIDADE NOVA,CV,-3.856525,-38.583179882044135,46,64,64,64
Groaíras,GROAIRAS,PCC,-3.9159515,-40.386728289153126,31,55,59,101
Comunidade do Estadio - Jurema ,MARECHAL RONDON,CV,-3.771888,-38.62228149030471,50,50,50,50
CONJUNTO METROPOLITANO - PICUÍ,URUCUTUBA,CV,-3.75741895,-38.66212739456881,44,46,46,46
Comunidade dos Macacos - Pajuçara,CIDADE NOVA,CV,-3.860804,-38.58469484978912,36,46,50,50
Favela do Terminal do Siqueira / Favela da Paloma,PARQUE SĂO JOSÉ,CV,-3.7911445,-38.58706214060025,44,44,44,44
Beco da Maravilha,MESSEJANA,CV,-3.829054,-38.489061798589546,30,44,44,44
Jardim Violeta,BARROSO,CV,-3.8143835,-38.50933653228371,42,42,42,42
Comunidade do Barreirão,PARQUE IRACEMA,MASSA,-3.8143025,-38.50382035891089,42,42,42,42
Cariré ,CARIRE,PCC,-3.9501885,-40.47505149937589,25,42,45,57
Cidade Jardim II,PREFEITO JOSÉ WALTER,CV,-3.8429585,-38.552781657032,40,40,40,40
Alvorada (Maracanaú),MARACANAÚ,CV,-3.8895255,-38.59425583289951,32,38,40,40
Área Seca,MARACANAÚ,CV,-3.875621,-38.66503563398959,32,38,38,38
Areá verde - Pajuçara,CIDADE NOVA,CV,-3.870018,-38.58449673546388,32,38,38,38
Favela do Metroposto,MARECHAL RONDON,CV,-3.759363,-38.6446304956479,34,38,38,38
Cidade de Aratuba,ARATUBA,CV,-4.4197515,-39.04596721814415,34,38,38,65
João Cabral,JUAZEIRO DO NORTE,CV,-7.23306,-39.31735755,29,37,37,37
Coqueiral - Maracanaú,MARACANAÚ,CV,-3.8671445,-38.62560295402973,36,36,36,36
PADRE PALHANO,MERUOCA,PCC,-3.698328,-40.36739934824902,33,34,39,39
Jubina,SOBRAL,CV,-3.800898,-40.26620134694976,34,34,34,35
Romeirão,JUAZEIRO DO NORTE,CV,-7.225991,-39.31589562739788,24,34,34,34
Alto da Paz,GRANJA LISBOA,CV,-3.789362,-38.61599671896083,33,33,33,33
Multirão - Maracanaú,MARACANAÚ,CV,-3.8902595,-38.63845525,18,32,42,42
Cidade de Uruburetama,URUBURETAMA,CV,-3.623227,-39.50691104402428,12,32,40,48
Cidade Jardim V,PREFEITO JOSÉ WALTER,CV,-3.83193455,-38.54695453427696,22,32,32,32
Vila cazumba ,JARDIM DAS OLIVEIRAS,CV,-3.788672,-38.50599618553315,30,32,34,34
Faixa de Gaza,JUAZEIRO DO NORTE,CV,-7.2192575,-39.32109266134061,26,31,31,31
Viçosa do Ceará ,VICOSA DO CEARA,CV,-3.5693485000000003,-41.090519377614655,16,30,32,59
Parque São Gerardo,PARQUE SOLEDADE,CV,-3.741815,-38.64207839994323,26,30,30,30
Jereissati Setor C - Maracanaú,MARACANAÚ,CV,-3.8800895,-38.61079963458626,24,30,30,30
Bairro do Seminário- Crato,CRATO,PCC,-7.2315465,-39.42092153852367,22,29,29,29
Cidade de Capistrano,CAPISTRANO,CV,-4.467674499999999,-38.90090412757114,24,28,36,40
General Sampaio ,GENERAL SAMPAIO,PCC,-4.048277499999999,-39.44864920913642,10,28,28,35
Comunidade Da Upa,CRISTO REDENTOR,CV,-3.709878,-38.56828848762376,28,28,28,28
Pio 12,JUAZEIRO DO NORTE,CV,-7.2133195,-39.30789835480981,26,28,28,28
Piratininga,MARACANAÚ,CV,-3.870813,-38.627834152504434,28,28,28,28
Sem Terra,CIDADE NOVA,CV,-3.875043,-38.584938853707385,26,28,28,28
Área Verde - Novo Maranguape I,MARACANAÚ,CV,-3.870572,-38.66889182338462,26,28,28,28
Cidade de Alto Santo,ALTO SANTO,TCP/GDE,-5.520659,-38.27101214487232,22,28,40,44
Comunidade do Renascer,MONDUBIM,CV,-3.8259085,-38.564743252369134,24,28,28,28
Favela do Cano,CIDADE NOVA,CV,-3.842213,-38.5657987947355,12,28,28,28
Cidade de Itapiúna,ITAPIUNA,CV,-4.565382,-38.922706851612375,22,28,37,37
Conjunto José Euclides,JANGURUSSU,CV,-3.8531795,-38.51685047530764,28,28,28,28
Alameda Das Palmeiras ,PEDRAS,CV,-3.874815,-38.51730007702784,21,27,27,27
Cidade de Acopiara,ACOPIARA,PCC,-6.0950525,-39.45569729477465,17,27,36,51
Cidade de Mulungu,MULUNGU,CV,-4.306894,-38.99794296511628,12,26,30,40
Campo do Palmeiras,MARACANAÚ,CV,-3.8800675,-38.67220300948276,26,26,26,26
Rua da Feira - Antonio Bezerra,ANTÔNIO BEZERRA,CV,-3.7446915,-38.58838226377642,26,26,26,26
Campos do Jordão ,MARACANAÚ,CV,-3.8891785,-38.60260813349872,26,26,26,26
Favelinha- Granja Lisboa,GRANJA LISBOA,CV,-3.792488,-38.6201384410407,24,26,26,26
Jardim Bandeirantes,CIDADE NOVA,CV,-3.874468,-38.59155352846825,24,26,26,26
Jereissati Setor D - Maracanaú,MARACANAÚ,CV,-3.881595,-38.61792305206943,26,26,26,26
Nova esperança - Pajuçara,DIF III,CV,-3.8567905,-38.55918465601504,8,26,36,36
Gruta - Colônia ,MARACANAÚ,CV,-3.8848815,-38.64153473372807,22,26,26,26
Mutirão da São Francisco ,GRANJA LISBOA,CV,-3.7841665,-38.61459417098374,26,26,26,26
Comunidade do Quintal,GRANJA PORTUGAL,CV,-3.7872475,-38.597414509409056,26,26,26,26
Comunidade da Central  - Jaçanaú,MARACANAÚ,CV,-3.841667,-38.64273025941044,20,26,26,26
Colônia - (Em Disputa),MARACANAÚ,CV,-3.8841585,-38.63334104923701,26,26,26,26
Favela da Macumba ,BONSUCESSO,CV,-3.780345,-38.5843975550611,25,25,25,25
Comunidade da Conquista,MESSEJANA,MASSA,-3.8208995,-38.49315783526076,23,25,25,25
Malvinas - Quintino Cunha,OLAVO OLIVEIRA,CV,-3.729035,-38.595687894387,25,25,25,25
Cacimba de Pombos (Complexo do Pirambu),PIRAMBU,CV,-3.712995,-38.54725391977897,24,24,24,24
Beco do Siri,CARLITO PAMPLONA,CV,-3.7131205,-38.55741495626288,24,24,24,24
Solonope ,SOLONÓPOLE,PCC,-5.731851000000001,-39.008273357553776,15,24,32,41
Paraibapa,PARAIPABA,CV,-3.435586,-39.14733936533894,14,24,30,30
