cidade,bairro,rua,cvli_count
MORADA NOVA,DESCONHECIDO,ESTRADA SEM NOME,24
AMONTADA,DESCONHECIDO,ESTRADA SEM NOME,21
ITAPIPOCA,DESCONHECIDO,ESTRADA SEM NOME,18
SÃO GONÇALO DO AMARANTE,DESCONHECIDO,ESTRADA SEM NOME,17
SOBRAL,DESCONHECIDO,AVENIDA DOS IPÊS,16
ITAREMA,DESCONHECIDO,ESTRADA SEM NOME,15
CAUCAIA,DESCONHECIDO,ESTRADA SEM NOME,15
VARJOTA,DESCONHECIDO,AVENIDA PRESIDENTE CASTELO BRANCO,13
QUIXADÁ,DESCONHECIDO,ESTRADA SEM NOME,11
BEBERIBE,DESCONHECIDO,ESTRADA SEM NOME,10
SOBRAL,DESCONHECIDO,RUA MONSENHOR DOMINGOS,10
JAGUARETAMA,DESCONHECIDO,ESTRADA SEM NOME,9
AMONTADA,DESCONHECIDO,RUA PRINCIPAL,9
MARANGUAPE,DESCONHECIDO,CE-065,9
QUIXADÁ,DESCONHECIDO,CE-060,9
SOBRAL,DESCONHECIDO,RUA JOSÉ MARIA ALVERNE,9
TRAIRI,DESCONHECIDO,ESTRADA SEM NOME,9
JAGUARETAMA,DESCONHECIDO,AVENIDA PADRE SEBASTIÃO MARLENO,8
AMONTADA,DESCONHECIDO,AVENIDA GENERAL ALÍPIO DOS SANTOS,8
SOBRAL,DESCONHECIDO,BR-222,8
CAUCAIA,DESCONHECIDO,CE-156,7
MADALENA,DESCONHECIDO,ESTRADA SEM NOME,7
BOA VIAGEM,DESCONHECIDO,ESTRADA SEM NOME,7
TURURU,DESCONHECIDO,RUA MARIA GLÓRIA DA CONCEIÇÃO,7
RUSSAS,DESCONHECIDO,ESTRADA SEM NOME,6
AMONTADA,DESCONHECIDO,RUA ANTÔNIO MARÇAL DOS SANTOS,6
MADALENA,DESCONHECIDO,RUA JOÃO BATISTA DOS SANTOS,6
BOA VIAGEM,DESCONHECIDO,RUA VINTE E SEIS DE JUNHO,6
MARANGUAPE,DESCONHECIDO,ESTRADA SEM NOME,6
ITAREMA,DESCONHECIDO,ESTRADA BATEDEIRA,6
SOBRAL,DESCONHECIDO,RUA NAPOLEAO LINHARES MADEIRA,6
CAUCAIA,DESCONHECIDO,ESTRADA DO GARROTE,6
SÃO GONÇALO DO AMARANTE,DESCONHECIDO,RUA VALDO UCHÔA,6
TRAIRI,DESCONHECIDO,CE-163,6
TRAIRI,DESCONHECIDO,CE-346,6
CASCAVEL,DESCONHECIDO,CE-040,6
TRAIRI,DESCONHECIDO,GUALDRAPAS-TRAIRI,6
SÃO BENEDITO,DESCONHECIDO,AVENIDA TABAJARA,6
UBAJARA,DESCONHECIDO,ESTRADA SEM NOME,6
ARACATI,DESCONHECIDO,BR-304,5
ACOPIARA,DESCONHECIDO,AVENIDA PEDRO ALVES,5
ITAPIPOCA,DESCONHECIDO,CE-168,5
MARANGUAPE,DESCONHECIDO,RUA AMARO DE MORAIS,5
MARANGUAPE,DESCONHECIDO,RUA GONTRAN NASCIMENTO,5
MISSÃO VELHA,DESCONHECIDO,RUA CORONEL JOSÉ DANTAS,5
MONSENHOR TABOSA,DESCONHECIDO,AVENIDA HONÓRIO DE MELO,5
ITAREMA,DESCONHECIDO,RUA SÃO RAIMUNDO,5
MORADA NOVA,DESCONHECIDO,RUA VENÂNCIO NOGUEIRA,5
PARACURU,DESCONHECIDO,RUA MARIA FERREIRA NERI,5
QUIXADÁ,DESCONHECIDO,AVENIA EDVARDES M. DE CARVALHO,5
ITAPIPOCA,DESCONHECIDO,RUA CEMITÉRIO,5
BEBERIBE,DESCONHECIDO,CE-040,5
CASCAVEL,DESCONHECIDO,RODOVIA PLÁCIDO CASTELO,5
QUIXADÁ,DESCONHECIDO,RUA LUCIANO CAVALCANTE,5
CAUCAIA,DESCONHECIDO,RUA BOA ESPERANÇA,5
SALITRE,DESCONHECIDO,CE-187,5
JIJOCA DE JERICOACOARA,DESCONHECIDO,RUA AIRTON SENNA,5
CAUCAIA,DESCONHECIDO,RUA ALMIRANTE TAMANDARÉ,5
PEDRA BRANCA,DESCONHECIDO,ESTRADA SEM NOME,5
ARACATI,DESCONHECIDO,ESTRADA SEM NOME,5
ITAREMA,DESCONHECIDO,AVENIDA JOÃO BATISTA RIOS,5
CASCAVEL,DESCONHECIDO,ESTRADA SEM NOME,5
SOBRAL,DESCONHECIDO,RUA VEREADOR FRANCISCO FELIX PORTO,5
CASCAVEL,DESCONHECIDO,RUA DO COMÉRCIO,5
AMONTADA,DESCONHECIDO,RUA DA PRAIA,5
SÃO JOÃO DO JAGUARIBE,DESCONHECIDO,ESTRADA SEM NOME,5
TABULEIRO DO NORTE,DESCONHECIDO,RUA ZILTAMIR CHAVES,5
SOBRAL,DESCONHECIDO,RUA JOAQUIM ALVES PEREIRA,5
TEJUÇUOCA,DESCONHECIDO,ESTRADA SEM NOME,5
CAMOCIM,DESCONHECIDO,ESTRADA SEM NOME,5
BARBALHA,DESCONHECIDO,SÍTIO BARRO BRANCO,5
IBICUITINGA,DESCONHECIDO,AVENIDA JOSÉ FURTADO,5
GUAIÚBA,DESCONHECIDO,RUA JOSÉ LOPES DA COSTA,5
TRAIRI,DESCONHECIDO,RUA VALTER SÁLES,5
CAUCAIA,DESCONHECIDO,RUA JOSÉ PAULINO ALVES,5
CRATO,DESCONHECIDO,RUA TREZE DE DEZEMBRO,5
TAMBORIL,DESCONHECIDO,ESTRADA SEM NOME,5
LIMOEIRO DO NORTE,DESCONHECIDO,AVENIDA MANOEL FIDELIS MAIA,4
LIMOEIRO DO NORTE,DESCONHECIDO,CAMINHO DA FAIXA,4
LIMOEIRO DO NORTE,DESCONHECIDO,ESTRADA SEM NOME,4
IBICUITINGA,DESCONHECIDO,RUA JOSÉ DAMASCENO,4
CAUCAIA,DESCONHECIDO,CE-421,4
CARIRÉ,DESCONHECIDO,ESTRADA DE JURITI A PEDRA PRETA,4
GUAIÚBA,DESCONHECIDO,CE-060,4
MARANGUAPE,DESCONHECIDO,RUA DO COMÉRCIO,4
CHAVAL,DESCONHECIDO,RUA CORONEL JOSÉ PORFÍRIO,4
MARANGUAPE,DESCONHECIDO,RUA VICENTINA HONÓRIO DE ABREU,4
MASSAPÊ,DESCONHECIDO,AVENIDA DOCA PEREIRA,4
MIRAÍMA,MIRAIMA,RUA JOSÉ ALVES,4
MISSÃO VELHA,DESCONHECIDO,CE-153,4
ITAPIPOCA,DESCONHECIDO,RUA TENENTE JOSÉ VICENTE,4
BOA VIAGEM,DESCONHECIDO,RUA FRANCISCO TIBIRÍÇA FAÇANHA,4
MORADA NOVA,DESCONHECIDO,AVENIDA MANOEL CASTRO GOMES DE ANDRADE,4
MORADA NOVA,DESCONHECIDO,AVENIDA VALDÍVINO ROLDÃO,4
ARACATI,DESCONHECIDO,RUA VILA SÃO RAFAEL,4
MORADA NOVA,DESCONHECIDO,RUA ANTÔNIO BEZERRA,4
CRATO,DESCONHECIDO,RUA MARIO TEIXEIRA MENDES,4
PARACURU,DESCONHECIDO,ESTRADA PEDRO,4
PARACURU,DESCONHECIDO,RUA JOSÉ LOPES MEIRELES,4
ITAPIÚNA,DESCONHECIDO,RUA ANTÔNIO FELIX DE SOUSA,4
MARANGUAPE,DESCONHECIDO,AVENIDA TABATINGA,4
PEDRA BRANCA,DESCONHECIDO,RUA JOAQUIM CAVALCANTE,4
PEDRA BRANCA,DESCONHECIDO,RUA JOSE JOAQUIM DE SOUZA,4
PENTECOSTE,DESCONHECIDO,RUA TETÊ BEZERRA,4
ACARAÚ,DESCONHECIDO,ESTRADA SEM NOME,4
CAUCAIA,DESCONHECIDO,ESTRADA TUCUNDUBA,4
QUIXADÁ,DESCONHECIDO,CE-265,4
CATARINA,DESCONHECIDO,ESTRADA SEM NOME,4
CHAVAL,DESCONHECIDO,RUA PEDRO,4
BOA VIAGEM,DESCONHECIDO,CE-266,4
QUIXERAMOBIM,DESCONHECIDO,ESTRADA SEM NOME,4
CANINDÉ,DESCONHECIDO,RUA DOUTOR PEIXOTO,4
RUSSAS,DESCONHECIDO,RUA SAMUEL FERNANDES RIBEIRO,4
RUSSAS,DESCONHECIDO,VILA MIGUEL PEREIRA,4
CRATO,DESCONHECIDO,AVENIDA THOMAZ OSTERNE DE ALENCAR,4
SANTA QUITÉRIA,DESCONHECIDO,ESTRADA SEM NOME,4
CAUCAIA,DESCONHECIDO,BR-020,4
SOBRAL,DESCONHECIDO,AVENIDA MONSENHOR JOSÉ ALOÍSIO PINTO,4
SOBRAL,DESCONHECIDO,AVENIDA PARQUE MUCAMBINHO,4
CANINDÉ,DESCONHECIDO,RUA LUIZ FABIANO,4
SOBRAL,DESCONHECIDO,ESTRADA SEM NOME,4
SOBRAL,DESCONHECIDO,RUA ARCO VERDE,4
SOBRAL,DESCONHECIDO,RUA DA MATRIZ,4
JAGUARIBARA,DESCONHECIDO,RUA EDUARDO RODRIGUES DA SILVA,4
CAUCAIA,DESCONHECIDO,RUA J,4
BARBALHA,DESCONHECIDO,AVENIDA PAULO MARQUÊS,4
JAGUARIBE,DESCONHECIDO,AVENIDA OITO DE NOVEMBRO,4
SOBRAL,DESCONHECIDO,RUA PINTOR LEMOS,4
SOBRAL,DESCONHECIDO,RUA PRESIDENTE JUSCELINO KUBITSCHECK,4
SOBRAL,DESCONHECIDO,RUA TUPI,4
FARIAS BRITO,DESCONHECIDO,RUA CORONEL MANOEL PINHEIRO DE ALMEIDA,4
SOBRAL,DESCONHECIDO,TV. AREOLINO ARRUDA,4
SÃO BENEDITO,DESCONHECIDO,ESTRADA SEM NOME,4
SÃO BENEDITO,DESCONHECIDO,RUA ARISTÍDES BARRETO,4
SÃO BENEDITO,DESCONHECIDO,RUA FRANCISCO MARQUES DE ALCÂNTARA,4
