family,p10,p20,r10,r20,windows
EWMA_60_LGBM_20_HIST_20,0.23255813953488377,0.14534883720930233,0.5451135105204872,0.6559108527131783,86
SHORTLIST20_HIST_RERANK_NEIGHBOR,0.2255813953488372,0.17848837209302326,0.5287375415282393,0.8059108527131783,86
GATED_HIST_NEIGHBOR,0.2151162790697675,0.14825581395348839,0.465656146179402,0.6642165005537098,86
EWMA_50_LGBM_20_HIST_20_INTEL_10,0.21279069767441866,0.14534883720930233,0.4625415282392027,0.6620016611295682,86
SHORTLIST15_HIST_RERANK_BLEND,0.208139534883721,0.1511627906976744,0.48599114064230337,0.6712070874861573,86
SHORTLIST20_HIST_RERANK_BLEND,0.20581395348837217,0.14709302325581397,0.4813399778516057,0.6480204872646732,86
EWMA,0.20232558139534887,0.15930232558139537,0.47396179401993355,0.696594684385382,86
SHORTLIST20_HIST_RERANK_EWMA,0.19883720930232565,0.15290697674418607,0.44172203765227014,0.6651854928017719,86
SHORTLIST20_TARGET_RERANK_EWMA,0.19883720930232565,0.14476744186046514,0.44172203765227014,0.6392303433001106,86
RRF_EWMA_LGBM,0.19069767441860463,0.1569767441860465,0.4226052048726467,0.7249723145071982,86
RRF_EWMA_LGBM_HIST,0.16860465116279066,0.1511627906976744,0.3927740863787375,0.6813953488372093,86
LGBM,0.16627906976744186,0.1168604651162791,0.4159468438538206,0.5530869324473976,86
