source,date,lat,lon,bairro_assigned,bairro_text
data_with_coordinates.js,2025-01-01T03:00:00.000Z,-3.703644,-38.5760376,,Barra do Ceará
data_with_coordinates.js,2025-01-01T03:00:00.000Z,-7.2211313,-39.4312234,,Batateira
data_with_coordinates.js,2025-01-01T03:00:00.000Z,-4.6656194,-38.8828941,,Distrito de Caio Prado
data_with_coordinates.js,2025-01-01T03:00:00.000Z,-6.8858493,-39.2222353,,Palestina
data_with_coordinates.js,2025-01-01T03:00:00.000Z,-3.5673998,-41.0890816,,Escola Normal
data_with_coordinates.js,2025-01-01T03:00:00.000Z,-2.8980453,-40.8460199,,Centro
data_with_coordinates.js,2025-01-01T03:00:00.000Z,-5.5387782,-40.7759687,,Centro
data_with_coordinates.js,2025-01-01T03:00:00.000Z,-7.2389046,-39.387177,,Mirandão
data_with_coordinates.js,2025-01-01T03:00:00.000Z,-3.8738269,-40.0246227,,Localidade de Aracatiaçu
data_with_coordinates.js,2025-01-01T03:00:00.000Z,-6.3525937,-39.2975473,,Flores
data_with_coordinates.js,2025-01-01T03:00:00.000Z,-7.0477394,-39.297417,,Umari
data_with_coordinates.js,2025-01-01T03:00:00.000Z,-3.89448,-38.6182329,,Planalto Benjamin
data_with_coordinates.js,2025-01-01T03:00:00.000Z,-5.1871005,-38.054353,,Zona Rural
data_with_coordinates.js,2025-01-01T03:00:00.000Z,-3.7258158,-40.995854,,Pedra Fina
data_with_coordinates.js,2025-01-01T03:00:00.000Z,-3.5679857,-41.0897012,,Zona Rural
data_with_coordinates.js,2025-01-01T03:00:00.000Z,-6.7649446,-38.9907267,,Vila Bancária
data_with_coordinates.js,2025-01-01T03:00:00.000Z,-4.1586929,-40.7608663,,Centro
data_with_coordinates.js,2025-01-02T03:00:00.000Z,-5.1721182,-40.6780088,,Altamira
data_with_coordinates.js,2025-01-02T03:00:00.000Z,-3.7534285,-38.4493155,,Praia Do Futuro II
data_with_coordinates.js,2025-01-02T03:00:00.000Z,-6.3718316,-39.2973965,,Alto Do Jucá
data_with_coordinates.js,2025-01-02T03:00:00.000Z,-6.998734,-39.3736091,,Zona Rural
data_with_coordinates.js,2025-01-02T03:00:00.000Z,-6.3849568,-39.306963,,Vila Coqueiro
data_with_coordinates.js,2025-01-02T03:00:00.000Z,-4.9850248,-39.0026454,,Boto
data_with_coordinates.js,2025-01-02T03:00:00.000Z,-3.6978816,-38.5770008,,Barra do Ceará
data_with_coordinates.js,2025-01-02T03:00:00.000Z,-3.7551532,-38.5972327,,Genibau
data_with_coordinates.js,2025-01-02T03:00:00.000Z,-4.1812624,-38.1369323,,Centro
data_with_coordinates.js,2025-01-02T03:00:00.000Z,-6.3442022,-39.3174595,,João Paulo
data_with_coordinates.js,2025-01-02T03:00:00.000Z,-3.7733279,-39.9461577,,Lagoinha
data_with_coordinates.js,2025-01-02T03:00:00.000Z,-3.6231907,-39.5118875,,Lajeiro
data_with_coordinates.js,2025-01-02T03:00:00.000Z,-3.7906825,-38.5921722,,Siqueira
data_with_coordinates.js,2025-01-03T03:00:00.000Z,-7.2369612,-39.3128271,,Franciscanos
data_with_coordinates.js,2025-01-01T03:00:00.000Z,-6.7421304,-39.3123924,,Riachinho
data_with_coordinates.js,2025-01-03T03:00:00.000Z,-6.3619642,-39.2979761,,Centro
data_with_coordinates.js,2025-01-03T03:00:00.000Z,-2.9002993,-40.0946392,,Outra Banda
data_with_coordinates.js,2025-01-03T03:00:00.000Z,-5.1854071,-39.2899233,,Oiticica
data_with_coordinates.js,2025-01-03T03:00:00.000Z,-4.0952027,-40.8942752,,Sítio Muricituba
data_with_coordinates.js,2025-01-03T03:00:00.000Z,-7.2612363,-39.4564184,,Belmonte
data_with_coordinates.js,2025-01-03T03:00:00.000Z,-5.1375129,-40.5471341,,Zona Rural
data_with_coordinates.js,2025-01-03T03:00:00.000Z,-6.375345,-39.262789,,Chapadinha
data_with_coordinates.js,2025-01-03T03:00:00.000Z,-3.7285282,-40.9891913,,Centro
data_with_coordinates.js,2025-01-03T03:00:00.000Z,-3.7262449,-38.5491638,,Monte Castelo
data_with_coordinates.js,2025-01-03T03:00:00.000Z,-3.7368353,-38.5970381,,Quintino Cunha
data_with_coordinates.js,2025-01-03T03:00:00.000Z,-3.8439584,-38.6087023,,Centro
data_with_coordinates.js,2025-01-04T03:00:00.000Z,-3.7734114,-38.6214332,,Marechal Rondon
data_with_coordinates.js,2025-01-03T03:00:00.000Z,-3.7068652,-38.6637346,,Mestre Antônio
data_with_coordinates.js,2025-01-03T03:00:00.000Z,-3.8260424,-38.6223423,,Siqueira
data_with_coordinates.js,2025-01-04T03:00:00.000Z,-3.7274722,-38.5788639,,Jardim Iracema
data_with_coordinates.js,2025-01-04T03:00:00.000Z,-3.7528061,-38.621996,,Potira
data_with_coordinates.js,2025-01-04T03:00:00.000Z,-5.3414551,-38.0700303,,Zona Rural
data_with_coordinates.js,2025-01-04T03:00:00.000Z,-4.0403222,-38.195934,CEARÁ,Caponga
data_with_coordinates.js,2025-01-04T03:00:00.000Z,-2.8830389,-40.1188246,,Pedrinha
data_with_coordinates.js,2025-01-04T03:00:00.000Z,-4.8509233,-40.3149777,,Centro
data_with_coordinates.js,2025-01-04T03:00:00.000Z,-3.6998165,-40.3501314,,Dom Expedito
data_with_coordinates.js,2025-01-04T03:00:00.000Z,-7.0418338,-39.2854259,,Conjunto Santo Antônio
data_with_coordinates.js,2025-01-04T03:00:00.000Z,-7.2215517,-39.4117444,,Vila Alta
data_with_coordinates.js,2025-01-04T03:00:00.000Z,-3.9115184,-38.5876863,,Macacos
data_with_coordinates.js,2025-01-04T03:00:00.000Z,-5.1682107,-40.6678786,,Cidade Nova
data_with_coordinates.js,2025-01-04T03:00:00.000Z,-3.8703133,-38.669991,,Novo Maranguape
data_with_coordinates.js,2025-01-04T03:00:00.000Z,-3.9645011,-38.5240807,,Parque Santo Antônio
data_with_coordinates.js,2025-01-04T03:00:00.000Z,-3.91413,-40.9314121,,Sítio Pneu
data_with_coordinates.js,2025-01-04T03:00:00.000Z,-3.9891071,-39.5790522,,Zona Rural
data_with_coordinates.js,2025-01-04T03:00:00.000Z,-7.2295011,-39.2760425,,Novo Juazeiro
data_with_coordinates.js,2025-01-04T03:00:00.000Z,-3.6736004,-38.6779111,,Munguba
data_with_coordinates.js,2025-01-04T03:00:00.000Z,-3.5479359,-38.8297369,,Pecém
data_with_coordinates.js,2025-01-05T03:00:00.000Z,-3.7774378,-38.5945685,,Granja Portugal
data_with_coordinates.js,2025-01-04T03:00:00.000Z,-3.9599725,-38.6119206,,Forquilha
data_with_coordinates.js,2025-01-05T03:00:00.000Z,-3.6932274,-40.3644263,,Dom José 2
data_with_coordinates.js,2025-01-05T03:00:00.000Z,-3.7144423,-38.5568546,,Carlito Pamplona
data_with_coordinates.js,2025-01-05T03:00:00.000Z,-3.7343297,-38.5673106,,Presidente Kennedy
data_with_coordinates.js,2025-01-05T03:00:00.000Z,-6.8000171,-38.8631339,,Zona Rural
data_with_coordinates.js,2025-01-05T03:00:00.000Z,-4.7673717,-40.769245,,Zona Rural
data_with_coordinates.js,2025-01-05T03:00:00.000Z,-3.8342943,-41.0865257,,Zona Rural
data_with_coordinates.js,2025-01-05T03:00:00.000Z,-3.8005837,-38.5766187,,Vila Manoel Sátiro
data_with_coordinates.js,2025-01-05T03:00:00.000Z,-3.9211946,-40.8885688,,Centro
data_with_coordinates.js,2025-01-05T03:00:00.000Z,-3.785964,-38.589479,,Pici
data_with_coordinates.js,2025-01-05T03:00:00.000Z,-6.4151407,-38.8630235,,Alto Manoel Mariano
data_with_coordinates.js,2025-01-05T03:00:00.000Z,-5.1326261,-38.0966445,,Luiz Alves de Freitas
data_with_coordinates.js,2025-01-05T03:00:00.000Z,-4.369533,-39.307862,,Palestina
data_with_coordinates.js,2025-01-05T03:00:00.000Z,-3.8172252,-38.4345775,,Precabura
data_with_coordinates.js,2025-01-05T03:00:00.000Z,-3.8343358,-38.5611151,,José Walter
data_with_coordinates.js,2025-01-05T03:00:00.000Z,-7.3158682,-39.3695368,,Zona Rural
data_with_coordinates.js,2025-01-05T03:00:00.000Z,-7.2214041,-39.3294097,,Antônio Vieira
data_with_coordinates.js,2025-01-05T03:00:00.000Z,-5.1994958,-39.295914,,Centro
data_with_coordinates.js,2025-01-05T03:00:00.000Z,-3.7609869,-38.5621582,,Zona Rural
data_with_coordinates.js,2025-01-06T03:00:00.000Z,-5.2992769,-38.0123015,,Centro
data_with_coordinates.js,2025-01-06T03:00:00.000Z,-4.1531222,-40.7837688,,Zona Rural
data_with_coordinates.js,2025-01-06T03:00:00.000Z,-3.7710072,-38.6215082,,Marechal Rondon
data_with_coordinates.js,2025-01-06T03:00:00.000Z,-7.2280091,-39.4169902,,Seminário
data_with_coordinates.js,2025-01-06T03:00:00.000Z,-7.2351931,-39.3233467,,Triângulo
data_with_coordinates.js,2025-01-06T03:00:00.000Z,-3.7614305,-38.6580733,,Conj. Metropolitano
