bairro,avg_rank,min_rank,max_rank,std_rank
JANGURURSSU,4.77906976744186,1,7,1.6167809158993138
BARRA DO CEARA,4.976744186046512,1,9,2.051526624906135
MESSEJANA,1.6046511627906976,1,7,1.2964985920712886
GRANJA LISBOA,9.046511627906977,3,13,1.9936350855951437
PREFEITO JOSE WALTER,7.953488372093023,5,11,1.5914522893884302
PLANALTO AYRTON SENNA,11.127906976744185,8,14,1.583317914776957
MONDUBIM,4.3023255813953485,2,10,2.4875025648782407
SIQUEIRA,10.406976744186046,2,15,4.43657606031882
BARROSO,6.0,2,11,2.4824968676061645
QUINTINO CUNHA,12.930232558139535,7,16,1.885012477131111
