global_rank,micronode_id,score,bairro,regional,faction,longitude,latitude,local_street_pressure,nearby_streets_count,nearby_streets
1,Rodoviária - Maranguape,70.693,MARACANAÚ,rmf,CV,-38.680890857142856,-3.896261785714286,8.882,28,RODOVIÁRIA - MARANGUAPE; RUA CHICÓ ANÍSIO; TANGUEIRA
2,Guabiraba,70.04,MARACANAÚ,rmf,CV,-38.688817368421056,-3.8961198947368425,8.46,22,GUABIRABA; RUA ENÓI DE ABREU BRAGA; BECO DO BURACO - VILA SÃO JOSÉ - ALTO DO CAJUEIRO
3,Mororó,69.951,MARACANAÚ,rmf,CV,-38.67521514285715,-3.886540071428571,8.553,22,MORORÓ; RUA RAIMUNDO JUSTINI DE MORAIS; RUA MARIA ESTRELA
4,Alto Cemitério,69.828,MARACANAÚ,rmf,CV,-38.68542335135135,-3.887221891891892,8.466,27,ALTO CEMITÉRIO; RUA CHICÓ AMADOR; RUA RAIMUNDO HERBSTER
5,Outra Banda,68.73,MARACANAÚ,rmf,CV,-38.679789529411764,-3.8816516960784315,7.747,24,OUTRA BANDA; RUA GONTRAN NASCIMENTO; RUA DOUTOR ARGEU BRAGA HERBSTER
6,Jereissati Setor D - Maracanaú,67.944,MARACANAÚ,rmf,CV,-38.618326520000004,-3.8813451199999998,6.899,25,JEREISSATI SETOR D - MARACANAÚ; JEREISSATI SETOR E - MARACANAÚ; JEREISSATI SETOR A - MARACANAÚ
7,Parque São João,67.934,MARACANAÚ,rmf,CV,-38.67814661111111,-3.9002411666666665,7.502,22,PARQUE SÃO JOÃO; RUA CÔNEGO HEITOR VIÊIRA CAVALCANTE; TANGUEIRA
8,Parque Santa Fé,67.922,MARACANAÚ,rmf,CV,-38.685771823529414,-3.899302823529412,7.324,21,PARQUE SANTA FÉ; TRAVESSA VALTER PIMENTA LÍRA; RUA AGOSTINHO FERNANDES
9,Sítios Novos- Caucaia,67.758,CAUCAIA,rmf,CV,-38.95021675,-3.74555046875,2.021,4,SÍTIOS NOVOS- CAUCAIA; RUA BOA ESPERANÇA; ESTRADA PARÁ AGRIVILA
10,Coité Pedreira,67.711,CAUCAIA,rmf,CV,-38.744439309523806,-3.7462188095238096,3.092,5,COITÉ PEDREIRA; TRAVESSA DO PROFESSOR; RUA MARIA DO PATROCÍNIO
11,Rua do trilho,67.62,MARACANAÚ,rmf,CV,-38.62686676923077,-3.8815996923076925,7.421,24,RUA DO TRILHO; PASSARELA; FAVELA DA LAGOA
12,Jereissati Setor H - Pacatuba,67.549,MARACANAÚ,rmf,CV,-38.614602777777776,-3.8890546296296296,6.626,21,JEREISSATI SETOR H - PACATUBA; AVENIDA XVII; JEREISSATI SETOR E - MARACANAÚ
13,Coité,67.516,MARACANAÚ,rmf,CV,-38.67582890625,-3.907433,7.316,18,COITÉ; RUA MANOEL QUEIRÓS DE OLIVEIRA; RUA OLÍMPIO MIGUEL DOS SANTOS
14,Tangueira,67.389,MARACANAÚ,rmf,CV,-38.677139933333336,-3.8968203333333333,7.215,22,TANGUEIRA; PARQUE SÃO JOÃO; RUA RAIMUNDO BONIFÁCIO DA SILVA
15,Japuara- Caucaia,67.29,PARQUE SOLEDADE,rmf,CV,-38.74745204255319,-3.682344829787234,1.572,4,AVENIDA RAPOSO TAVARES; JAPUARA- CAUCAIA; RUA MARIA LUIZA SOARES
16,Primavera,66.856,CAUCAIA,rmf,CV,-38.82577786363636,-3.7108689090909093,2.793,4,PRIMAVERA; RUA VALESCA; RUA ANTÔNIO BRASILEIRO
17,Tanubapa,66.816,CAUCAIA,rmf,CV,-38.7704654054054,-3.643000675675675,2.3,3,TANUBAPA; TRAVESSA JEOVÁ; RUA FCO. JEOVÁ DA MOTA
18,Jereissati Setor E - Maracanaú,66.801,MARACANAÚ,rmf,CV,-38.619134352941174,-3.887311470588235,6.828,23,JEREISSATI SETOR E - MARACANAÚ; BOA VISTA - MARACANAÚ; JEREISSATI SETOR H - PACATUBA
19,Taquara - Caucaia,66.566,URUCUTUBA,rmf,CV,-38.66350165714285,-3.822248923809524,0.964,2,RODOVIA RAIMUNDO PESSOA DE ARAÚJO; TAQUARA - CAUCAIA
20,Planalto Caucaia,66.481,PARQUE SOLEDADE,rmf,CV,-38.66278948,-3.745833,2.71,7,PLANALTO CAUCAIA; RUA 107; NOVA CIGANA
21,Passarela,66.467,MARACANAÚ,rmf,CV,-38.623908645161286,-3.8811986774193548,6.599,22,PASSARELA; RUA DO TRILHO; FAVELA DA LAGOA
22,Comunidade do Prourb,66.466,MARACANAÚ,rmf,CV,-38.671692166666666,-3.8850031333333335,6.742,21,COMUNIDADE DO PROURB; CONDOMÍNIO DA PALMEIRINHA; MORORÓ
23,Piratininga,66.194,MARACANAÚ,rmf,CV,-38.62739308333334,-3.869460666666667,6.229,20,PIRATININGA; COQUEIRAL - MARACANAÚ; RUA ARI LOBO
24,Residencial Pacatuba 1,66.013,MARACANAÚ,rmf,CV,-38.60664216666667,-3.8910968333333336,6.628,19,RESIDENCIAL PACATUBA 1; RESIDENCIAL PACATUBA 2; JEREISSATI SETOR F - PACATUBA
25,Alta Delta,65.975,MARACANAÚ,rmf,CV,-38.691858625,-3.920908125,6.36,15,ALTA DELTA; RUA MANOEL NUNES DO NASCIMENTO; RUA MUNDINHO CARLOS
26,Residencial Pacatuba 2,65.852,MARACANAÚ,rmf,CV,-38.606330428571425,-3.890242,6.544,18,RESIDENCIAL PACATUBA 2; RESIDENCIAL PACATUBA 1; JEREISSATI SETOR G - PACATUBA
27,Mingau - Caucaia,65.798,CAUCAIA,rmf,CV,-38.73778839285715,-3.8251794285714285,2.447,4,MINGAU - CAUCAIA; RUA MINGUAU; RUA ALTO DAS CAMPINAS
28,Santos Dumont,65.792,MARACANAÚ,rmf,CV,-38.6873545952381,-3.9059278095238095,6.217,19,SANTOS DUMONT; RUA GUIOMAR CÂMARA; RUA VALDECY SOUSA DE OLIVEIRA
29,Jereissati Setor C - Maracanaú,65.759,MARACANAÚ,rmf,CV,-38.610529,-3.8804145384615385,6.165,23,JEREISSATI SETOR C - MARACANAÚ; JEREISSATI SETOR B - MARACANAÚ; JEREISSATI SETOR G - PACATUBA
30,Jereissati Setor G - Pacatuba,65.582,MARACANAÚ,rmf,CV,-38.60721523529411,-3.8852174117647063,6.074,22,JEREISSATI SETOR G - PACATUBA; RESIDENCIAL PACATUBA 2; CAMPOS DO JORDÃO
