config_name,batch_size,learning_rate,hidden_dim,best_val_p5,eval_p5,epochs_trained,time_seconds
Config_02_SmallLR,4,0.01,64,1.0,1.0,6,1.3848330974578857
Config_03_MedLR,4,0.005,128,1.0,1.0,6,1.2218446731567383
Config_05_BaseMid,8,0.005,128,1.0,1.0,7,1.2804529666900635
Config_06_BaseLR,8,0.01,128,1.0,1.0,6,1.04036545753479
Config_07_Large,8,0.01,256,1.0,1.0,6,1.0256717205047607
Config_08_BigBatch,16,0.001,128,1.0,1.0,7,0.7926235198974609
Config_09_BigBatch2,16,0.005,256,1.0,1.0,6,0.6966917514801025
Config_10_BigLarge,16,0.01,256,1.0,1.0,6,0.6875162124633789
Config_11_VeryBig,32,0.001,64,1.0,1.0,6,0.3399796485900879
Config_12_VeryBig2,32,0.005,128,1.0,1.0,6,0.3579680919647217
Config_01_Small,4,0.001,64,0.8,0.8,6,2.6560134887695312
Config_04_Base,8,0.001,128,1.0,0.8,7,1.3172638416290283
